,benchmark_id,model,example_id,pass1,count,date,hyperparams
38374,mbpp,code-llama-multi-7b,Mbpp/2,1.0,,,
38375,mbpp,code-llama-multi-7b,Mbpp/3,1.0,,,
38376,mbpp,code-llama-multi-7b,Mbpp/4,0.0,,,
38377,mbpp,code-llama-multi-7b,Mbpp/6,1.0,,,
38378,mbpp,code-llama-multi-7b,Mbpp/7,1.0,,,
38379,mbpp,code-llama-multi-7b,Mbpp/8,1.0,,,
38380,mbpp,code-llama-multi-7b,Mbpp/9,0.0,,,
38381,mbpp,code-llama-multi-7b,Mbpp/11,0.0,,,
38382,mbpp,code-llama-multi-7b,Mbpp/12,1.0,,,
38383,mbpp,code-llama-multi-7b,Mbpp/14,0.0,,,
38384,mbpp,code-llama-multi-7b,Mbpp/16,1.0,,,
38385,mbpp,code-llama-multi-7b,Mbpp/17,1.0,,,
38386,mbpp,code-llama-multi-7b,Mbpp/18,1.0,,,
38387,mbpp,code-llama-multi-7b,Mbpp/19,1.0,,,
38388,mbpp,code-llama-multi-7b,Mbpp/20,1.0,,,
38389,mbpp,code-llama-multi-7b,Mbpp/56,0.0,,,
38390,mbpp,code-llama-multi-7b,Mbpp/57,1.0,,,
38391,mbpp,code-llama-multi-7b,Mbpp/58,1.0,,,
38392,mbpp,code-llama-multi-7b,Mbpp/59,0.0,,,
38393,mbpp,code-llama-multi-7b,Mbpp/61,1.0,,,
38394,mbpp,code-llama-multi-7b,Mbpp/62,1.0,,,
38395,mbpp,code-llama-multi-7b,Mbpp/63,0.0,,,
38396,mbpp,code-llama-multi-7b,Mbpp/64,0.0,,,
38397,mbpp,code-llama-multi-7b,Mbpp/65,1.0,,,
38398,mbpp,code-llama-multi-7b,Mbpp/66,0.0,,,
38399,mbpp,code-llama-multi-7b,Mbpp/67,0.0,,,
38400,mbpp,code-llama-multi-7b,Mbpp/68,0.0,,,
38401,mbpp,code-llama-multi-7b,Mbpp/69,0.0,,,
38402,mbpp,code-llama-multi-7b,Mbpp/70,1.0,,,
38403,mbpp,code-llama-multi-7b,Mbpp/71,1.0,,,
38404,mbpp,code-llama-multi-7b,Mbpp/72,0.0,,,
38405,mbpp,code-llama-multi-7b,Mbpp/74,0.0,,,
38406,mbpp,code-llama-multi-7b,Mbpp/75,1.0,,,
38407,mbpp,code-llama-multi-7b,Mbpp/77,1.0,,,
38408,mbpp,code-llama-multi-7b,Mbpp/79,0.0,,,
38409,mbpp,code-llama-multi-7b,Mbpp/80,0.0,,,
38410,mbpp,code-llama-multi-7b,Mbpp/82,1.0,,,
38411,mbpp,code-llama-multi-7b,Mbpp/84,1.0,,,
38412,mbpp,code-llama-multi-7b,Mbpp/85,1.0,,,
38413,mbpp,code-llama-multi-7b,Mbpp/86,0.0,,,
38414,mbpp,code-llama-multi-7b,Mbpp/87,1.0,,,
38415,mbpp,code-llama-multi-7b,Mbpp/88,1.0,,,
38416,mbpp,code-llama-multi-7b,Mbpp/89,0.0,,,
38417,mbpp,code-llama-multi-7b,Mbpp/90,1.0,,,
38418,mbpp,code-llama-multi-7b,Mbpp/91,1.0,,,
38419,mbpp,code-llama-multi-7b,Mbpp/92,0.0,,,
38420,mbpp,code-llama-multi-7b,Mbpp/93,1.0,,,
38421,mbpp,code-llama-multi-7b,Mbpp/94,1.0,,,
38422,mbpp,code-llama-multi-7b,Mbpp/95,1.0,,,
38423,mbpp,code-llama-multi-7b,Mbpp/96,1.0,,,
38424,mbpp,code-llama-multi-7b,Mbpp/97,0.0,,,
38425,mbpp,code-llama-multi-7b,Mbpp/98,0.0,,,
38426,mbpp,code-llama-multi-7b,Mbpp/99,1.0,,,
38427,mbpp,code-llama-multi-7b,Mbpp/100,0.0,,,
38428,mbpp,code-llama-multi-7b,Mbpp/101,0.0,,,
38429,mbpp,code-llama-multi-7b,Mbpp/102,0.0,,,
38430,mbpp,code-llama-multi-7b,Mbpp/103,0.0,,,
38431,mbpp,code-llama-multi-7b,Mbpp/104,1.0,,,
38432,mbpp,code-llama-multi-7b,Mbpp/105,1.0,,,
38433,mbpp,code-llama-multi-7b,Mbpp/106,1.0,,,
38434,mbpp,code-llama-multi-7b,Mbpp/108,0.0,,,
38435,mbpp,code-llama-multi-7b,Mbpp/109,0.0,,,
38436,mbpp,code-llama-multi-7b,Mbpp/111,0.0,,,
38437,mbpp,code-llama-multi-7b,Mbpp/113,1.0,,,
