,benchmark_id,model,example_id,pass1,count,date,hyperparams
1349599,piqa,falcon-7b,piqa/0,1.0,,,
1349600,piqa,falcon-7b,piqa/1,0.0,,,
1349601,piqa,falcon-7b,piqa/2,1.0,,,
1349602,piqa,falcon-7b,piqa/3,1.0,,,
1349603,piqa,falcon-7b,piqa/4,1.0,,,
1349604,piqa,falcon-7b,piqa/5,1.0,,,
1349605,piqa,falcon-7b,piqa/6,1.0,,,
1349606,piqa,falcon-7b,piqa/7,1.0,,,
1349607,piqa,falcon-7b,piqa/8,1.0,,,
1349608,piqa,falcon-7b,piqa/9,1.0,,,
1349609,piqa,falcon-7b,piqa/10,1.0,,,
1349610,piqa,falcon-7b,piqa/11,1.0,,,
1349611,piqa,falcon-7b,piqa/12,1.0,,,
1349612,piqa,falcon-7b,piqa/13,1.0,,,
1349613,piqa,falcon-7b,piqa/14,0.0,,,
1349614,piqa,falcon-7b,piqa/15,1.0,,,
1349615,piqa,falcon-7b,piqa/16,1.0,,,
1349616,piqa,falcon-7b,piqa/17,1.0,,,
1349617,piqa,falcon-7b,piqa/18,1.0,,,
1349618,piqa,falcon-7b,piqa/19,0.0,,,
1349619,piqa,falcon-7b,piqa/20,1.0,,,
1349620,piqa,falcon-7b,piqa/21,1.0,,,
1349621,piqa,falcon-7b,piqa/22,0.0,,,
1349622,piqa,falcon-7b,piqa/23,1.0,,,
1349623,piqa,falcon-7b,piqa/24,1.0,,,
1349624,piqa,falcon-7b,piqa/25,1.0,,,
1349625,piqa,falcon-7b,piqa/26,1.0,,,
1349626,piqa,falcon-7b,piqa/27,1.0,,,
1349627,piqa,falcon-7b,piqa/28,1.0,,,
1349628,piqa,falcon-7b,piqa/29,1.0,,,
1349629,piqa,falcon-7b,piqa/30,1.0,,,
1349630,piqa,falcon-7b,piqa/31,1.0,,,
1349631,piqa,falcon-7b,piqa/32,1.0,,,
1349632,piqa,falcon-7b,piqa/33,0.0,,,
1349633,piqa,falcon-7b,piqa/34,1.0,,,
1349634,piqa,falcon-7b,piqa/35,1.0,,,
1349635,piqa,falcon-7b,piqa/36,1.0,,,
1349636,piqa,falcon-7b,piqa/37,0.0,,,
1349637,piqa,falcon-7b,piqa/38,1.0,,,
1349638,piqa,falcon-7b,piqa/39,1.0,,,
1349639,piqa,falcon-7b,piqa/40,1.0,,,
1349640,piqa,falcon-7b,piqa/41,0.0,,,
1349641,piqa,falcon-7b,piqa/42,1.0,,,
1349642,piqa,falcon-7b,piqa/43,1.0,,,
1349643,piqa,falcon-7b,piqa/44,1.0,,,
1349644,piqa,falcon-7b,piqa/45,1.0,,,
1349645,piqa,falcon-7b,piqa/46,0.0,,,
1349646,piqa,falcon-7b,piqa/47,0.0,,,
1349647,piqa,falcon-7b,piqa/48,1.0,,,
1349648,piqa,falcon-7b,piqa/49,0.0,,,
1349649,piqa,falcon-7b,piqa/50,1.0,,,
1349650,piqa,falcon-7b,piqa/51,1.0,,,
1349651,piqa,falcon-7b,piqa/52,1.0,,,
1349652,piqa,falcon-7b,piqa/53,1.0,,,
1349653,piqa,falcon-7b,piqa/54,0.0,,,
1349654,piqa,falcon-7b,piqa/55,1.0,,,
1349655,piqa,falcon-7b,piqa/56,1.0,,,
1349656,piqa,falcon-7b,piqa/57,0.0,,,
1349657,piqa,falcon-7b,piqa/58,1.0,,,
1349658,piqa,falcon-7b,piqa/59,1.0,,,
1349659,piqa,falcon-7b,piqa/60,1.0,,,
1349660,piqa,falcon-7b,piqa/61,1.0,,,
1349661,piqa,falcon-7b,piqa/62,1.0,,,
1349662,piqa,falcon-7b,piqa/63,1.0,,,
1349663,piqa,falcon-7b,piqa/64,0.0,,,
1349664,piqa,falcon-7b,piqa/65,1.0,,,
1349665,piqa,falcon-7b,piqa/66,1.0,,,
1349666,piqa,falcon-7b,piqa/67,0.0,,,
1349667,piqa,falcon-7b,piqa/68,1.0,,,
1349668,piqa,falcon-7b,piqa/69,1.0,,,
1349669,piqa,falcon-7b,piqa/70,1.0,,,
1349670,piqa,falcon-7b,piqa/71,0.0,,,
1349671,piqa,falcon-7b,piqa/72,1.0,,,
1349672,piqa,falcon-7b,piqa/73,1.0,,,
1349673,piqa,falcon-7b,piqa/74,1.0,,,
1349674,piqa,falcon-7b,piqa/75,1.0,,,
1349675,piqa,falcon-7b,piqa/76,1.0,,,
1349676,piqa,falcon-7b,piqa/77,1.0,,,
1349677,piqa,falcon-7b,piqa/78,1.0,,,
1349678,piqa,falcon-7b,piqa/79,0.0,,,
1349679,piqa,falcon-7b,piqa/80,1.0,,,
1349680,piqa,falcon-7b,piqa/81,1.0,,,
1349681,piqa,falcon-7b,piqa/82,1.0,,,
1349682,piqa,falcon-7b,piqa/83,1.0,,,
1349683,piqa,falcon-7b,piqa/84,1.0,,,
1349684,piqa,falcon-7b,piqa/85,0.0,,,
1349685,piqa,falcon-7b,piqa/86,1.0,,,
1349686,piqa,falcon-7b,piqa/87,1.0,,,
1349687,piqa,falcon-7b,piqa/88,1.0,,,
1349688,piqa,falcon-7b,piqa/89,1.0,,,
1349689,piqa,falcon-7b,piqa/90,1.0,,,
1349690,piqa,falcon-7b,piqa/91,1.0,,,
1349691,piqa,falcon-7b,piqa/92,1.0,,,
1349692,piqa,falcon-7b,piqa/93,1.0,,,
1349693,piqa,falcon-7b,piqa/94,1.0,,,
1349694,piqa,falcon-7b,piqa/95,0.0,,,
1349695,piqa,falcon-7b,piqa/96,1.0,,,
1349696,piqa,falcon-7b,piqa/97,1.0,,,
1349697,piqa,falcon-7b,piqa/98,1.0,,,
1349698,piqa,falcon-7b,piqa/99,1.0,,,
1349699,piqa,falcon-7b,piqa/100,1.0,,,
1349700,piqa,falcon-7b,piqa/101,1.0,,,
1349701,piqa,falcon-7b,piqa/102,1.0,,,
1349702,piqa,falcon-7b,piqa/103,1.0,,,
1349703,piqa,falcon-7b,piqa/104,1.0,,,
1349704,piqa,falcon-7b,piqa/105,1.0,,,
1349705,piqa,falcon-7b,piqa/106,1.0,,,
1349706,piqa,falcon-7b,piqa/107,1.0,,,
1349707,piqa,falcon-7b,piqa/108,1.0,,,
1349708,piqa,falcon-7b,piqa/109,1.0,,,
1349709,piqa,falcon-7b,piqa/110,1.0,,,
1349710,piqa,falcon-7b,piqa/111,1.0,,,
1349711,piqa,falcon-7b,piqa/112,1.0,,,
1349712,piqa,falcon-7b,piqa/113,1.0,,,
1349713,piqa,falcon-7b,piqa/114,1.0,,,
1349714,piqa,falcon-7b,piqa/115,0.0,,,
1349715,piqa,falcon-7b,piqa/116,1.0,,,
1349716,piqa,falcon-7b,piqa/117,1.0,,,
1349717,piqa,falcon-7b,piqa/118,1.0,,,
1349718,piqa,falcon-7b,piqa/119,1.0,,,
1349719,piqa,falcon-7b,piqa/120,1.0,,,
1349720,piqa,falcon-7b,piqa/121,1.0,,,
1349721,piqa,falcon-7b,piqa/122,0.0,,,
1349722,piqa,falcon-7b,piqa/123,1.0,,,
1349723,piqa,falcon-7b,piqa/124,1.0,,,
1349724,piqa,falcon-7b,piqa/125,1.0,,,
1349725,piqa,falcon-7b,piqa/126,1.0,,,
1349726,piqa,falcon-7b,piqa/127,0.0,,,
1349727,piqa,falcon-7b,piqa/128,1.0,,,
1349728,piqa,falcon-7b,piqa/129,1.0,,,
1349729,piqa,falcon-7b,piqa/130,1.0,,,
1349730,piqa,falcon-7b,piqa/131,0.0,,,
1349731,piqa,falcon-7b,piqa/132,1.0,,,
1349732,piqa,falcon-7b,piqa/133,1.0,,,
1349733,piqa,falcon-7b,piqa/134,0.0,,,
1349734,piqa,falcon-7b,piqa/135,1.0,,,
1349735,piqa,falcon-7b,piqa/136,1.0,,,
1349736,piqa,falcon-7b,piqa/137,1.0,,,
1349737,piqa,falcon-7b,piqa/138,0.0,,,
1349738,piqa,falcon-7b,piqa/139,1.0,,,
1349739,piqa,falcon-7b,piqa/140,0.0,,,
1349740,piqa,falcon-7b,piqa/141,0.0,,,
1349741,piqa,falcon-7b,piqa/142,1.0,,,
1349742,piqa,falcon-7b,piqa/143,1.0,,,
1349743,piqa,falcon-7b,piqa/144,0.0,,,
1349744,piqa,falcon-7b,piqa/145,1.0,,,
1349745,piqa,falcon-7b,piqa/146,0.0,,,
1349746,piqa,falcon-7b,piqa/147,1.0,,,
1349747,piqa,falcon-7b,piqa/148,1.0,,,
1349748,piqa,falcon-7b,piqa/149,1.0,,,
1349749,piqa,falcon-7b,piqa/150,1.0,,,
1349750,piqa,falcon-7b,piqa/151,1.0,,,
1349751,piqa,falcon-7b,piqa/152,0.0,,,
1349752,piqa,falcon-7b,piqa/153,1.0,,,
1349753,piqa,falcon-7b,piqa/154,1.0,,,
1349754,piqa,falcon-7b,piqa/155,1.0,,,
1349755,piqa,falcon-7b,piqa/156,0.0,,,
1349756,piqa,falcon-7b,piqa/157,1.0,,,
1349757,piqa,falcon-7b,piqa/158,1.0,,,
1349758,piqa,falcon-7b,piqa/159,1.0,,,
1349759,piqa,falcon-7b,piqa/160,1.0,,,
1349760,piqa,falcon-7b,piqa/161,0.0,,,
1349761,piqa,falcon-7b,piqa/162,1.0,,,
1349762,piqa,falcon-7b,piqa/163,1.0,,,
1349763,piqa,falcon-7b,piqa/164,1.0,,,
1349764,piqa,falcon-7b,piqa/165,1.0,,,
1349765,piqa,falcon-7b,piqa/166,0.0,,,
1349766,piqa,falcon-7b,piqa/167,1.0,,,
1349767,piqa,falcon-7b,piqa/168,1.0,,,
1349768,piqa,falcon-7b,piqa/169,1.0,,,
1349769,piqa,falcon-7b,piqa/170,1.0,,,
1349770,piqa,falcon-7b,piqa/171,1.0,,,
1349771,piqa,falcon-7b,piqa/172,1.0,,,
1349772,piqa,falcon-7b,piqa/173,0.0,,,
1349773,piqa,falcon-7b,piqa/174,1.0,,,
1349774,piqa,falcon-7b,piqa/175,1.0,,,
1349775,piqa,falcon-7b,piqa/176,1.0,,,
1349776,piqa,falcon-7b,piqa/177,1.0,,,
1349777,piqa,falcon-7b,piqa/178,1.0,,,
1349778,piqa,falcon-7b,piqa/179,0.0,,,
1349779,piqa,falcon-7b,piqa/180,1.0,,,
1349780,piqa,falcon-7b,piqa/181,1.0,,,
1349781,piqa,falcon-7b,piqa/182,1.0,,,
1349782,piqa,falcon-7b,piqa/183,1.0,,,
1349783,piqa,falcon-7b,piqa/184,0.0,,,
1349784,piqa,falcon-7b,piqa/185,1.0,,,
1349785,piqa,falcon-7b,piqa/186,0.0,,,
1349786,piqa,falcon-7b,piqa/187,1.0,,,
1349787,piqa,falcon-7b,piqa/188,1.0,,,
1349788,piqa,falcon-7b,piqa/189,0.0,,,
1349789,piqa,falcon-7b,piqa/190,1.0,,,
1349790,piqa,falcon-7b,piqa/191,1.0,,,
1349791,piqa,falcon-7b,piqa/192,1.0,,,
1349792,piqa,falcon-7b,piqa/193,1.0,,,
1349793,piqa,falcon-7b,piqa/194,1.0,,,
1349794,piqa,falcon-7b,piqa/195,1.0,,,
1349795,piqa,falcon-7b,piqa/196,1.0,,,
1349796,piqa,falcon-7b,piqa/197,0.0,,,
1349797,piqa,falcon-7b,piqa/198,0.0,,,
1349798,piqa,falcon-7b,piqa/199,1.0,,,
1349799,piqa,falcon-7b,piqa/200,1.0,,,
1349800,piqa,falcon-7b,piqa/201,1.0,,,
1349801,piqa,falcon-7b,piqa/202,1.0,,,
