,benchmark_id,model,example_id,pass1,count,date,hyperparams
1415767,siqa,falcon-7b,siqa/0,0.0,,,
1415768,siqa,falcon-7b,siqa/1,0.0,,,
1415769,siqa,falcon-7b,siqa/2,1.0,,,
1415770,siqa,falcon-7b,siqa/3,1.0,,,
1415771,siqa,falcon-7b,siqa/4,1.0,,,
1415772,siqa,falcon-7b,siqa/5,0.0,,,
1415773,siqa,falcon-7b,siqa/6,0.0,,,
1415774,siqa,falcon-7b,siqa/7,1.0,,,
1415775,siqa,falcon-7b,siqa/8,0.0,,,
1415776,siqa,falcon-7b,siqa/9,1.0,,,
1415777,siqa,falcon-7b,siqa/10,0.0,,,
1415778,siqa,falcon-7b,siqa/11,0.0,,,
1415779,siqa,falcon-7b,siqa/12,1.0,,,
1415780,siqa,falcon-7b,siqa/13,1.0,,,
1415781,siqa,falcon-7b,siqa/14,0.0,,,
1415782,siqa,falcon-7b,siqa/15,1.0,,,
1415783,siqa,falcon-7b,siqa/16,1.0,,,
1415784,siqa,falcon-7b,siqa/17,1.0,,,
1415785,siqa,falcon-7b,siqa/18,0.0,,,
1415786,siqa,falcon-7b,siqa/19,1.0,,,
1415787,siqa,falcon-7b,siqa/20,0.0,,,
1415788,siqa,falcon-7b,siqa/21,0.0,,,
1415789,siqa,falcon-7b,siqa/22,0.0,,,
1415790,siqa,falcon-7b,siqa/23,0.0,,,
1415791,siqa,falcon-7b,siqa/24,1.0,,,
1415792,siqa,falcon-7b,siqa/25,1.0,,,
1415793,siqa,falcon-7b,siqa/26,1.0,,,
1415794,siqa,falcon-7b,siqa/27,1.0,,,
1415795,siqa,falcon-7b,siqa/28,1.0,,,
1415796,siqa,falcon-7b,siqa/29,1.0,,,
1415797,siqa,falcon-7b,siqa/30,1.0,,,
1415798,siqa,falcon-7b,siqa/31,1.0,,,
1415799,siqa,falcon-7b,siqa/32,0.0,,,
1415800,siqa,falcon-7b,siqa/33,1.0,,,
1415801,siqa,falcon-7b,siqa/34,0.0,,,
1415802,siqa,falcon-7b,siqa/35,1.0,,,
1415803,siqa,falcon-7b,siqa/36,1.0,,,
1415804,siqa,falcon-7b,siqa/37,1.0,,,
1415805,siqa,falcon-7b,siqa/38,0.0,,,
1415806,siqa,falcon-7b,siqa/39,0.0,,,
1415807,siqa,falcon-7b,siqa/40,0.0,,,
1415808,siqa,falcon-7b,siqa/41,0.0,,,
1415809,siqa,falcon-7b,siqa/42,0.0,,,
1415810,siqa,falcon-7b,siqa/43,0.0,,,
1415811,siqa,falcon-7b,siqa/44,0.0,,,
1415812,siqa,falcon-7b,siqa/45,1.0,,,
1415813,siqa,falcon-7b,siqa/46,0.0,,,
1415814,siqa,falcon-7b,siqa/47,1.0,,,
1415815,siqa,falcon-7b,siqa/48,1.0,,,
1415816,siqa,falcon-7b,siqa/49,1.0,,,
1415817,siqa,falcon-7b,siqa/50,1.0,,,
1415818,siqa,falcon-7b,siqa/51,0.0,,,
1415819,siqa,falcon-7b,siqa/52,0.0,,,
1415820,siqa,falcon-7b,siqa/53,1.0,,,
1415821,siqa,falcon-7b,siqa/54,0.0,,,
1415822,siqa,falcon-7b,siqa/55,0.0,,,
1415823,siqa,falcon-7b,siqa/56,1.0,,,
1415824,siqa,falcon-7b,siqa/57,0.0,,,
1415825,siqa,falcon-7b,siqa/58,0.0,,,
1415826,siqa,falcon-7b,siqa/59,1.0,,,
1415827,siqa,falcon-7b,siqa/60,0.0,,,
1415828,siqa,falcon-7b,siqa/61,1.0,,,
1415829,siqa,falcon-7b,siqa/62,0.0,,,
1415830,siqa,falcon-7b,siqa/63,0.0,,,
