,benchmark_id,model,example_id,pass1,count,date,hyperparams
1893379,swebench-lite,20231010_rag_claude2,django__django-13401,0.0,1.0,,
1893380,swebench-lite,20231010_rag_claude2,django__django-13315,0.0,1.0,,
1893381,swebench-lite,20231010_rag_claude2,sympy__sympy-15011,0.0,1.0,,
1893382,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-25638,0.0,1.0,,
1893383,swebench-lite,20231010_rag_claude2,mwaskom__seaborn-3010,0.0,1.0,,
1893384,swebench-lite,20231010_rag_claude2,django__django-13925,0.0,1.0,,
1893385,swebench-lite,20231010_rag_claude2,sympy__sympy-13971,0.0,1.0,,
1893386,swebench-lite,20231010_rag_claude2,django__django-15819,0.0,1.0,,
1893387,swebench-lite,20231010_rag_claude2,django__django-11179,0.0,1.0,,
1893388,swebench-lite,20231010_rag_claude2,django__django-11905,0.0,1.0,,
1893389,swebench-lite,20231010_rag_claude2,django__django-13448,0.0,1.0,,
1893390,swebench-lite,20231010_rag_claude2,sympy__sympy-13177,0.0,1.0,,
1893391,swebench-lite,20231010_rag_claude2,sympy__sympy-20442,0.0,1.0,,
1893392,swebench-lite,20231010_rag_claude2,django__django-14672,0.0,1.0,,
1893393,swebench-lite,20231010_rag_claude2,django__django-14787,0.0,1.0,,
1893394,swebench-lite,20231010_rag_claude2,pytest-dev__pytest-6116,0.0,1.0,,
1893395,swebench-lite,20231010_rag_claude2,sympy__sympy-19007,0.0,1.0,,
1893396,swebench-lite,20231010_rag_claude2,sympy__sympy-15308,0.0,1.0,,
1893397,swebench-lite,20231010_rag_claude2,mwaskom__seaborn-2848,0.0,1.0,,
1893398,swebench-lite,20231010_rag_claude2,django__django-13028,0.0,1.0,,
1893399,swebench-lite,20231010_rag_claude2,django__django-15781,0.0,1.0,,
1893400,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-22711,0.0,1.0,,
1893401,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-11281,0.0,1.0,,
1893402,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-13142,0.0,1.0,,
1893403,swebench-lite,20231010_rag_claude2,sympy__sympy-19254,0.0,1.0,,
1893404,swebench-lite,20231010_rag_claude2,sympy__sympy-14774,0.0,1.0,,
1893405,swebench-lite,20231010_rag_claude2,django__django-12983,0.0,1.0,,
1893406,swebench-lite,20231010_rag_claude2,sympy__sympy-23262,0.0,1.0,,
1893407,swebench-lite,20231010_rag_claude2,django__django-13710,0.0,1.0,,
1893408,swebench-lite,20231010_rag_claude2,pylint-dev__pylint-7114,0.0,1.0,,
1893409,swebench-lite,20231010_rag_claude2,sympy__sympy-18087,0.0,1.0,,
1893410,swebench-lite,20231010_rag_claude2,sphinx-doc__sphinx-8713,0.0,1.0,,
1893411,swebench-lite,20231010_rag_claude2,django__django-14411,0.0,1.0,,
1893412,swebench-lite,20231010_rag_claude2,sympy__sympy-12236,0.0,1.0,,
1893413,swebench-lite,20231010_rag_claude2,sympy__sympy-21847,0.0,1.0,,
1893414,swebench-lite,20231010_rag_claude2,django__django-14017,0.0,1.0,,
1893415,swebench-lite,20231010_rag_claude2,pytest-dev__pytest-7490,0.0,1.0,,
1893416,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-22835,0.0,1.0,,
1893417,swebench-lite,20231010_rag_claude2,pylint-dev__pylint-6506,0.0,1.0,,
1893418,swebench-lite,20231010_rag_claude2,pydata__xarray-4094,0.0,1.0,,
1893419,swebench-lite,20231010_rag_claude2,pylint-dev__pylint-7080,0.0,1.0,,
1893420,swebench-lite,20231010_rag_claude2,django__django-12113,0.0,1.0,,
1893421,swebench-lite,20231010_rag_claude2,sympy__sympy-16281,0.0,1.0,,
1893422,swebench-lite,20231010_rag_claude2,django__django-12453,0.0,1.0,,
1893423,swebench-lite,20231010_rag_claude2,django__django-11620,0.0,1.0,,
1893424,swebench-lite,20231010_rag_claude2,psf__requests-2674,0.0,1.0,,
1893425,swebench-lite,20231010_rag_claude2,django__django-13933,0.0,1.0,,
1893426,swebench-lite,20231010_rag_claude2,django__django-12747,0.0,1.0,,
1893427,swebench-lite,20231010_rag_claude2,django__django-11283,0.0,1.0,,
1893428,swebench-lite,20231010_rag_claude2,django__django-15202,0.0,1.0,,
1893429,swebench-lite,20231010_rag_claude2,sympy__sympy-12419,0.0,1.0,,
1893430,swebench-lite,20231010_rag_claude2,sympy__sympy-18621,0.0,1.0,,
1893431,swebench-lite,20231010_rag_claude2,django__django-14382,0.0,1.0,,
1893432,swebench-lite,20231010_rag_claude2,sympy__sympy-23117,0.0,1.0,,
1893433,swebench-lite,20231010_rag_claude2,django__django-13265,0.0,1.0,,
1893434,swebench-lite,20231010_rag_claude2,django__django-15814,0.0,1.0,,
1893435,swebench-lite,20231010_rag_claude2,sympy__sympy-14308,0.0,1.0,,
1893436,swebench-lite,20231010_rag_claude2,django__django-13447,0.0,1.0,,
1893437,swebench-lite,20231010_rag_claude2,sympy__sympy-19487,0.0,1.0,,
1893438,swebench-lite,20231010_rag_claude2,sympy__sympy-12171,0.0,1.0,,
1893439,swebench-lite,20231010_rag_claude2,sympy__sympy-21612,0.0,1.0,,
1893440,swebench-lite,20231010_rag_claude2,sympy__sympy-13471,0.0,1.0,,
1893441,swebench-lite,20231010_rag_claude2,psf__requests-3362,0.0,1.0,,
1893442,swebench-lite,20231010_rag_claude2,sympy__sympy-11400,0.0,1.0,,
1893443,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-25498,0.0,1.0,,
1893444,swebench-lite,20231010_rag_claude2,sphinx-doc__sphinx-7975,0.0,1.0,,
1893445,swebench-lite,20231010_rag_claude2,sympy__sympy-21055,0.0,1.0,,
1893446,swebench-lite,20231010_rag_claude2,django__django-12856,0.0,1.0,,
1893447,swebench-lite,20231010_rag_claude2,sympy__sympy-16503,0.0,1.0,,
1893448,swebench-lite,20231010_rag_claude2,django__django-13230,0.0,1.0,,
1893449,swebench-lite,20231010_rag_claude2,sympy__sympy-15346,0.0,1.0,,
1893450,swebench-lite,20231010_rag_claude2,pydata__xarray-5131,0.0,1.0,,
1893451,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-25747,0.0,1.0,,
1893452,swebench-lite,20231010_rag_claude2,django__django-16139,0.0,1.0,,
1893453,swebench-lite,20231010_rag_claude2,django__django-12908,0.0,1.0,,
1893454,swebench-lite,20231010_rag_claude2,pylint-dev__pylint-7228,0.0,1.0,,
1893455,swebench-lite,20231010_rag_claude2,django__django-12470,0.0,1.0,,
1893456,swebench-lite,20231010_rag_claude2,django__django-13321,0.0,1.0,,
1893457,swebench-lite,20231010_rag_claude2,django__django-11049,0.0,1.0,,
1893458,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-23299,0.0,1.0,,
1893459,swebench-lite,20231010_rag_claude2,pydata__xarray-3364,0.0,1.0,,
1893460,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-15512,0.0,1.0,,
1893461,swebench-lite,20231010_rag_claude2,pytest-dev__pytest-8365,0.0,1.0,,
1893462,swebench-lite,20231010_rag_claude2,django__django-11964,0.0,1.0,,
1893463,swebench-lite,20231010_rag_claude2,sympy__sympy-16792,0.0,1.0,,
1893464,swebench-lite,20231010_rag_claude2,matplotlib__matplotlib-23562,0.0,1.0,,
1893465,swebench-lite,20231010_rag_claude2,django__django-15388,0.0,1.0,,
1893466,swebench-lite,20231010_rag_claude2,django__django-15851,0.0,1.0,,
1893467,swebench-lite,20231010_rag_claude2,pytest-dev__pytest-7220,0.0,1.0,,
1893468,swebench-lite,20231010_rag_claude2,django__django-14915,0.0,1.0,,
1893469,swebench-lite,20231010_rag_claude2,django__django-14608,1.0,1.0,,
1893470,swebench-lite,20231010_rag_claude2,django__django-12284,0.0,1.0,,
1893471,swebench-lite,20231010_rag_claude2,django__django-14155,0.0,1.0,,
1893472,swebench-lite,20231010_rag_claude2,pallets__flask-4045,0.0,1.0,,
1893473,swebench-lite,20231010_rag_claude2,django__django-15498,0.0,1.0,,
1893474,swebench-lite,20231010_rag_claude2,scikit-learn__scikit-learn-14983,0.0,1.0,,
1893475,swebench-lite,20231010_rag_claude2,django__django-11422,0.0,1.0,,
1893476,swebench-lite,20231010_rag_claude2,sphinx-doc__sphinx-8273,0.0,1.0,,
