,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
19,gpt-4-0613+cot,0.7365,0.4278220833333333,10.0,0.015575130416789453,0.012112377450360435,0.00979157801378307
18,gpt-4-0613,0.68,0.37619041666666664,10.0,0.01649242250247064,0.014886025325787942,0.007099735910581464
16,gpt-3.5-turbo-0613,0.456625,0.2096075,10.0,0.017611026708251567,0.01483686748335881,0.009487656454572963
26,phind,0.444,0.19790583333333334,10.0,0.017566445286397586,0.014312974882951484,0.01018424027603434
17,gpt-3.5-turbo-0613+cot,0.44299999999999995,0.21842166666666665,10.0,0.017562424377061386,0.011803124586311881,0.013004806803639952
9,codetulu-2-34b,0.43912499999999993,0.19361916666666665,10.0,0.017546161773127192,0.01356957692666761,0.011123595416950401
14,deepseek-instruct-33b,0.427875,0.1890579166666667,10.0,0.017492783668380227,0.014174602480096223,0.010250762166785454
3,codellama-34b+cot,0.42737500000000006,0.20229875,10.0,0.017490197589471367,0.011791846196365944,0.012917405892825386
2,codellama-34b,0.41112499999999996,0.17713416666666668,10.0,0.017396164605129202,0.013128629706437378,0.011413396733663471
20,magicoder-ds-7b,0.400875,0.17050041666666668,10.0,0.01732679407648022,0.013646736531814117,0.010676346519292074
11,deepseek-base-33b,0.39637500000000003,0.17054375,10.0,0.01729385220876916,0.013080250350002862,0.011313017943944048
30,wizard-34b,0.386875,0.16066583333333334,10.0,0.017219274606345935,0.014180322385924446,0.009768412102281517
7,codellama-python-34b,0.36950000000000005,0.15087333333333333,10.0,0.017064940301682863,0.013224964555718097,0.010784827305061495
12,deepseek-base-6.7b,0.368875,0.1550716666666667,10.0,0.017058950523662058,0.01265250639078084,0.011442109726794268
1,codellama-13b+cot,0.36375,0.16363625,10.0,0.017008671960943925,0.011084106724269663,0.012901065847440668
0,codellama-13b,0.3525,0.14297583333333333,10.0,0.016890964670497655,0.012327243710578613,0.011547456429880998
15,deepseek-instruct-6.7b,0.346625,0.139635,10.0,0.016825431249116618,0.01369596698735617,0.00977320955469594
22,mixtral-8x7b,0.327875,0.13245125,10.0,0.016597175376212366,0.012114582348093967,0.011344739970576674
6,codellama-python-13b,0.32475000000000004,0.12778083333333334,10.0,0.016556246460928275,0.012239150169640048,0.011149551560488878
29,wizard-13b,0.322125,0.12501041666666668,10.0,0.0165212168277264,0.013212114912789322,0.009919204857245364
8,codellama-python-7b,0.316,0.12604291666666667,10.0,0.016437153038163267,0.012054252361718663,0.011174748319313506
5,codellama-7b+cot,0.3005,0.12945625,10.0,0.01620955543807417,0.010142715982418121,0.012644168616401791
4,codellama-7b,0.28350000000000003,0.10640166666666666,10.0,0.015934543843486703,0.011789971904122587,0.010719433287259172
21,mistral-7b,0.27587500000000004,0.10326708333333333,10.0,0.015802214416617374,0.011500298059996097,0.010837579296134355
27,starcoderbase-16b,0.25762500000000005,0.09509875,10.0,0.015461822312352127,0.011454631125389853,0.010385536818094673
25,phi-2,0.256875,0.1035375,10.0,0.015447096587020813,0.01095032729961758,0.01089509637405746
28,starcoderbase-7b,0.254,0.09184750000000001,10.0,0.015390094216735647,0.011577672477661475,0.010139649895336623
13,deepseek-instruct-1.3b,0.240375,0.09065166666666666,10.0,0.015107732265920985,0.012317789948637296,0.00874732101846045
10,deepseek-base-1.3b,0.22487500000000002,0.08253916666666666,10.0,0.014760853395679736,0.010806174992510067,0.010055315758343942
24,phi-1.5,0.1605,0.06367208333333334,10.0,0.012977853732416621,0.00864687443530898,0.009677615925422954
23,phi-1,0.126,0.04026833333333334,10.0,0.011732646760215702,0.0098709801944893,0.0063418254469829105
