,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
23,gpt-4-turbo-2024-04-09+cot,0.820416666667,0.3870879629630679,3.0,0.013570793994918307,0.012337828220949728,0.005651941652463091
1,claude-3-opus-20240229+cot,0.82,0.387631944444382,1.0,0.013583077707206126,0.013583077707206124,0.0
21,gpt-4-0613+cot,0.771125,0.34717187499995,10.0,0.014853081935031195,0.01329843667386321,0.00661555931119962
25,gpt-4o+cot,0.7600000000014999,0.3719760802473766,2.99375,0.015099668870509215,0.01184960735416198,0.009358782268608203
24,gpt-4o,0.6995833333335,0.2888337191358822,3.0,0.01620827308257611,0.015949131104434647,0.00288675134587596
20,gpt-4-0613,0.6869999999999998,0.2772395833332969,10.0,0.01639477813207608,0.016081083607767232,0.003191786333700926
22,gpt-4-turbo-2024-04-09,0.67708333333325,0.2688954475307519,3.0,0.016531844008442657,0.01625650911303392,0.0030046260628115423
0,claude-3-opus-20240229,0.6575,0.2546666666666215,1.0,0.01677772891365217,0.016777728913652167,0.0
19,gpt-3.5-turbo-0613+cot,0.5898749999999999,0.21984351851848402,10.0,0.01738974138590767,0.014961825773238705,0.008862667487839086
16,deepseek-instruct-33b,0.49900000000000005,0.14450636574070866,10.0,0.01767763417428927,0.017054105077663854,0.004653627617246571
18,gpt-3.5-turbo-0613,0.49412500000000004,0.14741631944441597,10.0,0.017676449175916244,0.017217468759046728,0.0040019526483955304
13,deepseek-base-33b,0.48599999999999993,0.13405057870367082,10.0,0.017670738524464675,0.016902440652166183,0.005153882032022076
11,codetulu-2-34b,0.45787500000000003,0.11938796296292951,10.0,0.017614819200569447,0.016899074840616278,0.004970223838017761
26,magicoder-ds-7b,0.44412499999999994,0.1144453703703316,10.0,0.017566942832170602,0.016804593284835845,0.005118898807360817
5,codellama-34b+cot,0.436125,0.13303668981477987,10.0,0.01753282579816357,0.014275524700295607,0.01017886904326802
14,deepseek-base-6.7b,0.434625,0.10935127314811043,10.0,0.01752591329200136,0.016581752371771508,0.005674779731408083
36,wizard-34b,0.4341249999999999,0.10849490740736006,10.0,0.01752357285112685,0.01695206419492181,0.0044388202261411765
4,codellama-34b,0.42400000000000004,0.10163043981478022,10.0,0.017472263734273245,0.016556682940734233,0.005581778390441527
9,codellama-python-34b,0.41387500000000005,0.09748078703699271,10.0,0.017413446111231117,0.016732079382693294,0.004823445345393684
35,wizard-13b,0.41275000000000006,0.09730358796293785,10.0,0.01740644411920482,0.01666911206018485,0.005012484413940855
17,deepseek-instruct-6.7b,0.41225,0.09744004629624722,10.0,0.017403302039411945,0.016918922006883295,0.004077376607575023
28,mixtral-8x7b,0.404875,0.09272071759255938,10.0,0.017354798845528287,0.016340659961236265,0.00584567147554496
8,codellama-python-13b,0.3975,0.08984999999997291,10.0,0.017302230708784345,0.01651206944934523,0.005169018282033833
2,codellama-13b,0.397375,0.08980439814811667,10.0,0.01730130448026246,0.01636710150633734,0.0056083085685436395
32,phind,0.39712500000000006,0.08961157407404166,10.0,0.01729944848741572,0.016679112475451143,0.004591091918051739
3,codellama-13b+cot,0.35987499999999994,0.10099409722219584,10.0,0.016969273127295407,0.013169685093757938,0.010701197362912246
10,codellama-python-7b,0.35900000000000004,0.08015011574070313,10.0,0.016960210788784437,0.016094214799113375,0.005350233639758175
27,mistral-7b,0.34262499999999996,0.07073148148144513,10.0,0.016779195055745374,0.015804295672972903,0.005636100158797747
6,codellama-7b,0.3421249999999999,0.06814166666663299,10.0,0.01677332273190825,0.015770343384617535,0.00571319744101322
33,starcoderbase-16b,0.34175000000000005,0.07198854166664098,10.0,0.016768904909832367,0.015857054325283747,0.005454356057317857
31,phi-2,0.33525,0.07353796296292986,10.0,0.016690470241278402,0.015744341741559094,0.0055396299515400845
34,starcoderbase-7b,0.322,0.06280416666664791,10.0,0.016519533891729513,0.01583374560866758,0.004710360920354192
12,deepseek-base-1.3b,0.30987500000000007,0.06663865740738577,10.0,0.016349789156706273,0.015325223667821295,0.0056967644325529206
7,codellama-7b+cot,0.298875,0.07619004629627951,10.0,0.016184434434627304,0.012358510952730106,0.010450029904263433
15,deepseek-instruct-1.3b,0.286625,0.060026620370351044,10.0,0.015987147547913295,0.015246254022505002,0.004810470351223464
30,phi-1.5,0.274875,0.06767395833332188,10.0,0.01578443594078515,0.014758736157569521,0.005597153294309528
29,phi-1,0.21675,0.049942939814812154,10.0,0.01456749109747454,0.013842617052963647,0.004538033715167837
