,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
23,claude-3-5-sonnet-20240620,0.543,0.3219423076923077,,0.015752809273269323,0.01575280927326932,0.0
65,gpt-4-turbo-2024-04-09,0.54,0.31096153846153846,,0.015760710643876435,0.015760710643876435,0.0
49,deepseek-ai-deepseek-coder-V2-SFT,0.532,0.30501923076923076,,0.01577897335063343,0.015778973350633434,0.0
15,Qwen-Qwen2-72B-Instruct,0.528,0.3019230769230769,,0.015786576576319516,0.015786576576319513,0.0
95,mistralai-Codestral-22B-v0.1,0.512,0.28736538461538463,,0.01580683396509244,0.015806833965092443,0.0
64,gpt-4-0613,0.51,0.29052884615384617,,0.0158082257068907,0.0158082257068907,0.0
82,meta-llama-Llama-3-70b-chat-hf,0.486,0.2756442307692308,,0.015805189021330938,0.015805189021330938,0.0
46,deepseek-ai-deepseek-coder-V2-Base,0.467,0.2533365384615385,,0.015776913513105152,0.01577691351310515,0.0
94,microsoft-wavecoder-ultra-6.7b,0.46,0.25047115384615387,,0.015760710643876435,0.015760710643876435,0.0
43,deepseek-ai-deepseek-coder-33b-instruct,0.454,0.2520480769230769,,0.015744332313566048,0.015744332313566048,0.0
73,m-a-p-OpenCodeInterpreter-DS-6.7B,0.42,0.2206153846153846,,0.015607690412101338,0.01560769041210134,0.0
42,deepseek-ai-deepseek-coder-33b-base,0.417,0.20904807692307692,,0.015592017188292218,0.015592017188292218,0.0
81,meta-llama-Llama-3-70B,0.409,0.21000961538461538,,0.015547314880711717,0.015547314880711715,0.0
50,deepseek-ai-deepseek-llm-67b-chat,0.407,0.21016346153846155,,0.015535475531827147,0.01553547553182715,0.0
85,microsoft-Phi-3-medium-4k-instruct,0.406,0.20311538461538461,,0.015529455882290275,0.015529455882290275,0.0
3,Phind-Phind-CodeLlama-34B-v2,0.404,0.21008653846153846,,0.015517216245190372,0.015517216245190374,0.0
5,Qwen-Qwen1.5-110B-Chat,0.402,0.20121153846153847,,0.015504708962118573,0.015504708962118573,0.0
98,mistralai-Mixtral-8x22B,0.4,0.19777884615384617,,0.015491933384829668,0.015491933384829668,0.0
35,codellama-CodeLlama-70b-hf,0.398,0.20090384615384616,,0.015478888849009803,0.0154788888490098,0.0
71,m-a-p-OpenCodeInterpreter-CL-7B,0.395,0.21002884615384615,,0.015458816254810716,0.015458816254810714,0.0
