,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
8,Qwen1.5-110B,0.8407884761182715,0.488711987195687,,0.010074145687379306,0.010074145687379308,0.0
1,Meta-Llama-3-70B,0.8271417740712661,0.4756760171847359,,0.010411483267007865,0.010411483267007865,0.0
4,Mixtral-8x22B-v0.1,0.8021228203184231,0.45665908516552944,,0.010969728885170012,0.010969728885170012,0.0
12,Qwen1.5-72B,0.7839272175890827,0.44454974307135037,,0.01133223327849289,0.01133223327849289,0.0
0,DeepSeek-V2,0.7733131159969674,0.434504254064527,,0.011528385399510961,0.011528385399510961,0.0
10,Qwen1.5-32B,0.7626990144048522,0.42671215567349,,0.011713966179838933,0.011713966179838935,0.0
9,Qwen1.5-14B,0.6952236542835482,0.37667424816780387,,0.012674490232736198,0.012674490232736197,0.0
14,dbrx-base,0.6952236542835482,0.378316906747536,,0.012674490232736198,0.012674490232736197,0.0
15,deepseek-llm-67b-base,0.6292645943896892,0.32840535759413697,,0.013299223433161322,0.01329922343316132,0.0
5,Mixtral-8x7B-v0.1,0.6034874905231236,0.30869345463735154,,0.013469149860216014,0.013469149860216014,0.0
13,Qwen1.5-7B,0.5905989385898408,0.30745093083986186,,0.013539368714066087,0.013539368714066087,0.0
21,gemma-7b,0.5678544351781653,0.2905189116333923,,0.013639898650590173,0.013639898650590175,0.0
24,llama2_70B,0.5670962850644428,0.28824446129222475,,0.01364274179694455,0.01364274179694455,0.0
2,Meta-Llama-3-8B,0.55420773313116,0.2783253306376885,,0.013686114158140155,0.013686114158140153,0.0
11,Qwen1.5-4B,0.5504169825625473,0.278388509813832,,0.013697094866637295,0.013697094866637295,0.0
28,llama_65B,0.5079605761940864,0.24901019290708448,,0.013765517929653553,0.01376551792965355,0.0
3,Mistral-7B-v0.1,0.41243366186504926,0.19010614101592116,,0.013554487699272004,0.013554487699272002,0.0
23,llama2_13B,0.379833206974981,0.16978350602308145,,0.013363749350580545,0.013363749350580545,0.0
7,Qwen1.5-1.8B,0.3692191053828658,0.16811978771796815,,0.01328797953047724,0.01328797953047724,0.0
27,llama_33B,0.3464746019711903,0.15369387583185914,,0.013102209507573924,0.013102209507573924,0.0
18,falcon-40b,0.2714177407126611,0.1152177575604414,,0.012244357854599413,0.012244357854599413,0.0
22,llama2_07B,0.22517058377558757,0.08986184820149945,,0.011501023192697262,0.011501023192697262,0.0
29,mpt-30b,0.2175890826383624,0.08712408390194591,,0.01136092266842382,0.01136092266842382,0.0
6,Qwen1.5-0.5B,0.2092494313874147,0.08754527840956954,,0.011200296041910135,0.011200296041910135,0.0
20,gemma-2b,0.18802122820318423,0.07758402830427091,,0.010758541080347331,0.01075854108034733,0.0
17,deepseek-moe-16b-base,0.18574677786201668,0.07208743997978266,,0.010708237367453952,0.010708237367453952,0.0
26,llama_13B,0.17589082638362397,0.07055008002695645,,0.010483144475914105,0.010483144475914103,0.0
16,deepseek-llm-7b-base,0.14101592115238817,0.05534495830174375,,0.009583060583104323,0.009583060583104323,0.0
25,llama_07B,0.10917361637604246,0.040413613006486396,,0.008586832394498266,0.008586832394498266,0.0
35,stablelm-3b-4e1t,0.10765731614859743,0.03950804481509561,,0.008534247042147603,0.008534247042147603,0.0
19,falcon-7b,0.07884761182714177,0.029904810041277062,,0.007420575964124792,0.007420575964124793,0.0
36,stablelm-base-alpha-7b-v2,0.07354056103108415,0.029315137730603992,,0.007187109750189698,0.007187109750189697,0.0
31,pythia-12b-deduped-v0,0.0356330553449583,0.014994524471400893,,0.005104171888611547,0.005104171888611547,0.0
33,pythia-2.8b-deduped,0.029567854435178165,0.013983657653104203,,0.004664124075148927,0.004664124075148927,0.0
34,pythia-6.9b-deduped-v0,0.02880970432145565,0.013309746440906411,,0.004605737370232116,0.004605737370232115,0.0
30,pythia-1.4b-deduped-v0,0.02047005307050796,0.01185662538960492,,0.0038989345561428147,0.0038989345561428147,0.0
32,pythia-1b-deduped,0.019711902956785442,0.010382444612922247,,0.0038275312315825378,0.0038275312315825373,0.0
