,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
4,claude-3-opus-20240229,0.774390243902439,0.2527947154471545,,0.03263900797780726,0.03263900797780726,0.0
17,deepseek-coder-33b-instruct,0.7621951219512195,0.24148882113821138,,0.03324463261510532,0.03324463261510531,0.0
32,opencodeinterpreter-ds-33b,0.7439024390243902,0.2383130081300813,,0.034083076431154394,0.0340830764311544,0.0
27,mixtral-8x22b-instruct-v0.1,0.7378048780487805,0.23373983739837398,,0.034344811797648304,0.034344811797648304,0.0
37,speechless-codellama-34b,0.725609756097561,0.21989329268292682,,0.034842873606814956,0.03484287360681495,0.0
0,HuggingFaceH4--starchat2-15b-v0.1,0.7195121951219512,0.21925813008130082,,0.03507956080884013,0.03507956080884013,0.0
11,code-millenials-34b,0.7195121951219512,0.2228150406504065,,0.03507956080884013,0.03507956080884013,0.0
18,deepseek-coder-6.7b-instruct,0.7195121951219512,0.23234247967479674,,0.03507956080884013,0.03507956080884013,0.0
22,meta-llama-3-70b-instruct,0.7195121951219512,0.21938516260162602,,0.03507956080884013,0.03507956080884013,0.0
19,deepseek-coder-7b-instruct-v1.5,0.7134146341463414,0.21633638211382114,,0.03530824144899643,0.03530824144899642,0.0
21,gpt-3.5-turbo,0.7073170731707317,0.20833333333333334,,0.03552907012882597,0.035529070128825974,0.0
33,opencodeinterpreter-ds-6.7b,0.7073170731707317,0.21379573170731708,,0.03552907012882597,0.035529070128825974,0.0
48,xwincoder-34b,0.7012195121951219,0.21239837398373984,,0.03574219238569907,0.03574219238569906,0.0
3,claude-3-haiku-20240307,0.6890243902439024,0.20503048780487804,,0.03614585796640559,0.03614585796640559,0.0
31,openchat,0.6890243902439024,0.20503048780487804,,0.03614585796640559,0.03614585796640559,0.0
38,speechless-coder-ds-6.7b,0.6646341463414634,0.17911585365853658,,0.03686623793034343,0.03686623793034343,0.0
8,code-llama-70b-instruct,0.6646341463414634,0.19588414634146342,,0.03686623793034343,0.03686623793034343,0.0
44,white-rabbit-neo-33b-v1,0.6585365853658537,0.19016768292682926,,0.03702884102542492,0.037028841025424926,0.0
12,codebooga-34b,0.6585365853658537,0.17682926829268292,,0.03702884102542492,0.037028841025424926,0.0
5,claude-3-sonnet-20240229,0.6463414634146342,0.1875,,0.03733371066130246,0.03733371066130247,0.0
25,mistral-large-latest,0.6341463414634146,0.18076727642276422,,0.03761200825631429,0.03761200825631429,0.0
41,speechless-starcoder2-15b,0.6341463414634146,0.1679369918699187,,0.03761200825631429,0.03761200825631429,0.0
15,deepseek-coder-1.3b-instruct,0.6158536585365854,0.16234756097560976,,0.037980894571633166,0.03798089457163317,0.0
2,bigcode--starcoder2-15b-instruct-v0.1,0.6097560975609756,0.15777439024390244,,0.038091161436245385,0.03809116143624538,0.0
1,Qwen--Qwen1.5-72B-Chat,0.5975609756097561,0.15828252032520326,,0.03829298605123339,0.03829298605123339,0.0
23,microsoft--Phi-3-mini-4k-instruct,0.5975609756097561,0.1603150406504065,,0.03829298605123339,0.03829298605123339,0.0
6,code-13b,0.5365853658536586,0.13147865853658536,,0.038938781768853556,0.03893878176885356,0.0
14,codegemma-7b-it,0.5304878048780488,0.1169969512195122,,0.03897079063720063,0.03897079063720063,0.0
39,speechless-coding-7b-16k-tora,0.524390243902439,0.12157012195121951,,0.03899696016939697,0.03899696016939697,0.0
42,speechless-starcoder2-7b,0.5182926829268293,0.11814024390243902,,0.039017302115054414,0.039017302115054414,0.0
45,wizardcoder-15b,0.5060975609756098,0.11013719512195122,,0.03904053707445483,0.03904053707445483,0.0
30,open-hermes-2.5-code-290k-13b,0.5060975609756098,0.10848577235772358,,0.03904053707445483,0.03904053707445484,0.0
7,code-33b,0.5,0.11814024390243902,,0.03904344047215152,0.03904344047215152,0.0
34,phi-2,0.4573170731707317,0.10619918699186992,,0.038900919150004244,0.038900919150004244,0.0
46,wizardcoder-7b,0.4573170731707317,0.09717987804878049,,0.038900919150004244,0.038900919150004244,0.0
10,code-llama-multi-34b,0.43902439024390244,0.08777947154471545,,0.0387520239451668,0.0387520239451668,0.0
16,deepseek-coder-33b,0.43902439024390244,0.10581808943089431,,0.0387520239451668,0.0387520239451668,0.0
24,mistral-7b-codealpaca,0.4329268292682927,0.09463922764227642,,0.03869054760784723,0.03869054760784724,0.0
43,starcoder2-15b-oci,0.4329268292682927,0.08892276422764228,,0.03869054760784723,0.03869054760784723,0.0
40,speechless-mistral-7b,0.4268292682926829,0.078125,,0.038623104107027594,0.0386231041070276,0.0
13,codegemma-7b,0.42073170731707316,0.11369410569105691,,0.0385496621236604,0.0385496621236604,0.0
28,mixtral-8x7b-instruct,0.40853658536585363,0.09082825203252033,,0.038384642173364195,0.038384642173364195,0.0
36,solar-10.7b-instruct,0.3780487804878049,0.07075711382113821,,0.03786431971764193,0.03786431971764193,0.0
26,mistralai--Mistral-7B-Instruct-v0.2,0.36585365853658536,0.06986788617886179,,0.03761200825631429,0.03761200825631429,0.0
20,gemma-1.1-7b-it,0.3597560975609756,0.058307926829268296,,0.0374761426409924,0.0374761426409924,0.0
9,code-llama-multi-13b,0.3475609756097561,0.061229674796747964,,0.037184636861943086,0.03718463686194309,0.0
29,octocoder,0.3353658536585366,0.06440548780487805,,0.03686623793034343,0.03686623793034343,0.0
47,xdan-l1-chat,0.32926829268292684,0.059197154471544715,,0.036696737088003896,0.036696737088003896,0.0
35,python-code-13b,0.3170731707317073,0.05741869918699187,,0.036336652121535876,0.036336652121535876,0.0
