,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,Kimi-k1.6-IOI-high,0.8602272727272727,0.2777618577075099,1.0,0.011688976546665232,0.011688976546665232,0.0
17,O1-2024-12-17 (High),0.8318181818181818,0.2597332015810277,1.0,0.012608470016352825,0.012608470016352825,0.0
11,Kimi-k1.6-IOI,0.8014772727272726,0.23405583003952568,10.0,0.013446504024742473,0.011759473911947023,0.006520984879728895
23,QwQ-Max-Preview,0.8,0.23183300395256917,1.0,0.01348399724926484,0.013483997249264842,0.0
19,O1-2024-12-17 (Med),0.7829545454545455,0.2205978260869565,1.0,0.013896399354059782,0.013896399354059785,0.0
5,DeepSeek-R1-Preview,0.7788636363636364,0.2152771739130435,10.0,0.013990056221622098,0.012373683231783127,0.006527912098338669
14,Llama-3_1-Nemotron-Ultra-253B-v1,0.7772727272727272,0.2227470355731225,1.0,0.014025943280170946,0.014025943280170945,0.0
18,O1-2024-12-17 (Low),0.759090909090909,0.20666007905138342,1.0,0.014415581091717073,0.014415581091717073,0.0
3,DeepCoder-14B-Preview,0.7329545454545454,0.20554347826086955,1.0,0.014913850325668379,0.014913850325668377,0.0
20,O1-Mini-2024-09-12,0.6840909090909091,0.16694664031620554,1.0,0.015670997284723813,0.015670997284723816,0.0
13,Llama-3_1-Nemotron-Nano-8B-v1,0.6443181818181818,0.1502420948616601,1.0,0.01613762762771495,0.016137627627714955,0.0
4,DeepSeek-R1-Lite-Preview,0.6307954545454545,0.13297183794466402,10.0,0.01626808605655452,0.013934035266910182,0.008396027937302672
22,QwQ-32B-Preview,0.5988636363636364,0.11533596837944665,1.0,0.016522229564388764,0.016522229564388764,0.0
21,O1-Preview-2024-09-12,0.5556818181818182,0.10489130434782609,1.0,0.01675015383660587,0.016750153836605875,0.0
6,DeepSeek-V3 copy,0.545340909090909,0.098399209486166,10.0,0.016785552566351176,0.015766442360589935,0.005759693589760993
15,MetaStone-L1-7B,0.5409090909090909,0.10008794466403162,10.0,0.016798486345535033,0.014098571630258282,0.0091334233170046
9,Gemini-Flash-2.0-Thinking,0.5114772727272727,0.0808255928853755,10.0,0.016850555433614044,0.015204956490972745,0.007262955082397633
1,Claude-3.5-Sonnet-20240620,0.48034090909090915,0.07447776679841897,10.0,0.016841963289268784,0.016407371231945186,0.0038013019735631203
7,GPT-4O-2024-05-13,0.4343181818181819,0.05251333992094861,10.0,0.01670893537358253,0.015924651112476363,0.005059052111261833
10,Gemini-Pro-1.5-002,0.4209090909090909,0.04953705533596838,10.0,0.01664279219154283,0.016030996928119958,0.0044709808120240915
16,Mistral-Large,0.3729545454545455,0.03655088932806324,10.0,0.01630182130368967,0.015199105485833588,0.005893773854495427
8,Gemini-Flash-1.5-002,0.36124999999999996,0.03359090909090909,10.0,0.016193027311862573,0.0158663640937609,0.003236143378613214
2,Codestral-Latest,0.3532954545454545,0.03312203557312253,10.0,0.01611315725590056,0.015298782360438315,0.005057775700969974
0,AzeroGPT-64b,0.2203409090909091,0.011485671936758894,10.0,0.013972000933356163,0.01135487717685842,0.008141472494589986
