,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
26,O4-Mini (High),0.801762114537445,0.27657282488986784,1.0,0.018710619509911788,0.018710619509911784,0.0
22,O3 (High),0.7577092511013216,0.2450130781938326,1.0,0.02010906067817643,0.020109060678176426,0.0
28,O4-Mini (Medium),0.7422907488986784,0.22443557268722467,1.0,0.02052693476037391,0.02052693476037391,0.0
17,Gemini-2.5-Pro-06-05,0.73568281938326,0.21759361233480176,1.0,0.020695697942340857,0.02069569794234086,0.0
7,DeepSeek-R1-0528,0.7306167400881058,0.2168756883259912,10.0,0.020821028805251388,0.01788139687530232,0.0106663436236152
16,Gemini-2.5-Pro-05-06,0.7180616740088106,0.20292538546255506,1.0,0.02111689233037562,0.021116892330375624,0.0
9,EXAONE-4.0-32B,0.7004405286343612,0.19234237334801763,4.0,0.0214980582301498,0.018917090511158644,0.010213236228519497
29,OpenReasoning-Nemotron-32B,0.6980176211453744,0.19239640693832602,10.0,0.021547459232454498,0.01850327979073387,0.011041813092065447
15,Gemini-2.5-Pro-03-25,0.6784140969162996,0.18188670154185022,1.0,0.021921385874021655,0.021921385874021655,0.0
23,O3-Mini-2025-01-31 (High),0.6740088105726872,0.18309815528634363,1.0,0.021999245774169892,0.021999245774169892,0.0
21,Grok-3-Mini (High),0.6674008810572687,0.21265831497797358,1.0,0.022111897300988212,0.022111897300988212,0.0
31,Qwen3-235B-A22B,0.6585903083700441,0.1646751101321586,1.0,0.022254490913957453,0.022254490913957453,0.0
27,O4-Mini (Low),0.6585903083700441,0.16411756607929517,1.0,0.022254490913957453,0.022254490913957453,0.0
32,XBai-o4-medium,0.6497797356828194,0.15895512114537447,1.0,0.022388540904443113,0.022388540904443113,0.0
25,O3-Mini-2025-01-31 (Med),0.6299559471365639,0.1521819933920705,1.0,0.02265968551382714,0.022659685513827143,0.0
14,Gemini-2.5-Flash-05-20,0.6189427312775331,0.14062844162995594,1.0,0.022792524601302298,0.022792524601302298,0.0
13,Gemini-2.5-Flash-04-17,0.6057268722466961,0.13413752753303965,1.0,0.022935545988499957,0.02293554598849996,0.0
24,O3-Mini-2025-01-31 (Low),0.5704845814977973,0.11520167951541851,1.0,0.02323182932463347,0.023231829324633472,0.0
4,Claude-Opus-4 (Thinking),0.566079295154185,0.10828400330396476,1.0,0.023260331263049494,0.023260331263049494,0.0
6,Claude-Sonnet-4 (Thinking),0.5594713656387665,0.10798113986784141,1.0,0.02329957916227027,0.02329957916227027,0.0
30,QwQ-32B_temp,0.5572687224669604,0.10810848017621144,1.0,0.02331173030178156,0.02331173030178156,0.0
2,Claude-3.7-Sonnet,0.5044052863436124,0.08476046255506609,1.0,0.023465251911104847,0.023465251911104847,0.0
19,Gemini-Flash-2.0-Thinking-01-21,0.4889867841409692,0.08536274779735684,1.0,0.023460469567486618,0.02346046956748662,0.0
20,Gemini-Flash-2.0-Thinking-12-19,0.486784140969163,0.08842924008810572,1.0,0.0234579641412496,0.023457964141249604,0.0
5,Claude-Sonnet-4,0.4713656387665198,0.07244631057268723,1.0,0.02342765005563739,0.02342765005563739,0.0
3,Claude-Opus-4,0.46916299559471364,0.07190597466960354,1.0,0.023421491277347484,0.023421491277347484,0.0
1,Claude-3.5-Sonnet-20241022,0.36387665198237884,0.0384182268722467,10.0,0.02257978678374269,0.021627171857181868,0.00648939200998072
18,Gemini-Flash-2.0-Exp,0.31277533039647576,0.026070346916299558,1.0,0.021758937760125413,0.021758937760125413,0.0
11,GPT-4O-2024-08-06,0.2953744493392071,0.02024814151982379,10.0,0.02141103836607614,0.019987125232623793,0.0076777202898384925
10,GPT-4-Turbo-2024-04-09,0.28700440528634363,0.019114124449339208,10.0,0.021230478290462443,0.01975432347035104,0.007778168979299372
12,GPT-4O-mini-2024-07-18,0.2746696035242291,0.01720574063876652,10.0,0.020948132528716898,0.02010552374453491,0.005881510979215281
8,DeepSeek-V3,0.2720264317180617,0.028345952643171805,10.0,0.020885045772678433,0.019646136886778107,0.007086214952486966
0,Claude-3-Haiku,0.2022026431718062,0.01044018447136564,10.0,0.018850018653290144,0.018144459112351328,0.00510899273336705
