,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,gpt-4-1106-preview,0.7407407407407407,0.23941798941798942,,0.02254002294259943,0.022540022942599432,0.0
5,claude-3-opus-20240229,0.7354497354497355,0.23084291187739464,,0.02268739843661728,0.02268739843661728,0.0
23,deepseek-coder-33b-instruct,0.7037037037037037,0.2122787812442985,,0.02348616620274918,0.023486166202749178,0.0
6,claude-3-sonnet-20240229,0.6984126984126984,0.201559934318555,,0.023605689448972962,0.02360568944897296,0.0
32,meta-llama-3-70b-instruct,0.6957671957671958,0.19307608100711549,,0.02366405111085963,0.02366405111085963,0.0
4,claude-3-haiku-20240307,0.6931216931216931,0.20073891625615764,,0.02372148868680078,0.02372148868680078,0.0
42,opencodeinterpreter-ds-33b,0.6878306878306878,0.19189016602809705,,0.02383361819726812,0.02383361819726812,0.0
53,white-rabbit-neo-33b-v1,0.6746031746031746,0.18527640941434045,,0.02409821896306408,0.02409821896306408,0.0
43,opencodeinterpreter-ds-6.7b,0.6693121693121693,0.1761995986133917,,0.02419789385445671,0.02419789385445671,0.0
58,xwincoder-34b,0.6613756613756614,0.16912972085385877,,0.02434093683747281,0.024340936837472814,0.0
25,deepseek-coder-6.7b-instruct,0.6613756613756614,0.17551541689472724,,0.02434093683747281,0.024340936837472814,0.0
3,bigcode--starcoder2-15b-instruct-v0.1,0.6507936507936508,0.1756066411238825,,0.02451979412466991,0.02451979412466991,0.0
1,HuggingFaceH4--starchat2-15b-v0.1,0.6481481481481481,0.1689928845101259,,0.024562420547969796,0.024562420547969796,0.0
12,code-millenials-34b,0.6455026455026455,0.16694033935413247,,0.024604220620842228,0.02460422062084223,0.0
37,mixtral-8x22b-instruct-v0.1,0.6455026455026455,0.16935778142674696,,0.024604220620842228,0.02460422062084223,0.0
55,wizardcoder-34b,0.6375661375661376,0.15877577084473637,,0.02472470423398484,0.02472470423398484,0.0
0,CohereForAI--c4ai-command-r-plus,0.6375661375661376,0.1713191023535851,,0.02472470423398484,0.02472470423398484,0.0
51,starcoder2-15b-oci,0.6375661375661376,0.16160372194854952,,0.02472470423398484,0.02472470423398484,0.0
