,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
5,claude-3-opus-20240229,0.8941798941798942,0.2647327130085751,,0.015821608944357326,0.015821608944357322,0.0
31,gpt-4-1106-preview,0.8571428571428571,0.24438970990695127,,0.01799830823853463,0.01799830823853463,0.0
6,claude-3-sonnet-20240229,0.8359788359788359,0.22500456121145776,,0.019045908181300943,0.019045908181300943,0.0
32,meta-llama-3-70b-instruct,0.8227513227513228,0.2127349023900748,,0.019641737203627878,0.019641737203627878,0.0
23,deepseek-coder-33b-instruct,0.8042328042328042,0.21287173873380769,,0.02040868167977702,0.020408681679777017,0.0
4,claude-3-haiku-20240307,0.8015873015873016,0.21332785987958403,,0.0205122946434036,0.020512294643403605,0.0
42,opencodeinterpreter-ds-33b,0.8015873015873016,0.20634920634920634,,0.0205122946434036,0.020512294643403605,0.0
53,white-rabbit-neo-33b-v1,0.7936507936507936,0.198093413610655,,0.020814703504482623,0.020814703504482623,0.0
3,bigcode--starcoder2-15b-instruct-v0.1,0.7804232804232805,0.19052180259076812,,0.02129179884074442,0.021291798840744423,0.0
58,xwincoder-34b,0.7698412698412699,0.18089764641488779,,0.021650524456326623,0.021650524456326627,0.0
43,opencodeinterpreter-ds-6.7b,0.7645502645502645,0.17697500456121146,,0.02182258656670506,0.021822586566705056,0.0
12,code-millenials-34b,0.7619047619047619,0.17537858055099434,,0.02190684315372553,0.021906843153725528,0.0
55,wizardcoder-34b,0.7513227513227513,0.17455756248859697,,0.022232351342367788,0.022232351342367788,0.0
25,deepseek-coder-6.7b-instruct,0.7486772486772487,0.17040686006203248,,0.022310911866935505,0.022310911866935505,0.0
1,HuggingFaceH4--starchat2-15b-v0.1,0.7486772486772487,0.17401021711366538,,0.022310911866935505,0.022310911866935502,0.0
51,starcoder2-15b-oci,0.7433862433862434,0.16821747856230615,,0.022464736418560012,0.022464736418560012,0.0
0,CohereForAI--c4ai-command-r-plus,0.7433862433862434,0.17683816821747855,,0.022464736418560012,0.022464736418560012,0.0
37,mixtral-8x22b-instruct-v0.1,0.7380952380952381,0.17081736909323117,,0.022614240117126594,0.022614240117126594,0.0
46,speechless-codellama-34b,0.7380952380952381,0.16616493340631272,,0.022614240117126594,0.022614240117126594,0.0
48,speechless-starcoder2-15b,0.7354497354497355,0.16133004926108374,,0.02268739843661728,0.02268739843661728,0.0
35,mistral-large-latest,0.7275132275132276,0.17920999817551542,,0.022900621009261435,0.02290062100926144,0.0
2,Qwen--Qwen1.5-72B-Chat,0.7248677248677249,0.1552636380222587,,0.02296964331579969,0.022969643315799686,0.0
24,deepseek-coder-6.7b-base,0.7195767195767195,0.15503557744937055,,0.02310466547516719,0.02310466547516719,0.0
26,dolphin-2.6,0.7063492063492064,0.14883232986681263,,0.023424990332142844,0.023424990332142848,0.0
15,codegemma-7b-it,0.7037037037037037,0.15143222039773763,,0.02348616620274918,0.02348616620274918,0.0
8,code-llama-34b,0.6931216931216931,0.14636927567962052,,0.02372148868680078,0.02372148868680078,0.0
22,databricks--dbrx-instruct,0.671957671957672,0.14340448823207444,,0.024148491197782087,0.024148491197782087,0.0
49,speechless-starcoder2-7b,0.6666666666666666,0.1356048166392994,,0.024246432248443597,0.0242464322484436,0.0
10,code-llama-multi-34b,0.6666666666666666,0.1323207443897099,,0.024246432248443597,0.024246432248443597,0.0
33,microsoft--Phi-3-mini-4k-instruct,0.6587301587301587,0.1469622331691297,,0.024386913000347222,0.02438691300034722,0.0
14,codegemma-7b,0.6507936507936508,0.13227513227513227,,0.02451979412466991,0.024519794124669907,0.0
54,wizardcoder-15b,0.6428571428571429,0.12046159459952563,,0.02464519854794122,0.024645198547941224,0.0
44,phi-2,0.6402116402116402,0.12438423645320197,,0.02468535842357626,0.02468535842357626,0.0
41,openchat,0.6375661375661376,0.12032475825579274,,0.02472470423398484,0.02472470423398484,0.0
7,code-llama-13b,0.6349206349206349,0.12009669768290458,,0.02476323985952253,0.024763239859522525,0.0
9,code-llama-multi-13b,0.6296296296296297,0.11476008027732165,,0.024837895560585077,0.024837895560585077,0.0
38,mixtral-8x7b-instruct,0.5952380952380952,0.12306148513045065,,0.025246389296839356,0.025246389296839356,0.0
39,octocoder,0.5925925925925926,0.09856777960226236,,0.025272410652797974,0.025272410652797974,0.0
56,wizardcoder-7b,0.5846560846560847,0.10002736726874657,,0.025345931878304147,0.025345931878304143,0.0
47,speechless-mistral-7b,0.5740740740740741,0.10271848202882686,,0.02543344003129695,0.025433440031296953,0.0
27,gemma-1.1-7b-it,0.5714285714285714,0.10559204524721766,,0.025453451610707084,0.025453451610707084,0.0
19,codet5p-16b,0.5661375661375662,0.08684546615581099,,0.025491248749688902,0.025491248749688902,0.0
13,codegemma-2b,0.5555555555555556,0.09003831417624521,,0.025557983679346453,0.025557983679346453,0.0
50,stable-code-3b,0.5476190476190477,0.08347016967706623,,0.025600327911252174,0.025600327911252174,0.0
16,codegen-16b,0.5423280423280423,0.08821382959313993,,0.0256249060822992,0.0256249060822992,0.0
11,code-llama-multi-7b,0.5370370370370371,0.08693669038496625,,0.02564657314317335,0.025646573143173347,0.0
52,starcoder2-3b,0.5343915343915344,0.09678890713373473,,0.02565631735081653,0.025656317350816527,0.0
21,codet5p-6b,0.5291005291005291,0.08876117496807152,,0.025673631254947128,0.025673631254947128,0.0
29,gemma-7b,0.5264550264550265,0.08611567232256888,,0.025681202417459314,0.025681202417459314,0.0
40,open-hermes-2.5-code-290k-13b,0.5238095238095238,0.09095055646779784,,0.025688050594053557,0.025688050594053557,0.0
34,mistral-7b,0.5185185185185185,0.07370917715745302,,0.025699580240322626,0.02569958024032263,0.0
18,codegen-6b,0.5079365079365079,0.07681080094873198,,0.025713985028315595,0.025713985028315588,0.0
57,xdan-l1-chat,0.5026455026455027,0.0822842546980478,,0.025716865017687707,0.02571686501768771,0.0
20,codet5p-2b,0.48412698412698413,0.07503192848020435,,0.025704262681873792,0.025704262681873792,0.0
17,codegen-2b,0.46296296296296297,0.06974092318919906,,0.025646573143173347,0.02564657314317335,0.0
36,mistralai--Mistral-7B-Instruct-v0.2,0.4470899470899471,0.06682174785623061,,0.025572830236387376,0.025572830236387373,0.0
45,solar-10.7b-instruct,0.43915343915343913,0.06212370005473454,,0.025526088741460052,0.02552608874146005,0.0
28,gemma-2b,0.41798941798941797,0.05286444079547528,,0.025368931986865247,0.025368931986865247,0.0
30,gemma-7b-it,0.3968253968253968,0.06513409961685823,,0.025163749502945552,0.02516374950294555,0.0
