,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
77,20250625_ExpeRepair-v1_claude-4-sonnet-20250514,0.6033333333333334,0.29518072289156627,1.0,0.02824430457173164,0.02824430457173164,0.0
69,20250425_Refact_Agent,0.6,0.3028112449799197,1.0,0.0282842712474619,0.028284271247461894,0.0
82,20250906_KGCompass_claude-4-sonnet-20250514,0.5833333333333334,0.29887550200803215,1.0,0.02846375212766555,0.02846375212766555,0.0
72,20250526_sweagent_claude-4-sonnet-20250514,0.5666666666666667,0.278714859437751,1.0,0.02860976264351941,0.028609762643519398,0.0
61,20250114_Isoform,0.55,0.2589156626506024,1.0,0.028722813232690145,0.028722813232690138,0.0
78,20250625_SemAgent_Multi-v1_Claude3.7Sonnet_Gemini2.5Pro,0.5166666666666667,0.22899598393574297,1.0,0.028851471494663966,0.02885147149466396,0.0
83,20250911_isea_claude-3.5-sonnet-20241022,0.5133333333333333,0.2234136546184739,1.0,0.02885724762933466,0.028857247629334653,0.0
81,20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.49666666666666665,0.21393574297188755,1.0,0.02886687195205425,0.028866871952054243,0.0
73,20250528_Codev,0.49,0.20236947791164658,1.0,0.028861739379323625,0.02886173937932362,0.0
55,20241220_blackboxai_agent_v1,0.49,0.21220883534136545,1.0,0.028861739379323625,0.02886173937932362,0.0
53,20241208_gru,0.4866666666666667,0.20345381526104417,1.0,0.02885724762933466,0.028857247629334653,0.0
75,20250613_ExpeRepair-v1.0,0.48333333333333334,0.20795180722891565,1.0,0.028851471494663966,0.02885147149466396,0.0
48,20241127_globant_codefixer_agent,0.48333333333333334,0.21345381526104418,1.0,0.028851471494663966,0.02885147149466396,0.0
66,20250226_sweagent_claude-3-7-sonnet-20250219,0.48,0.19975903614457832,1.0,0.028844410203711916,0.02884441020371191,0.0
47,20241122_devlo,0.47333333333333333,0.19650602409638554,1.0,0.028826428203351226,0.02882642820335122,0.0
63,20250205_dars_agent_claude_3.5_sonnet_deepseek_r1,0.47,0.198714859437751,1.0,0.02881550508551487,0.02881550508551486,0.0
