,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
120,20250928_trae_doubao_seed_code,0.788,0.3160655737704918,1.0,0.018278730809331373,0.018278730809331376,0.0
108,20250804_epam-ai-run-claude-4-sonnet,0.768,0.2966229508196721,1.0,0.018877287940803362,0.018877287940803365,0.0
117,20250902_atlassian-rovo-dev,0.768,0.2954754098360656,1.0,0.018877287940803362,0.018877287940803365,0.0
113,20250819_ACoder,0.764,0.2917704918032787,1.0,0.018989681408596616,0.018989681408596616,0.0
116,20250901_warp,0.756,0.2913606557377049,1.0,0.019207498535728177,0.019207498535728177,0.0
93,20250612_trae,0.752,0.28195081967213115,1.0,0.019313000802568203,0.0193130008025682,0.0
106,20250731_harness_ai,0.748,0.27252459016393443,1.0,0.019416281827373642,0.019416281827373646,0.0
103,20250720_Lingxi-v1.5_claude-4-sonnet-20250514,0.746,0.27347540983606555,1.0,0.019467100451787882,0.019467100451787886,0.0
118,20250915_JoyCode,0.746,0.28295081967213115,1.0,0.019467100451787882,0.019467100451787882,0.0
90,20250603_Refact_Agent_claude-4-sonnet,0.744,0.27367213114754096,1.0,0.01951737687293044,0.01951737687293044,0.0
85,20250522_tools_claude-4-opus,0.732,0.27562295081967214,1.0,0.0198078772209442,0.019807877220944195,0.0
86,20250522_tools_claude-4-sonnet,0.724,0.2651967213114754,1.0,0.019991198063147694,0.019991198063147687,0.0
112,20250807_openhands_gpt5,0.718,0.26131147540983607,1.0,0.020123419192572618,0.020123419192572618,0.0
101,20250715_qodo_command,0.712,0.25481967213114753,1.0,0.020251222185339826,0.020251222185339826,0.0
100,20250710_bloop,0.712,0.2525245901639344,1.0,0.020251222185339826,0.020251222185339826,0.0
121,20250929_Prometheus_v1.2_gpt5,0.712,0.26186885245901637,1.0,0.020251222185339826,0.020251222185339826,0.0
96,20250623_warp,0.71,0.25334426229508195,1.0,0.020292855885754475,0.020292855885754475,0.0
92,20250611_moatless_claude-4-sonnet-20250514,0.708,0.24598360655737705,1.0,0.0203340109176719,0.0203340109176719,0.0
82,20250519_trae,0.706,0.24621311475409835,1.0,0.02037469018169356,0.02037469018169356,0.0
91,20250610_augment_agent_v1,0.704,0.252327868852459,1.0,0.020414896521902825,0.02041489652190283,0.0
79,20250515_Refact_Agent,0.704,0.24354098360655738,1.0,0.020414896521902825,0.02041489652190283,0.0
87,20250524_openhands_claude_4_sonnet,0.704,0.2509508196721311,1.0,0.020414896521902825,0.02041489652190283,0.0
81,20250519_devlo,0.702,0.242672131147541,1.0,0.020454632727086548,0.020454632727086548,0.0
75,20250430_zencoder_ai,0.7,0.2460327868852459,1.0,0.020493901531919198,0.020493901531919195,0.0
110,20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,0.696,0.24568852459016394,1.0,0.02057104761552022,0.020571047615520217,0.0
122,20250930_zai_glm4-6,0.682,0.23508196721311475,1.0,0.020826713614970557,0.02082671361497056,0.0
80,20250516_cortexa_o3,0.682,0.2342295081967213,1.0,0.020826713614970557,0.02082671361497056,0.0
84,20250522_sweagent_claude-4-sonnet-20250514,0.666,0.22619672131147542,1.0,0.02109236828807993,0.02109236828807993,0.0
