,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,codellama-13b,codellama-13b+cot,800.0,0.3525,0.36375,239.95999999999998,-9.000000000000014,0.019363302920731268,0.604916208688432,0.017314192155569952,0.008660141273385788,0.019359217362150776,0.7312114060903814,CRUXEval-input-T0.8
1,codellama-13b,codellama-34b,800.0,0.3525,0.41112499999999996,223.1,-46.900000000000006,0.018670665494298806,0.00199947455686183,0.01623605170600291,0.008982664511087453,0.01855525900435642,0.7526997891962836,CRUXEval-input-T0.8
2,codellama-13b,codellama-34b+cot,800.0,0.3525,0.42737500000000006,258.4,-59.900000000000006,0.020093531297410122,0.0002257687089220492,0.01732637079714041,0.00982542838601707,0.019918387684969632,0.6689193878510045,CRUXEval-input-T0.8
3,codellama-13b,codellama-7b,800.0,0.3525,0.28350000000000003,207.96,55.20000000000002,0.01802602285586036,0.00016095029903479935,0.01575595125658873,0.008410484528254006,0.01786018616924247,0.7576419851693003,CRUXEval-input-T0.8
4,codellama-13b,codellama-7b+cot,800.0,0.3525,0.3005,239.44,41.59999999999998,0.0193423111338847,0.009526115988763899,0.017123631332167835,0.00880489920442023,0.019254739676245948,0.7090575026192159,CRUXEval-input-T0.8
5,codellama-13b,codellama-python-13b,800.0,0.3525,0.32475000000000004,201.5,22.200000000000003,0.01774383695822299,0.15816534520094067,0.01605167436749201,0.007498327938614048,0.017716691899872277,0.8136962178458781,CRUXEval-input-T0.8
6,codellama-13b,codellama-python-34b,800.0,0.3525,0.36950000000000005,212.98,-13.599999999999994,0.0182422928931645,0.3719802555250082,0.015800514232138144,0.009097458436288676,0.018232388762858254,0.7486377540860626,CRUXEval-input-T0.8
7,codellama-13b,codellama-python-7b,800.0,0.3525,0.316,214.46,29.200000000000017,0.018305566093404488,0.06468655770375994,0.016069186351523837,0.008672351901301055,0.01826002293262525,0.747182590477619,CRUXEval-input-T0.8
8,codellama-13b,codetulu-2-34b,800.0,0.3525,0.43912499999999993,226.76000000000005,-69.30000000000001,0.018823190484081067,3.7464663001239347e-06,0.01603365600853405,0.009373073760445397,0.01857236217390642,0.7420090530974567,CRUXEval-input-T0.8
9,codellama-13b,deepseek-base-33b,800.0,0.3525,0.39637500000000003,222.38,-35.10000000000001,0.018640513673179718,0.018619480178205267,0.016165646445471953,0.009150647816889795,0.018575857462543956,0.7421062846440863,CRUXEval-input-T0.8
10,codellama-13b,deepseek-base-6.7b,800.0,0.3525,0.368875,218.52,-13.099999999999994,0.018478027492132378,0.37864628597725075,0.01625624879853898,0.008765654523123188,0.01846895568836392,0.7540211490855464,CRUXEval-input-T0.8
11,codellama-13b,deepseek-instruct-33b,800.0,0.3525,0.427875,231.39999999999998,-60.3,0.01901479686980642,7.217374993186703e-05,0.0154409156140431,0.010772134733596214,0.01882712834499064,0.6777207224492818,CRUXEval-input-T0.8
12,codellama-13b,deepseek-instruct-6.7b,800.0,0.3525,0.346625,213.48000000000002,4.700000000000003,0.018263693492828883,0.7841033831878784,0.015128098856102177,0.010230346058113087,0.018262512298934937,0.6955978430951619,CRUXEval-input-T0.8
13,codellama-13b,gpt-3.5-turbo-0613+cot,800.0,0.3525,0.44299999999999995,272.58000000000004,-72.4,0.02063749621441516,1.4997717658225207e-05,0.017391628733387798,0.010639534176833118,0.020387948339644184,0.6119416088431288,CRUXEval-input-T0.8
14,codellama-13b,magicoder-ds-7b,800.0,0.3525,0.400875,218.14000000000004,-38.7,0.01846195412192328,0.008108550035627975,0.015726669227779926,0.009517901513398317,0.018382561688152985,0.7359235606999516,CRUXEval-input-T0.8
15,codellama-13b,mistral-7b,800.0,0.3525,0.27587500000000004,213.18,61.30000000000001,0.018250856144301834,3.511534442326519e-05,0.01583656765211452,0.008657807847183374,0.01804867063577675,0.738042669674487,CRUXEval-input-T0.8
16,codellama-13b,mixtral-8x7b,800.0,0.3525,0.327875,213.96000000000004,19.700000000000003,0.018284214503226547,0.21735610630420663,0.01618786196506506,0.00845621881923298,0.01826347479859049,0.7607382662252848,CRUXEval-input-T0.8
17,codellama-13b,phi-2,800.0,0.3525,0.256875,230.06000000000003,76.50000000000003,0.018959661125663614,6.066408952331468e-07,0.015875984221458524,0.009797535364506218,0.01865579197511459,0.6514643850233167,CRUXEval-input-T0.8
18,codellama-13b,phind,800.0,0.3525,0.444,230.88,-73.19999999999999,0.01899341991322258,1.2122453400939634e-06,0.015396834090162823,0.0106405915014157,0.018715893980785422,0.6903214958252779,CRUXEval-input-T0.8
19,codellama-13b,starcoderbase-16b,800.0,0.3525,0.25762500000000005,212.26,75.89999999999998,0.01821143184925337,1.937683588795942e-07,0.015530715534063459,0.0088995248732025,0.01789985105995997,0.7222455671977442,CRUXEval-input-T0.8
20,codellama-13b,starcoderbase-7b,800.0,0.3525,0.254,211.84,78.79999999999998,0.01819340539866025,5.5755314396272955e-08,0.015367376158603004,0.009094830262297368,0.01785699267793992,0.7121860090165004,CRUXEval-input-T0.8
21,codellama-13b,wizard-13b,800.0,0.3525,0.322125,201.24,24.30000000000001,0.017732385626305334,0.12050284465324373,0.015222824146655574,0.009030494129268343,0.017699836135364362,0.7520496632842726,CRUXEval-input-T0.8
