,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,claude-3-opus-20240229,gpt-3.5-turbo-0613+cot,800.0,0.6575,0.5898749999999999,190.70000000000002,54.099999999999994,0.017261771345954042,0.0001093055776494787,0.008862667487839086,0.01461866783324493,0.017095388975356778,0.5809031728866806,CRUXEval-output-T0.2
1,claude-3-opus-20240229,gpt-4-0613,800.0,0.6575,0.6869999999999998,145.0,-23.60000000000001,0.015051993223490368,0.04587706851008295,0.003191786333700926,0.0146726680429975,0.015015814579968683,0.6019298751543776,CRUXEval-output-T0.2
2,claude-3-opus-20240229,gpt-4-turbo-2024-04-09,800.0,0.6575,0.67708333333325,135.6666666666,-15.666666666600008,0.014559504341376548,0.22810347806601317,0.0030046260628115423,0.014229265800057454,0.01454303211115244,0.6293266094323906,CRUXEval-output-T0.2
3,claude-3-opus-20240229,gpt-4o,800.0,0.6575,0.6995833333335,149.66666666679998,-33.6666666668,0.015292291086258951,0.00853115461460052,0.00288675134587596,0.014943462605881721,0.015219737448008162,0.5840271767752976,CRUXEval-output-T0.2
4,claude-3-opus-20240229+cot,gpt-4-0613+cot,800.0,0.82,0.771125,135.1,39.099999999999994,0.014529065696045292,0.0009994843752152355,0.00661555931119962,0.012819600928607334,0.01442594166662094,0.5453197586886646,CRUXEval-output-T0.2
5,claude-3-opus-20240229+cot,gpt-4-turbo-2024-04-09+cot,800.0,0.82,0.820416666667,122.33333333319999,-0.3333333336000024,0.013825550019190015,0.9279107996055393,0.005651941652463091,0.01261749467510839,0.013825542170896443,0.5296420132727644,CRUXEval-output-T0.2
6,claude-3-opus-20240229+cot,gpt-4o+cot,800.0,0.82,0.7600000000014999,190.6666666648,47.99999999880002,0.017260262647588825,0.0006125635007924338,0.009358782268608203,0.014346771801097268,0.017129409407915238,0.3699293947673926,CRUXEval-output-T0.2
7,codellama-13b,codellama-13b+cot,800.0,0.397375,0.35987499999999994,193.14,30.0,0.017371852232850704,0.04357407848555545,0.01208175277019026,0.012411876872576525,0.017321184644821495,0.6663616309722245,CRUXEval-output-T0.2
8,codellama-13b,codellama-34b,800.0,0.397375,0.42400000000000004,148.0,-21.300000000000004,0.01520690632574555,0.08396661724393041,0.007912608609049231,0.01295200801878805,0.015177743136538776,0.6905389115333481,CRUXEval-output-T0.2
9,codellama-13b,codellama-34b+cot,800.0,0.397375,0.436125,208.27999999999997,-30.999999999999986,0.018039886363278457,0.031349945674034145,0.011621639299169461,0.013729459088944474,0.017987788826729093,0.6059829414594731,CRUXEval-output-T0.2
