,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Doubao-lite-4k,ERNIE-Speed-8K,1000.0,0.157,0.088,161.0,69.0,0.012688577540449521,5.283208926292755e-08,0.0,0.012499559992255728,0.012499559992255728,0.2734640625986782,DS1000
1,Doubao-lite-4k,Qwen-Qwen1.5-14B,1000.0,0.157,0.248,193.0,-91.0,0.013892443989449804,4.026853466792048e-11,0.0,0.013591136817794162,0.01359113681779416,0.42686552272988143,DS1000
2,Doubao-lite-4k,Qwen-Qwen1.5-14B-Chat,1000.0,0.157,0.214,201.0,-57.0,0.014177446878757825,7.051394532266084e-05,0.0,0.01406239666628701,0.01406239666628701,0.3445071533824774,DS1000
3,Doubao-lite-4k,Qwen-Qwen1.5-7B,1000.0,0.157,0.201,172.0,-44.0,0.013114877048604,0.0009857426331598563,0.0,0.013040858867421273,0.013040858867421271,0.42144157896751744,DS1000
4,Doubao-lite-4k,Qwen-Qwen2-1.5B,1000.0,0.157,0.118,151.0,39.0,0.012288205727444507,0.0018877311602805867,0.0,0.012226160476617341,0.012226160476617341,0.37041681340490085,DS1000
5,Doubao-lite-4k,Salesforce-codegen25-7b-mono_P,1000.0,0.157,0.156,187.0,1.0,0.013674794331177343,1.0,0.0,0.013674757767507257,0.013674757767507257,0.2917116858552248,DS1000
6,Doubao-lite-4k,THUDM-codegeex2-6b,1000.0,0.157,0.241,202.0,-84.0,0.014212670403551895,3.1240759594251533e-09,0.0,0.013962234778143505,0.013962234778143505,0.3866664233889482,DS1000
7,Doubao-lite-4k,claude-3-haiku-20240307,1000.0,0.157,0.163,202.0,-6.0,0.014212670403551895,0.7250853387900511,0.0,0.014211403871539222,0.014211403871539222,0.24862416169492824,DS1000
8,Doubao-lite-4k,claude-3-opus-20240229,1000.0,0.157,0.216,217.0,-59.0,0.014730919862656237,7.500923787618147e-05,0.0,0.014612289348353322,0.014612289348353324,0.29449089884230845,DS1000
9,Doubao-lite-4k,claude-3-sonnet-20240229,1000.0,0.157,0.232,233.0,-75.0,0.01526433752247375,1.0165023794784158e-06,0.0,0.015078958850000223,0.015078958850000221,0.2707412862429609,DS1000
10,Doubao-lite-4k,codellama-CodeLlama-13b-Instruct-hf,1000.0,0.157,0.079,172.0,78.0,0.013114877048604,2.313649065944268e-09,0.0,0.012880838482024376,0.012880838482024376,0.19970209382617218,DS1000
11,Doubao-lite-4k,codellama-CodeLlama-70b-Instruct-hf,1000.0,0.157,0.087,170.0,70.0,0.013038404810405298,8.020158388607749e-08,0.0,0.01284912448379266,0.01284912448379266,0.22764642267355906,DS1000
12,Doubao-lite-4k,codellama-CodeLlama-7b-hf,1000.0,0.157,0.229,192.0,-72.0,0.013856406460551019,2.181860661770331e-07,0.0,0.01366806496911688,0.01366806496911688,0.39935192553742543,DS1000
13,Doubao-lite-4k,deepseek-ai-deepseek-V2-Lite,1000.0,0.157,0.169,156.0,-12.0,0.012489995996796796,0.3785370170481047,0.0,0.012484230052350045,0.012484230052350045,0.42884794430022966,DS1000
14,Doubao-lite-4k,deepseek-ai-deepseek-coder-1.3b-base,1000.0,0.157,0.175,166.0,-18.0,0.012884098726725126,0.18685382164683675,0.0,0.012871518946884241,0.012871518946884241,0.40167884083920746,DS1000
15,Doubao-lite-4k,deepseek-ai-deepseek-coder-V2-Instruct,1000.0,0.157,0.233,230.0,-76.0,0.015165750888103102,6.066408952331468e-07,0.0,0.01497411099197545,0.01497411099197545,0.28231929498552716,DS1000
16,Doubao-lite-4k,google-codegemma-1.1-2b,1000.0,0.157,0.166,159.0,-9.0,0.012609520212918493,0.5259245063255041,0.0,0.012606307944834602,0.012606307944834602,0.41324370987582426,DS1000
17,Doubao-lite-4k,google-codegemma-2b,1000.0,0.157,0.133,156.0,24.0,0.012489995996796796,0.06520677354687977,0.0,0.012466916218536163,0.012466916218536163,0.37331969226837114,DS1000
18,Doubao-lite-4k,google-gemma-1.1-2b-it,1000.0,0.157,0.085,132.0,72.0,0.011489125293076058,2.2572672560500646e-10,0.0,0.011261261030630628,0.011261261030630628,0.410566504720247,DS1000
19,Doubao-lite-4k,google-gemma-1.1-7b-it,1000.0,0.157,0.183,176.0,-26.0,0.0132664991614216,0.05919615140062466,0.0,0.013240996941318276,0.013240996941318276,0.378681734221441,DS1000
20,Doubao-lite-4k,google-gemma-2b,1000.0,0.157,0.103,140.0,54.0,0.011832159566199233,5.815464798668522e-06,0.0,0.011708287663018875,0.011708287663018875,0.39635388052688436,DS1000
21,Doubao-lite-4k,google-gemma-2b-it,1000.0,0.157,0.06,129.0,97.0,0.011357816691600547,3.6361201608796156e-19,0.0,0.010935767005564813,0.010935767005564813,0.40024122898736236,DS1000
22,Doubao-lite-4k,google-gemma-7b-it,1000.0,0.157,0.114,161.0,43.0,0.012688577540449521,0.0008761261354923654,0.0,0.012615506331495377,0.01261550633149538,0.3208960867092599,DS1000
23,Doubao-lite-4k,gpt-4o-2024-05-13,1000.0,0.157,0.201,222.0,-44.0,0.01489966442575134,0.0038034717856452087,0.0,0.014834554256869331,0.014834554256869331,0.2499649343670277,DS1000
24,Doubao-lite-4k,ibm-granite-granite-3b-code-base,1000.0,0.157,0.228,183.0,-71.0,0.013527749258468683,1.6165937834100122e-07,0.0,0.01334012743567317,0.01334012743567317,0.4272032535238636,DS1000
25,Doubao-lite-4k,m-a-p-OpenCodeInterpreter-DS-1.3B,1000.0,0.157,0.25,229.0,-93.0,0.015132745950421557,7.086396601982892e-10,0.0,0.014844224466101287,0.014844224466101286,0.3158121509153819,DS1000
26,Doubao-lite-4k,meta-llama-Llama-2-13b-hf,1000.0,0.157,0.116,151.0,41.0,0.012288205727444507,0.0010647254407627992,0.0,0.012219615378562454,0.012219615378562454,0.3672850460652406,DS1000
27,Doubao-lite-4k,meta-llama-Llama-2-70b-hf,1000.0,0.157,0.252,175.0,-95.0,0.013228756555322952,3.0143768280864107e-13,0.0,0.01288312850203707,0.012883128502037074,0.4902619951971774,DS1000
28,Doubao-lite-4k,meta-llama-Llama-2-7b-chat-hf,1000.0,0.157,0.064,139.0,93.0,0.011789826122551597,3.9040348640344726e-16,0.0,0.011417136243384328,0.011417136243384328,0.34761394612299246,DS1000
29,Doubao-lite-4k,meta-llama-Llama-2-7b-hf,1000.0,0.157,0.069,126.0,88.0,0.011224972160321825,4.523657277578305e-16,0.0,0.010874557462260247,0.010874557462260246,0.42477339600946945,DS1000
30,Doubao-lite-4k,meta-llama-Llama-3-8b-chat-hf,1000.0,0.157,0.178,193.0,-21.0,0.013892443989449804,0.14978339555605755,0.0,0.013876562975030957,0.013876562975030957,0.30938836902126216,DS1000
31,Doubao-lite-4k,microsoft-phi-1,1000.0,0.157,0.091,148.0,66.0,0.01216552506059644,5.564457739264457e-08,0.0,0.011985157487492603,0.011985157487492602,0.3413186997209186,DS1000
32,Doubao-lite-4k,microsoft-phi-1_5,1000.0,0.157,0.083,140.0,74.0,0.011832159566199233,2.59316019986872e-10,0.0,0.01159844817206164,0.011598448172061642,0.3683412653308494,DS1000
33,Doubao-lite-4k,microsoft-phi-2,1000.0,0.157,0.215,174.0,-58.0,0.013190905958272919,1.305194857418483e-05,0.0,0.01306277152827837,0.013062771528278371,0.4365455480821119,DS1000
34,Doubao-lite-4k,mistralai-Mistral-7B-Instruct-v0.3,1000.0,0.157,0.069,140.0,88.0,0.011832159566199233,2.4239447396778804e-14,0.0,0.011500260866606464,0.01150026086660646,0.34885709473374654,DS1000
