,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,2546.0,0.6370777690494894,0.6119402985074627,580.0,64.0,0.00945922590635687,0.008841111380734273,0.0,0.009446097843995941,0.009446097843995941,0.5153295434144393,agi_english
1,Meta-Llama-3-70B,Qwen1.5-110B,2546.0,0.6370777690494894,0.6523959151610369,553.0,-39.0,0.00923643049199124,0.10602581592316075,0.0,0.009231440070886363,0.009231440070886363,0.5262782998680554,agi_english
2,Meta-Llama-3-70B,Qwen1.5-14B,2546.0,0.6370777690494894,0.5471327572663001,705.0,229.0,0.010428843713552046,4.565233943444145e-18,0.0,0.010275368923693334,0.010275368923693334,0.4390488218221372,agi_english
3,Meta-Llama-3-70B,Qwen1.5-32B,2546.0,0.6370777690494894,0.6135113904163394,620.0,60.0,0.009779968262363497,0.017741419707717296,0.0,0.009768809714294458,0.009768809714294458,0.48124479656116675,agi_english
4,Meta-Llama-3-70B,Qwen1.5-72B,2546.0,0.6370777690494894,0.6323644933228594,572.0,12.0,0.009393763348862057,0.6456022828729818,0.0,0.00939329891014197,0.00939329891014197,0.5155311567793509,agi_english
5,Meta-Llama-3-70B,dbrx-base,2546.0,0.6370777690494894,0.558523173605656,596.0,200.0,0.009588810381566146,1.8858726336628674e-16,0.0,0.009461582924462508,0.009461582924462508,0.5232318036804668,agi_english
6,Meta-Llama-3-70B,deepseek-llm-67b-base,2546.0,0.6370777690494894,0.5549882168106834,659.0,209.0,0.010082873254511734,3.0514489196789e-16,0.0,0.009950756550691641,0.00995075655069164,0.4730591999276348,agi_english
7,Meta-Llama-3-8B,Mistral-7B-v0.1,2546.0,0.4744697564807541,0.4399057344854674,702.0,88.0,0.010406631028665963,0.0010110364191495398,0.0,0.010384061567574843,0.010384061567574845,0.44622233250957183,agi_english
8,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,2546.0,0.4744697564807541,0.5035349567949725,728.0,-74.0,0.010597594315186207,0.006778712643767457,0.0,0.010581927811522207,0.010581927811522207,0.42905392139499365,agi_english
9,Meta-Llama-3-8B,Qwen1.5-14B,2546.0,0.4744697564807541,0.5471327572663001,729.0,-185.0,0.010604870384917519,7.330730545787577e-12,0.0,0.010506639293782361,0.010506639293782363,0.43465014858570106,agi_english
10,Meta-Llama-3-8B,Qwen1.5-4B,2546.0,0.4744697564807541,0.42851531814611155,733.0,117.0,0.010633924878775243,1.7620348999493663e-05,0.0,0.010594852347638586,0.010594852347638583,0.4217720696557173,agi_english
11,Meta-Llama-3-8B,Qwen1.5-7B,2546.0,0.4744697564807541,0.48232521602513745,738.0,-20.0,0.010670131741717302,0.4843275999649066,0.0,0.010668995925326413,0.010668995925326413,0.41927073064666287,agi_english
12,Meta-Llama-3-8B,dbrx-base,2546.0,0.4744697564807541,0.558523173605656,762.0,-214.0,0.0108422417453592,8.035236270107033e-15,0.0,0.010713508950940512,0.010713508950940512,0.41074581611799277,agi_english
13,Meta-Llama-3-8B,deepseek-llm-67b-base,2546.0,0.4744697564807541,0.5549882168106834,763.0,-205.0,0.01084935374464504,1.0889491674361457e-13,0.0,0.010731357886644631,0.010731357886644631,0.4092569718903277,agi_english
14,Meta-Llama-3-8B,gemma-7b,2546.0,0.4744697564807541,0.45326001571091906,776.0,54.0,0.010941389062988312,0.05702423187723223,0.0,0.010933311688820453,0.010933311688820453,0.3878452230587698,agi_english
15,Meta-Llama-3-8B,llama2_13B,2546.0,0.4744697564807541,0.38020424194815394,800.0,240.0,0.011109297426340103,1.6806294296789955e-17,0.0,0.01095108732715572,0.01095108732715572,0.3705928802165146,agi_english
16,Meta-Llama-3-8B,llama2_70B,2546.0,0.4744697564807541,0.48860958366064416,726.0,-36.0,0.010583027168348373,0.1939184832312127,0.0,0.01057931638120593,0.01057931638120593,0.42920154296568463,agi_english
17,Meta-Llama-3-8B,llama_33B,2546.0,0.4744697564807541,0.4139827179890024,780.0,154.0,0.010969552273188486,3.8960612912635804e-08,0.0,0.010903854626732434,0.010903854626732434,0.3847201744668297,agi_english
18,Meta-Llama-3-8B,llama_65B,2546.0,0.4744697564807541,0.4842890809112333,719.0,-25.0,0.010531883486089492,0.3707720470693167,0.0,0.010530085419165487,0.010530085419165487,0.43436885769112427,agi_english
19,Mistral-7B-v0.1,Meta-Llama-3-8B,2546.0,0.4399057344854674,0.4744697564807541,702.0,-88.0,0.010406631028665963,0.0010110364191495398,0.0,0.010384061567574843,0.010384061567574845,0.44622233250957183,agi_english
20,Mistral-7B-v0.1,Mixtral-8x7B-v0.1,2546.0,0.4399057344854674,0.5035349567949725,726.0,-162.0,0.010583027168348373,1.979187474667484e-09,0.0,0.010507628312847746,0.010507628312847746,0.4336979596732311,agi_english
21,Mistral-7B-v0.1,Qwen1.5-1.8B,2546.0,0.4399057344854674,0.3413197172034564,907.0,251.0,0.01182892407413637,6.577672631578305e-17,0.0,0.01166644781115246,0.01166644781115246,0.26488057169997825,agi_english
22,Mistral-7B-v0.1,Qwen1.5-4B,2546.0,0.4399057344854674,0.42851531814611155,707.0,29.0,0.010443625923258705,0.2923127240784863,0.0,0.010441185920985875,0.010441185920985875,0.43502577198921777,agi_english
23,Mistral-7B-v0.1,Qwen1.5-7B,2546.0,0.4399057344854674,0.48232521602513745,718.0,-108.0,0.010524556957560301,6.329233179832355e-05,0.0,0.010490926488246972,0.010490926488246972,0.4351537806361749,agi_english
24,Mistral-7B-v0.1,deepseek-llm-7b-base,2546.0,0.4399057344854674,0.34328358208955223,812.0,246.0,0.011192307029674003,4.5401199834234444e-18,0.0,0.011027278487632913,0.011027278487632915,0.34417784466876605,agi_english
25,Mistral-7B-v0.1,gemma-7b,2546.0,0.4399057344854674,0.45326001571091906,716.0,-34.0,0.010509888578365791,0.21744801253706975,0.0,0.010506555669826152,0.010506555669826154,0.4313154154345019,agi_english
26,Mistral-7B-v0.1,llama2_07B,2546.0,0.4399057344854674,0.3479968578161822,862.0,234.0,0.011531750397410211,1.406781728780686e-15,0.0,0.011386984631213029,0.011386984631213027,0.3027407019696952,agi_english
27,Mistral-7B-v0.1,llama2_13B,2546.0,0.4399057344854674,0.38020424194815394,758.0,152.0,0.01081374697402687,3.7474519915315217e-08,0.0,0.010748822046222616,0.010748822046222614,0.38985886911452355,agi_english
28,Mistral-7B-v0.1,llama2_70B,2546.0,0.4399057344854674,0.48860958366064416,718.0,-124.0,0.010524556957560301,4.20210126001237e-06,0.0,0.01048020115028268,0.010480201150282682,0.43651674489053677,agi_english
29,Mistral-7B-v0.1,llama_33B,2546.0,0.4399057344854674,0.4139827179890024,734.0,66.0,0.01064117610694742,0.016373018096320188,0.0,0.010628766833682496,0.010628766833682496,0.41181313719603174,agi_english
30,Mistral-7B-v0.1,llama_65B,2546.0,0.4399057344854674,0.4842890809112333,705.0,-113.0,0.010428843713552046,2.3723381917927157e-05,0.0,0.01039168249148117,0.010391682491481168,0.4458641552308835,agi_english
31,Mistral-7B-v0.1,mpt-30b,2546.0,0.4399057344854674,0.3413197172034564,837.0,251.0,0.011363296261971276,3.126294605607491e-18,0.0,0.011194063681969627,0.011194063681969627,0.32328977063338965,agi_english
32,Mixtral-8x22B-v0.1,Meta-Llama-3-70B,2546.0,0.6119402985074627,0.6370777690494894,580.0,-64.0,0.00945922590635687,0.008841111380734273,0.0,0.009446097843995941,0.009446097843995941,0.5153295434144394,agi_english
33,Mixtral-8x22B-v0.1,Qwen1.5-110B,2546.0,0.6119402985074627,0.6523959151610369,605.0,-103.0,0.00966093784465738,3.235314835483394e-05,0.0,0.009627610577274173,0.009627610577274171,0.49179746255455453,agi_english
34,Mixtral-8x22B-v0.1,Qwen1.5-14B,2546.0,0.6119402985074627,0.5471327572663001,705.0,165.0,0.010428843713552046,5.495304227614028e-10,0.0,0.010349450606792912,0.010349450606792912,0.4381078937756423,agi_english
35,Mixtral-8x22B-v0.1,Qwen1.5-32B,2546.0,0.6119402985074627,0.6135113904163394,638.0,-4.0,0.009920919827427406,0.9054688209166035,0.0,0.009920870966251067,0.009920870966251069,0.47198736812212105,agi_english
36,Mixtral-8x22B-v0.1,Qwen1.5-72B,2546.0,0.6119402985074627,0.6323644933228594,600.0,-52.0,0.009620933789407612,0.03724823759960316,0.0,0.009612415025517665,0.009612415025517665,0.4994490831065348,agi_english
37,Mixtral-8x22B-v0.1,dbrx-base,2546.0,0.6119402985074627,0.558523173605656,626.0,136.0,0.009827176750350984,6.087024215368482e-08,0.0,0.009769988162660009,0.009769988162660009,0.49802160057694467,agi_english
38,Mixtral-8x22B-v0.1,deepseek-llm-67b-base,2546.0,0.6119402985074627,0.5549882168106834,661.0,145.0,0.010098161926301997,1.8791648250370976e-08,0.0,0.010034884133891418,0.010034884133891418,0.4708684832643218,agi_english
39,Mixtral-8x7B-v0.1,Meta-Llama-3-8B,2546.0,0.5035349567949725,0.4744697564807541,728.0,74.0,0.010597594315186207,0.006778712643767457,0.0,0.010581927811522207,0.010581927811522207,0.4290539213949936,agi_english
40,Mixtral-8x7B-v0.1,Mistral-7B-v0.1,2546.0,0.5035349567949725,0.4399057344854674,726.0,162.0,0.010583027168348373,1.979187474667484e-09,0.0,0.010507628312847746,0.010507628312847746,0.4336979596732311,agi_english
41,Mixtral-8x7B-v0.1,Qwen1.5-14B,2546.0,0.5035349567949725,0.5471327572663001,705.0,-111.0,0.010428843713552046,3.3127880319637156e-05,0.0,0.010392988541052296,0.010392988541052296,0.447527587038665,agi_english
42,Mixtral-8x7B-v0.1,Qwen1.5-4B,2546.0,0.5035349567949725,0.42851531814611155,805.0,191.0,0.01114395990503622,1.7243325676797723e-11,0.0,0.011044335072204507,0.011044335072204505,0.37248196582994525,agi_english
43,Mixtral-8x7B-v0.1,Qwen1.5-7B,2546.0,0.5035349567949725,0.48232521602513745,774.0,54.0,0.010927280238211748,0.056703994492180526,0.0,0.010919192427172934,0.010919192427172934,0.3924924571206014,agi_english
44,Mixtral-8x7B-v0.1,dbrx-base,2546.0,0.5035349567949725,0.558523173605656,670.0,-140.0,0.01016667643797705,7.087960983507037e-08,0.0,0.010108099751036994,0.010108099751036994,0.47614130034453545,agi_english
45,Mixtral-8x7B-v0.1,deepseek-llm-67b-base,2546.0,0.5035349567949725,0.5549882168106834,733.0,-131.0,0.010633924878775243,1.4805830170987035e-06,0.0,0.010584919283368684,0.010584919283368683,0.42601197947037434,agi_english
46,Mixtral-8x7B-v0.1,gemma-7b,2546.0,0.5035349567949725,0.45326001571091906,770.0,128.0,0.01089900779694549,4.502190693366692e-06,0.0,0.0108533685960298,0.010853368596029799,0.3975411712219528,agi_english
47,Mixtral-8x7B-v0.1,llama2_70B,2546.0,0.5035349567949725,0.48860958366064416,720.0,38.0,0.010539204921444414,0.1678786241481327,0.0,0.010535053090107853,0.010535053090107854,0.4346916421856862,agi_english
48,Mixtral-8x7B-v0.1,llama_33B,2546.0,0.5035349567949725,0.4139827179890024,812.0,228.0,0.011192307029674003,1.068712496646651e-15,0.0,0.011050694689178313,0.011050694689178311,0.36886142237741054,agi_english
49,Mixtral-8x7B-v0.1,llama_65B,2546.0,0.5035349567949725,0.4842890809112333,715.0,49.0,0.010502546706300814,0.07256394353661844,0.0,0.01049561826377435,0.01049561826377435,0.43878441943308366,agi_english
50,Qwen1.5-0.5B,Qwen1.5-1.8B,2546.0,0.29379418695993714,0.3413197172034564,795.0,-121.0,0.011074526457086948,2.0110586915968695e-05,0.0,0.0110344002710539,0.011034400271053901,0.28314246589564124,agi_english
51,Qwen1.5-0.5B,deepseek-llm-7b-base,2546.0,0.29379418695993714,0.34328358208955223,902.0,-126.0,0.011796274483645883,3.0679231375930075e-05,0.0,0.011755429044796963,0.01175542904479696,0.18746452065995364,agi_english
52,Qwen1.5-0.5B,deepseek-moe-16b-base,2546.0,0.29379418695993714,0.29654359780047135,865.0,-7.0,0.011551799819208753,0.8383634609739076,0.0,0.011551671307219027,0.011551671307219027,0.18348157717473354,agi_english
53,Qwen1.5-0.5B,falcon-7b,2546.0,0.29379418695993714,0.22859387274155538,1024.0,166.0,0.012568735271013355,2.377684083332872e-07,0.0,0.012502135680842229,0.012502135680842229,-0.03693759677698264,agi_english
54,Qwen1.5-0.5B,gemma-2b,2546.0,0.29379418695993714,0.27336999214454044,896.0,52.0,0.011756975292298324,0.08836387889162944,0.0,0.01175000526239652,0.011750005262396519,0.13450156110541825,agi_english
55,Qwen1.5-0.5B,llama2_07B,2546.0,0.29379418695993714,0.3479968578161822,974.0,-138.0,0.012258041268128229,1.0992199100536131e-05,0.0,0.012210881884760884,0.012210881884760882,0.12617239616179382,agi_english
