,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,1165.0,0.6017167381974249,0.6497854077253219,182.0,-56.0,0.011580032243117632,4.007639265526995e-05,0.0,0.01149407680919584,0.011494076809195838,0.6708011445183265,arc_challenge
1,DeepSeek-V2,Meta-Llama-3-8B,1165.0,0.6017167381974249,0.5356223175965665,215.0,77.0,0.012586161629712602,1.6265467921323027e-07,0.0,0.012436305835047786,0.012436305835047786,0.6311767876229664,arc_challenge
2,DeepSeek-V2,Mistral-7B-v0.1,1165.0,0.6017167381974249,0.5416309012875536,208.0,70.0,0.012379575194726143,1.3790084322234868e-06,0.0,0.01225377106657197,0.01225377106657197,0.6415775522777191,arc_challenge
3,DeepSeek-V2,Mixtral-8x22B-v0.1,1165.0,0.6017167381974249,0.6188841201716738,166.0,-20.0,0.011059312211781224,0.14006351827142788,0.0,0.011047868976048971,0.011047868976048971,0.700992810753615,arc_challenge
4,DeepSeek-V2,Mixtral-8x7B-v0.1,1165.0,0.6017167381974249,0.6017167381974249,172.0,0.0,0.011257405191934765,1.0,0.0,0.011257405191934765,0.011257405191934765,0.6919732893895466,arc_challenge
5,DeepSeek-V2,Qwen1.5-110B,1165.0,0.6017167381974249,0.5502145922746781,222.0,60.0,0.012789411524250076,6.827503379647057e-05,0.0,0.012700088502260488,0.01270008850226049,0.6143411206225218,arc_challenge
6,DeepSeek-V2,Qwen1.5-72B,1165.0,0.6017167381974249,0.5236051502145923,227.0,91.0,0.012932634483535934,1.4105988880608613e-09,0.0,0.012728541320448854,0.012728541320448853,0.6142107155929836,arc_challenge
7,DeepSeek-V2,dbrx-base,1165.0,0.6017167381974249,0.6592274678111588,255.0,-67.0,0.013707055298430311,3.247952843546111e-05,0.0,0.013603099752496446,0.01360309975249645,0.5359757386826086,arc_challenge
8,DeepSeek-V2,deepseek-llm-67b-base,1165.0,0.6017167381974249,0.5733905579399141,167.0,33.0,0.011092573376240415,0.013040723605910043,0.0,0.011061485088266305,0.011061485088266303,0.7056847062901033,arc_challenge
9,DeepSeek-V2,falcon-40b,1165.0,0.6017167381974249,0.544206008583691,183.0,67.0,0.011611801938599727,8.136075913165827e-07,0.0,0.011488903436943443,0.011488903436943445,0.6847964748545924,arc_challenge
10,DeepSeek-V2,gemma-7b,1165.0,0.6017167381974249,0.5339055793991416,211.0,79.0,0.012468531370243735,5.5755314396272955e-08,0.0,0.012309231908997966,0.012309231908997968,0.6387702429379756,arc_challenge
11,DeepSeek-V2,llama2_13B,1165.0,0.6017167381974249,0.5021459227467812,290.0,116.0,0.014617499026546268,7.651229300178108e-12,0.0,0.014323446109224746,0.014323446109224742,0.511983641861372,arc_challenge
12,DeepSeek-V2,llama2_70B,1165.0,0.6017167381974249,0.5459227467811159,229.0,65.0,0.012989481502507772,2.0812496646250364e-05,0.0,0.012886215615870366,0.012886215615870368,0.6032947815738654,arc_challenge
13,DeepSeek-V2,llama_33B,1165.0,0.6017167381974249,0.5381974248927038,198.0,74.0,0.012078323845038874,1.542147951237065e-07,0.0,0.01193409579265613,0.011934095792656129,0.6602401091677619,arc_challenge
14,DeepSeek-V2,llama_65B,1165.0,0.6017167381974249,0.551931330472103,184.0,58.0,0.011643484949571277,2.286001510909833e-05,0.0,0.011551761745902176,0.011551761745902176,0.6808332768493114,arc_challenge
15,Meta-Llama-3-70B,DeepSeek-V2,1165.0,0.6497854077253219,0.6017167381974249,182.0,56.0,0.011580032243117632,4.007639265526995e-05,0.0,0.01149407680919584,0.011494076809195838,0.6708011445183265,arc_challenge
16,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1165.0,0.6497854077253219,0.6188841201716738,162.0,36.0,0.010925254988290004,0.005792604049686933,0.0,0.010887678763513452,0.010887678763513452,0.70211591993205,arc_challenge
