,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,DeepSeek-V2,Meta-Llama-3-70B,1319.0,0.7733131159969674,0.8271417740712661,249.0,-71.0,0.011963407003835861,8.020884376598191e-06,0.0,0.011871240401207035,0.011871240401207035,0.4181384616172437,gsm8k
1,DeepSeek-V2,Mixtral-8x22B-v0.1,1319.0,0.7733131159969674,0.8021228203184231,258.0,-38.0,0.012177694013805163,0.021069043721956993,0.0,0.012151829805004474,0.012151829805004476,0.41740048528826784,gsm8k
2,DeepSeek-V2,Qwen1.5-110B,1319.0,0.7733131159969674,0.8407884761182715,263.0,-89.0,0.012295128688572294,4.318202012490537e-08,0.0,0.012153945427339104,0.012153945427339104,0.3731475426104504,gsm8k
3,DeepSeek-V2,Qwen1.5-14B,1319.0,0.7733131159969674,0.6952236542835482,315.0,103.0,0.013455829681045374,6.72332633888518e-09,0.0,0.013282928151652293,0.013282928151652293,0.40074278372951033,gsm8k
4,DeepSeek-V2,Qwen1.5-32B,1319.0,0.7733131159969674,0.7626990144048522,288.0,14.0,0.012866234077693056,0.44371221051651627,0.0,0.012862914397314032,0.01286291439731403,0.38752847743803226,gsm8k
5,DeepSeek-V2,Qwen1.5-72B,1319.0,0.7733131159969674,0.7839272175890827,278.0,-14.0,0.012640888552337427,0.4356290984950465,0.0,0.012637509677276372,0.012637509677276372,0.38891113056574905,gsm8k
6,DeepSeek-V2,dbrx-base,1319.0,0.7733131159969674,0.6952236542835482,337.0,103.0,0.013917786012650356,2.1588746571642996e-08,0.0,0.013750694359579856,0.013750694359579855,0.35747106890591607,gsm8k
7,Meta-Llama-3-70B,DeepSeek-V2,1319.0,0.8271417740712661,0.7733131159969674,249.0,71.0,0.011963407003835861,8.020884376598191e-06,0.0,0.011871240401207035,0.011871240401207035,0.41813846161724366,gsm8k
8,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1319.0,0.8271417740712661,0.8021228203184231,201.0,33.0,0.01074863296342519,0.023761175886632374,0.0,0.010726534761958258,0.010726534761958256,0.4976545148889074,gsm8k
9,Meta-Llama-3-70B,Qwen1.5-110B,1319.0,0.8271417740712661,0.8407884761182715,216.0,-18.0,0.011142485562319232,0.24733281888174355,0.0,0.011136148002476365,0.011136148002476363,0.4093632536592233,gsm8k
10,Meta-Llama-3-70B,Qwen1.5-32B,1319.0,0.8271417740712661,0.7626990144048522,271.0,85.0,0.012480726029684858,2.6987384799864957e-07,0.0,0.012353947705738949,0.012353947705738945,0.38125674146850025,gsm8k
11,Meta-Llama-3-70B,Qwen1.5-72B,1319.0,0.8271417740712661,0.7839272175890827,273.0,57.0,0.01252669571027923,0.0006731414108808667,0.0,0.012470054598066852,0.012470054598066852,0.3446030726952454,gsm8k
12,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,1319.0,0.55420773313116,0.6034874905231236,353.0,-65.0,0.014244347405652719,0.0006378079867018765,0.0,0.014179572265770591,0.01417957226577059,0.4547769221121533,gsm8k
13,Meta-Llama-3-8B,Qwen1.5-4B,1319.0,0.55420773313116,0.5504169825625473,403.0,5.0,0.015219757316061207,0.8420949732800328,0.0,0.01521939940674309,0.015219399406743087,0.3821882193304328,gsm8k
14,Meta-Llama-3-8B,Qwen1.5-7B,1319.0,0.55420773313116,0.5905989385898408,410.0,-48.0,0.015351369773553137,0.020166071384817148,0.0,0.015318633120845047,0.015318633120845046,0.3668718772938371,gsm8k
15,Meta-Llama-3-8B,deepseek-llm-67b-base,1319.0,0.55420773313116,0.6292645943896892,371.0,-99.0,0.014603002489960744,3.102831588418945e-07,0.0,0.014456023605245479,0.014456023605245479,0.42634593421091943,gsm8k
16,Meta-Llama-3-8B,gemma-7b,1319.0,0.55420773313116,0.5678544351781653,386.0,-18.0,0.014895286356625095,0.386912783718993,0.0,0.014890546110617551,0.014890546110617551,0.4061240052955022,gsm8k
17,Meta-Llama-3-8B,llama2_70B,1319.0,0.55420773313116,0.5670962850644428,367.0,-17.0,0.01452406676320547,0.40364163901179123,0.0,0.014519730555680883,0.01451973055568088,0.4354512819510331,gsm8k
