,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,10042.0,0.85929097789285,0.8045210117506473,752.0,550.0,0.0027307925116116486,2.9325094187994472e-99,0.0,0.0026755387210030766,0.002675538721003076,0.7479988023444499,hellaswag
1,Meta-Llama-3-70B,Mistral-7B-v0.1,10042.0,0.85929097789285,0.8170683130850428,700.0,424.0,0.0026346856314126573,1.561798712959166e-61,0.0,0.002600776549194242,0.0026007765491942426,0.752991201719612,hellaswag
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,10042.0,0.85929097789285,0.8680541724756025,468.0,-88.0,0.0021542827776124215,5.516791040766929e-05,0.0,0.0021525071536220197,0.0021525071536220206,0.8026801001722936,hellaswag
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,10042.0,0.85929097789285,0.8451503684524995,512.0,142.0,0.002253277932480534,3.591078411354897e-10,0.0,0.0022488551283022943,0.002248855128302295,0.7989190137635575,hellaswag
4,Meta-Llama-3-70B,Qwen1.5-110B,10042.0,0.85929097789285,0.8654650468034256,468.0,-62.0,0.0021542827776124215,0.004754142956148244,0.0,0.002153401568750853,0.0021534015687508534,0.8039471177605921,hellaswag
5,Meta-Llama-3-70B,Qwen1.5-14B,10042.0,0.85929097789285,0.8003385779725154,864.0,592.0,0.002927093896972529,1.6849397201775666e-98,0.0,0.0028673670314435847,0.0028673670314435847,0.7127459128009771,hellaswag
6,Meta-Llama-3-70B,Qwen1.5-32B,10042.0,0.85929097789285,0.8412666799442342,563.0,181.0,0.0023628381831716136,1.9778358084958273e-14,0.0,0.002355982305780212,0.0023559823057802114,0.7819014828507136,hellaswag
7,Meta-Llama-3-70B,Qwen1.5-72B,10042.0,0.85929097789285,0.853415654252141,529.0,59.0,0.002290380402310297,0.011606859717334031,0.0,0.0022896298569901837,0.0022896298569901824,0.7861193638621043,hellaswag
8,Meta-Llama-3-70B,Qwen1.5-7B,10042.0,0.85929097789285,0.772953594901414,1115.0,867.0,0.0033251957492658833,2.03328003297026e-168,0.0,0.0032116397754099785,0.003211639775409979,0.6618694021463571,hellaswag
9,Meta-Llama-3-70B,dbrx-base,10042.0,0.85929097789285,0.8865763792073292,666.0,-274.0,0.002569903983382581,6.967887322221571e-27,0.0,0.002555439013288275,0.002555439013288276,0.7068905522382023,hellaswag
10,Meta-Llama-3-70B,deepseek-llm-67b-base,10042.0,0.85929097789285,0.8552081258713403,443.0,41.0,0.0020959535132293555,0.05725055720694579,0.0,0.002095557475599049,0.00209555747559905,0.8198729201728072,hellaswag
11,Meta-Llama-3-70B,deepseek-llm-7b-base,10042.0,0.85929097789285,0.7721569408484366,1073.0,875.0,0.0032619676068829317,2.3725804844489138e-181,0.0,0.0031439424411536412,0.003143942441153641,0.6773528315881987,hellaswag
12,Meta-Llama-3-70B,deepseek-moe-16b-base,10042.0,0.85929097789285,0.7855008962358097,941.0,741.0,0.00305474241190559,1.2763448405856318e-146,0.0,0.0029646637099706606,0.00296466370997066,0.7046062049177175,hellaswag
13,Meta-Llama-3-70B,falcon-40b,10042.0,0.85929097789285,0.8507269468233419,524.0,86.0,0.0022795305999322043,0.00019854036129171544,0.0,0.0022779280428230964,0.002277928042823099,0.7900425738506643,hellaswag
14,Meta-Llama-3-70B,falcon-7b,10042.0,0.85929097789285,0.7834096793467437,972.0,762.0,0.003104651915578549,7.847791002726274e-150,0.0,0.0030108926589033007,0.0030108926589033007,0.696601106117084,hellaswag
15,Meta-Llama-3-70B,gemma-7b,10042.0,0.85929097789285,0.8084047002589125,759.0,511.0,0.0027434728767090043,1.835449557428319e-83,0.0,0.002696068453329588,0.002696068453329588,0.7409813625210177,hellaswag
16,Meta-Llama-3-70B,llama2_07B,10042.0,0.85929097789285,0.7623979286994622,1299.0,973.0,0.003589090079852639,8.626032440839594e-180,0.0,0.0034563952149484845,0.003456395214948485,0.6151858941633144,hellaswag
17,Meta-Llama-3-70B,llama2_13B,10042.0,0.85929097789285,0.8032264489145589,1011.0,563.0,0.0031663240580730224,6.314116501795565e-74,0.0,0.0031165043775836783,0.0031165043775836783,0.6562134692678417,hellaswag
