,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,HuggingFaceH4--starchat2-15b-v0.1,claude-3-haiku-20240307,164.0,0.7195121951219512,0.6890243902439024,31.0,5.0,0.03394978270018306,0.47312965989112854,0.0,0.033866207705849416,0.03386620770584942,0.5481859763185691,humaneval+
1,HuggingFaceH4--starchat2-15b-v0.1,claude-3-opus-20240229,164.0,0.7195121951219512,0.774390243902439,25.0,-9.0,0.03048780487804878,0.10775214433670044,0.0,0.03018514254060915,0.03018514254060915,0.6047089420387985,humaneval+
2,HuggingFaceH4--starchat2-15b-v0.1,claude-3-sonnet-20240229,164.0,0.7195121951219512,0.6463414634146342,42.0,12.0,0.039516711575657684,0.08842954698775429,0.0,0.03910146315310427,0.03910146315310427,0.41822508783264417,humaneval+
3,HuggingFaceH4--starchat2-15b-v0.1,code-llama-70b-instruct,164.0,0.7195121951219512,0.6646341463414634,39.0,9.0,0.03807925608779511,0.19959086691960698,0.0,0.037837366823218525,0.037837366823218525,0.44771988106112315,humaneval+
4,HuggingFaceH4--starchat2-15b-v0.1,code-millenials-34b,164.0,0.7195121951219512,0.7195121951219512,36.0,0.0,0.036585365853658534,1.0,0.0,0.036585365853658534,0.03658536585365855,0.4561532792925559,humaneval+
5,HuggingFaceH4--starchat2-15b-v0.1,codebooga-34b,164.0,0.7195121951219512,0.6585365853658537,28.0,10.0,0.03226525989103159,0.08715855330228806,0.0,0.03191200576241102,0.03191200576241103,0.6094645144883041,humaneval+
6,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-33b-instruct,164.0,0.7195121951219512,0.7621951219512195,27.0,-7.0,0.03168385623601605,0.24778856337070465,0.0,0.031508062663344764,0.03150806266334477,0.5758081726398588,humaneval+
7,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-6.7b-instruct,164.0,0.7195121951219512,0.7195121951219512,30.0,0.0,0.03339771692104671,1.0,0.0,0.03339771692104671,0.03339771692104672,0.5467943994104644,humaneval+
8,HuggingFaceH4--starchat2-15b-v0.1,deepseek-coder-7b-instruct-v1.5,164.0,0.7195121951219512,0.7134146341463414,33.0,1.0,0.03502782101547579,1.0,0.0,0.03502458474060258,0.03502458474060258,0.5048152691068807,humaneval+
9,HuggingFaceH4--starchat2-15b-v0.1,gpt-3.5-turbo,164.0,0.7195121951219512,0.7073170731707317,36.0,2.0,0.036585365853658534,0.8679394004284404,0.0,0.03657297033717412,0.03657297033717412,0.46347881815569575,humaneval+
10,HuggingFaceH4--starchat2-15b-v0.1,meta-llama-3-70b-instruct,164.0,0.7195121951219512,0.7195121951219512,32.0,0.0,0.034493013716416956,1.0,0.0,0.034493013716416956,0.034493013716416956,0.5165806927044949,humaneval+
11,HuggingFaceH4--starchat2-15b-v0.1,mistral-large-latest,164.0,0.7195121951219512,0.6341463414634146,42.0,14.0,0.039516711575657684,0.04355852192384191,0.0,0.038950424400828146,0.038950424400828146,0.42750201066773424,humaneval+
12,HuggingFaceH4--starchat2-15b-v0.1,mixtral-8x22b-instruct-v0.1,164.0,0.7195121951219512,0.7378048780487805,33.0,-3.0,0.03502782101547579,0.7283324808813632,0.0,0.03499868376849618,0.03499868376849618,0.4918795316023397,humaneval+
13,HuggingFaceH4--starchat2-15b-v0.1,openchat,164.0,0.7195121951219512,0.6890243902439024,33.0,5.0,0.03502782101547579,0.48685024166479707,0.0,0.03494682423451797,0.034946824234517976,0.5188635692356445,humaneval+
14,HuggingFaceH4--starchat2-15b-v0.1,opencodeinterpreter-ds-33b,164.0,0.7195121951219512,0.7439024390243902,38.0,-4.0,0.03758789026200596,0.6271025701571489,0.0,0.037539607788304036,0.03753960778830403,0.4110879983787887,humaneval+
15,HuggingFaceH4--starchat2-15b-v0.1,opencodeinterpreter-ds-6.7b,164.0,0.7195121951219512,0.7073170731707317,32.0,2.0,0.034493013716416956,0.860050065908581,0.0,0.034479866007261425,0.034479866007261425,0.5231417115446549,humaneval+
16,HuggingFaceH4--starchat2-15b-v0.1,speechless-codellama-34b,164.0,0.7195121951219512,0.725609756097561,39.0,-1.0,0.03807925608779511,1.0,0.0,0.038076279169048606,0.038076279169048606,0.40694617066977495,humaneval+
17,HuggingFaceH4--starchat2-15b-v0.1,speechless-coder-ds-6.7b,164.0,0.7195121951219512,0.6646341463414634,33.0,9.0,0.03502782101547579,0.16275565745308995,0.0,0.03476470665786099,0.03476470665786099,0.5339681901770479,humaneval+
18,HuggingFaceH4--starchat2-15b-v0.1,speechless-starcoder2-15b,164.0,0.7195121951219512,0.6341463414634146,34.0,14.0,0.035554584724666466,0.024306510109454393,0.0,0.03492411147322715,0.03492411147322715,0.5402195826122809,humaneval+
