,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Claude-3.5-Sonnet-20241022,DeepSeek-V3,1055.0,0.48739336492891,0.4955450236966824,232.26000000000002,-8.599999999999994,0.014445572265359308,0.5546949971025644,0.00691488521700075,0.012680533709699269,0.014443392009050884,0.6225489140914032,lcb_codegen_v6
1,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Exp,1055.0,0.48739336492891,0.41800947867298577,161.0,73.20000000000002,0.012027087716065896,7.768024590130746e-09,0.004598866150031546,0.010905875419426947,0.011835864502856007,0.7338895754282183,lcb_codegen_v6
2,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Thinking-01-21,1055.0,0.48739336492891,0.557345971563981,211.40000000000003,-73.80000000000001,0.013781612412266041,2.647464960424453e-07,0.004598866150031546,0.012811908838688406,0.013612295102471443,0.6353608361991462,lcb_codegen_v6
3,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Thinking-12-19,1055.0,0.48739336492891,0.5649289099526066,220.2,-81.8,0.014065533119658422,3.317833441936083e-08,0.004598866150031546,0.013076364198811866,0.013861488755753281,0.6193261562415344,lcb_codegen_v6
4,Claude-3.7-Sonnet,Claude-Opus-4,1055.0,0.6350710900473934,0.623696682464455,144.0,12.0,0.01137440758293839,0.3593644032877554,0.0,0.011369015590417838,0.011369015590417836,0.7076739187356416,lcb_codegen_v6
5,Claude-3.7-Sonnet,Claude-Opus-4 (Thinking),1055.0,0.6350710900473934,0.704265402843602,137.0,-73.0,0.0110945022850423,2.876303627501573e-10,0.0,0.010888054543230998,0.010888054543231,0.7167915790764315,lcb_codegen_v6
6,Claude-3.7-Sonnet,Claude-Sonnet-4,1055.0,0.6350710900473934,0.5943127962085308,147.0,43.0,0.0114922802397935,0.0004896357481684591,0.0,0.011423566494088974,0.011423566494088972,0.7089847772423107,lcb_codegen_v6
7,Claude-3.7-Sonnet,Claude-Sonnet-4 (Thinking),1055.0,0.6350710900473934,0.6853080568720379,141.0,-53.0,0.011255300556434044,9.479339374881483e-06,0.0,0.011148524917358897,0.011148524917358899,0.7073853479626775,lcb_codegen_v6
8,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-01-21,1055.0,0.6350710900473934,0.557345971563981,188.0,82.0,0.012996501612134682,1.938417207912192e-09,0.0,0.01277430248100644,0.012774302481006443,0.6405017982485376,lcb_codegen_v6
9,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-12-19,1055.0,0.6350710900473934,0.5649289099526066,198.0,74.0,0.013337675146417335,1.542147951237065e-07,0.0,0.0131616922121089,0.0131616922121089,0.6175597688462929,lcb_codegen_v6
10,Claude-3.7-Sonnet,O3-Mini-2025-01-31 (Low),1055.0,0.6350710900473934,0.7061611374407583,201.0,-75.0,0.0134383382737041,1.2965058716833312e-07,0.0,0.013258906768563783,0.013258906768563785,0.5786495035773302,lcb_codegen_v6
11,Claude-3.7-Sonnet,QwQ-32B_temp,1055.0,0.6350710900473934,0.7345971563981043,183.0,-105.0,0.012822511145467945,2.377086312176393e-15,0.0,0.012451014072276325,0.012451014072276322,0.6190226927814516,lcb_codegen_v6
12,Claude-Opus-4,Claude-3.7-Sonnet,1055.0,0.623696682464455,0.6350710900473934,144.0,-12.0,0.01137440758293839,0.3593644032877554,0.0,0.011369015590417838,0.011369015590417836,0.7076739187356416,lcb_codegen_v6
13,Claude-Opus-4,Claude-Opus-4 (Thinking),1055.0,0.623696682464455,0.704265402843602,129.0,-85.0,0.010765703025213789,1.3271277571530207e-14,0.0,0.010476041852883618,0.010476041852883618,0.7399402492176654,lcb_codegen_v6
14,Claude-Opus-4,Claude-Sonnet-4,1055.0,0.623696682464455,0.5943127962085308,135.0,31.0,0.011013222785423934,0.009564829687715838,0.0,0.010976004527609318,0.010976004527609317,0.7329425486138778,lcb_codegen_v6
15,Claude-Opus-4,Claude-Sonnet-4 (Thinking),1055.0,0.623696682464455,0.6853080568720379,141.0,-65.0,0.011255300556434044,4.09804793129638e-08,0.0,0.011094310383457274,0.011094310383457274,0.7123044906803857,lcb_codegen_v6
16,Claude-Opus-4,Gemini-Flash-2.0-Thinking-01-21,1055.0,0.623696682464455,0.557345971563981,216.0,70.0,0.013930747352321393,2.1964910832782855e-06,0.0,0.013780160189188977,0.013780160189188975,0.5840361837422612,lcb_codegen_v6
17,Claude-Opus-4,Gemini-Flash-2.0-Thinking-12-19,1055.0,0.623696682464455,0.5649289099526066,230.0,62.0,0.01437511932521621,5.234036808583393e-05,0.0,0.014260801263922089,0.014260801263922094,0.5536057172453346,lcb_codegen_v6
18,Claude-Opus-4,O3-Mini-2025-01-31 (Low),1055.0,0.623696682464455,0.7061611374407583,213.0,-87.0,0.013833667790830735,2.2957301475003495e-09,0.0,0.013598694816888138,0.01359869481688814,0.5598644473329771,lcb_codegen_v6
19,Claude-Opus-4 (Thinking),Claude-3.7-Sonnet,1055.0,0.704265402843602,0.6350710900473934,137.0,73.0,0.0110945022850423,2.876303627501573e-10,0.0,0.010888054543230998,0.010888054543231,0.7167915790764315,lcb_codegen_v6
20,Claude-Opus-4 (Thinking),Claude-Opus-4,1055.0,0.704265402843602,0.623696682464455,129.0,85.0,0.010765703025213789,1.3271277571530207e-14,0.0,0.010476041852883618,0.010476041852883618,0.7399402492176653,lcb_codegen_v6
21,Claude-Opus-4 (Thinking),Claude-Sonnet-4 (Thinking),1055.0,0.704265402843602,0.6853080568720379,102.0,20.0,0.009572990462902444,0.05940053690343337,0.0,0.009555181889275979,0.009555181889275973,0.7729062155587798,lcb_codegen_v6
22,Claude-Opus-4 (Thinking),Gemini-2.5-Flash-04-17,1055.0,0.704265402843602,0.7507109004739336,155.0,-49.0,0.011800852699515385,0.0001022305385081728,0.0,0.011713897729959665,0.011713897729959667,0.6348094145575758,lcb_codegen_v6
23,Claude-Opus-4 (Thinking),Gemini-2.5-Flash-05-20,1055.0,0.704265402843602,0.762085308056872,157.0,-61.0,0.011876743209612956,1.2506374957811932e-06,0.0,0.011742579564246498,0.011742579564246495,0.6281055693204673,lcb_codegen_v6
24,Claude-Opus-4 (Thinking),Grok-3-Mini (High),1055.0,0.704265402843602,0.781042654028436,201.0,-81.0,0.0134383382737041,1.0689298649440492e-08,0.0,0.013228813185913181,0.013228813185913181,0.5157265268266324,lcb_codegen_v6
25,Claude-Opus-4 (Thinking),O3-Mini-2025-01-31 (High),1055.0,0.704265402843602,0.7772511848341233,171.0,-77.0,0.012394973299167793,3.378075009363188e-09,0.0,0.012189591694233922,0.01218959169423392,0.5915165951111107,lcb_codegen_v6
26,Claude-Opus-4 (Thinking),O3-Mini-2025-01-31 (Low),1055.0,0.704265402843602,0.7061611374407583,176.0,-2.0,0.012574880721726635,0.9399425573387807,0.0,0.01257474527419921,0.012574745274199214,0.5987701887827528,lcb_codegen_v6
27,Claude-Opus-4 (Thinking),O3-Mini-2025-01-31 (Med),1055.0,0.704265402843602,0.7535545023696683,176.0,-52.0,0.012574880721726635,0.00010877195108565045,0.0,0.012482982889425873,0.012482982889425872,0.5836963164322246,lcb_codegen_v6
28,Claude-Opus-4 (Thinking),O4-Mini (Low),1055.0,0.704265402843602,0.7744075829383886,184.0,-74.0,0.01285749759834174,4.9248320896266514e-08,0.0,0.012674849429728664,0.012674849429728659,0.5596005463256756,lcb_codegen_v6
29,Claude-Opus-4 (Thinking),QwQ-32B_temp,1055.0,0.704265402843602,0.7345971563981043,152.0,-32.0,0.011686092896623652,0.011673129672852271,0.0,0.0116487215949388,0.0116487215949388,0.6453376414052049,lcb_codegen_v6
30,Claude-Opus-4 (Thinking),Qwen3-235B-A22B,1055.0,0.704265402843602,0.8037914691943128,161.0,-105.0,0.012027087716065896,1.4437558217713244e-17,0.0,0.01163021058632717,0.011630210586327168,0.6159990488250938,lcb_codegen_v6
31,Claude-Opus-4 (Thinking),XBai-o4-medium,1055.0,0.704265402843602,0.8009478672985783,158.0,-102.0,0.011914507194290554,6.52371765637904e-17,0.0,0.01153669333564141,0.011536693335641406,0.6236579844868115,lcb_codegen_v6
32,Claude-Sonnet-4,Claude-3.7-Sonnet,1055.0,0.5943127962085308,0.6350710900473934,147.0,-43.0,0.0114922802397935,0.0004896357481684591,0.0,0.011423566494088974,0.011423566494088972,0.7089847772423106,lcb_codegen_v6
33,Claude-Sonnet-4,Claude-Opus-4,1055.0,0.5943127962085308,0.623696682464455,135.0,-31.0,0.011013222785423934,0.009564829687715838,0.0,0.010976004527609318,0.010976004527609317,0.7329425486138776,lcb_codegen_v6
34,Claude-Sonnet-4,Claude-Sonnet-4 (Thinking),1055.0,0.5943127962085308,0.6853080568720379,150.0,-96.0,0.011608956126934494,7.71249797575523e-16,0.0,0.011265850648218792,0.011265850648218795,0.7079514513791743,lcb_codegen_v6
35,Claude-Sonnet-4,DeepSeek-V3,1055.0,0.5943127962085308,0.4955450236966824,235.59999999999997,104.19999999999999,0.014549068325573379,1.3465956341125754e-11,0.005163919799763502,0.013257556594600086,0.014227750157962913,0.5999820188194436,lcb_codegen_v6
36,Claude-Sonnet-4,Gemini-Flash-2.0-Thinking-01-21,1055.0,0.5943127962085308,0.557345971563981,193.0,39.0,0.013168193354928725,0.006086946806157245,0.0,0.013118918089902287,0.013118918089902284,0.6278280823566377,lcb_codegen_v6
37,Claude-Sonnet-4,Gemini-Flash-2.0-Thinking-12-19,1055.0,0.5943127962085308,0.5649289099526066,211.0,31.0,0.013768567816430285,0.038643348782209,0.0,0.013738815778092345,0.013738815778092345,0.5910296555769554,lcb_codegen_v6
38,Claude-Sonnet-4 (Thinking),Claude-3.7-Sonnet,1055.0,0.6853080568720379,0.6350710900473934,141.0,53.0,0.011255300556434044,9.479339374881483e-06,0.0,0.011148524917358897,0.011148524917358899,0.7073853479626775,lcb_codegen_v6
39,Claude-Sonnet-4 (Thinking),Claude-Opus-4,1055.0,0.6853080568720379,0.623696682464455,141.0,65.0,0.011255300556434044,4.09804793129638e-08,0.0,0.011094310383457274,0.011094310383457274,0.7123044906803857,lcb_codegen_v6
40,Claude-Sonnet-4 (Thinking),Claude-Opus-4 (Thinking),1055.0,0.6853080568720379,0.704265402843602,102.0,-20.0,0.009572990462902444,0.05940053690343337,0.0,0.009555181889275979,0.009555181889275973,0.7729062155587798,lcb_codegen_v6
41,Claude-Sonnet-4 (Thinking),Claude-Sonnet-4,1055.0,0.6853080568720379,0.5943127962085308,150.0,96.0,0.011608956126934494,7.71249797575523e-16,0.0,0.011265850648218792,0.011265850648218795,0.7079514513791743,lcb_codegen_v6
42,Claude-Sonnet-4 (Thinking),Gemini-2.5-Flash-04-17,1055.0,0.6853080568720379,0.7507109004739336,169.0,-69.0,0.012322274881516587,1.1385090701280107e-07,0.0,0.012156641213775925,0.01215664121377593,0.6144759877545801,lcb_codegen_v6
43,Claude-Sonnet-4 (Thinking),Gemini-2.5-Flash-05-20,1055.0,0.6853080568720379,0.762085308056872,171.0,-81.0,0.012394973299167793,4.487748130744307e-10,0.0,0.012167494640901735,0.012167494640901735,0.6088288737492672,lcb_codegen_v6
44,Claude-Sonnet-4 (Thinking),Grok-3-Mini (High),1055.0,0.6853080568720379,0.781042654028436,205.0,-101.0,0.013571394372773795,9.801879196749395e-13,0.0,0.013247468974601037,0.013247468974601039,0.5246903886414803,lcb_codegen_v6
45,Claude-Sonnet-4 (Thinking),O3-Mini-2025-01-31 (High),1055.0,0.6853080568720379,0.7772511848341233,189.0,-97.0,0.013031020933523716,8.943489692418166e-13,0.0,0.012719853521311783,0.012719853521311778,0.5643521645320488,lcb_codegen_v6
46,Claude-Sonnet-4 (Thinking),O3-Mini-2025-01-31 (Low),1055.0,0.6853080568720379,0.7061611374407583,184.0,-22.0,0.01285749759834174,0.12135284705944048,0.0,0.012841458775306592,0.012841458775306592,0.5889806144365541,lcb_codegen_v6
47,Claude-Sonnet-4 (Thinking),O3-Mini-2025-01-31 (Med),1055.0,0.6853080568720379,0.7535545023696683,182.0,-72.0,0.01278742896988819,9.764949499289825e-08,0.0,0.012613626537392281,0.012613626537392281,0.5834243684516094,lcb_codegen_v6
48,Claude-Sonnet-4 (Thinking),O4-Mini (Low),1055.0,0.6853080568720379,0.7744075829383886,188.0,-94.0,0.012996501612134682,4.157057220707809e-12,0.0,0.012703707955455015,0.012703707955455017,0.5669691018750841,lcb_codegen_v6
49,Claude-Sonnet-4 (Thinking),QwQ-32B_temp,1055.0,0.6853080568720379,0.7345971563981043,152.0,-52.0,0.011686092896623652,2.9829760854549535e-05,0.0,0.011587148218632777,0.011587148218632779,0.6558805179557397,lcb_codegen_v6
50,DeepSeek-R1-0528,EXAONE-4.0-32B,1055.0,0.8436018957345972,0.8087677725118484,103.5,36.75000000000001,0.009643123198756305,0.0003409978012869771,0.007830812442110665,0.0055243138979915495,0.009583301495155922,0.8592870320913729,lcb_codegen_v6
51,DeepSeek-R1-0528,Gemini-2.5-Flash-04-17,1055.0,0.8436018957345972,0.7507109004739336,147.0,98.0,0.0114922802397935,1.5818511154852923e-16,0.0055220897302860695,0.009664374397227986,0.01113075053530204,0.6893016179490316,lcb_codegen_v6
52,DeepSeek-R1-0528,Gemini-2.5-Flash-05-20,1055.0,0.8436018957345972,0.762085308056872,137.6,86.0,0.011118770273831418,1.0497375514568332e-13,0.0055220897302860695,0.009318532220934943,0.010831828919528481,0.7043661084707544,lcb_codegen_v6
53,DeepSeek-R1-0528,Gemini-2.5-Pro-03-25,1055.0,0.8436018957345972,0.8151658767772512,108.6,30.0,0.009877850593450636,0.005023518333482696,0.0055220897302860695,0.0081432183477687,0.009838977591638657,0.7360164262746396,lcb_codegen_v6
54,DeepSeek-R1-0528,Gemini-2.5-Pro-05-06,1055.0,0.8436018957345972,0.8274881516587678,101.2,17.0,0.009535375423665815,0.11091834966064003,0.0055220897302860695,0.007757821416607242,0.009522461242835322,0.7500650940433511,lcb_codegen_v6
55,DeepSeek-R1-0528,Gemini-2.5-Pro-06-05,1055.0,0.8436018957345972,0.842654028436019,102.0,1.0,0.009572990462902444,1.0,0.0055220897302860695,0.00781970714284276,0.009572945982776512,0.7296769782513207,lcb_codegen_v6
56,DeepSeek-R1-0528,Grok-3-Mini (High),1055.0,0.8436018957345972,0.781042654028436,173.39999999999998,66.0,0.012481652490147125,8.574841261649998e-07,0.0055220897302860695,0.0110267195835516,0.012332153897985998,0.5454978059001553,lcb_codegen_v6
57,DeepSeek-R1-0528,O3 (High),1055.0,0.8436018957345972,0.8473933649289099,124.4,-4.0,0.010572014023581941,0.7877465824023333,0.0055220897302860695,0.009014453932815645,0.01057136957523415,0.6310455536057855,lcb_codegen_v6
58,DeepSeek-R1-0528,O3-Mini-2025-01-31 (High),1055.0,0.8436018957345972,0.7772511848341233,145.0,70.00000000000001,0.01141383372397374,8.595663351161875e-09,0.0055220897302860695,0.009777996642190498,0.011229545552871652,0.6544779892008032,lcb_codegen_v6
59,DeepSeek-R1-0528,O3-Mini-2025-01-31 (Med),1055.0,0.8436018957345972,0.7535545023696683,152.2,95.0,0.01169377858827764,5.562319435603261e-15,0.0055220897302860695,0.009927999262845998,0.011360398071916385,0.6666740571884142,lcb_codegen_v6
60,DeepSeek-R1-0528,O4-Mini (High),1055.0,0.8436018957345972,0.8729857819905213,116.4,-31.0,0.010226429542567719,0.0038069274291090776,0.0055220897302860695,0.008559672042110623,0.010186336949945309,0.6339322055361315,lcb_codegen_v6
61,DeepSeek-R1-0528,O4-Mini (Low),1055.0,0.8436018957345972,0.7744075829383886,134.6,73.0,0.01099689479603653,3.179542049997833e-10,0.0055220897302860695,0.00926822372136802,0.010788579421715341,0.6962683320555454,lcb_codegen_v6
62,DeepSeek-R1-0528,O4-Mini (Medium),1055.0,0.8436018957345972,0.8445497630331753,98.80000000000001,-1.0,0.00942162930031407,0.9196068309220428,0.0055220897302860695,0.007633660463338771,0.009421584105598822,0.7408483196174779,lcb_codegen_v6
63,DeepSeek-R1-0528,OpenReasoning-Nemotron-32B,1055.0,0.8436018957345972,0.8095734597156398,101.32000000000002,35.90000000000001,0.009541027133392697,0.000641248502169594,0.008294245081453515,0.004597730862325794,0.009483334358420506,0.8974819749287394,lcb_codegen_v6
64,DeepSeek-R1-0528,Qwen3-235B-A22B,1055.0,0.8436018957345972,0.8037914691943128,105.4,42.0,0.00973123243049145,7.808423662658282e-05,0.0055220897302860695,0.007918406602549366,0.009653737002458076,0.7626486191122144,lcb_codegen_v6
65,DeepSeek-R1-0528,XBai-o4-medium,1055.0,0.8436018957345972,0.8009478672985783,110.0,45.0,0.00994131609639954,3.296813651959348e-05,0.0055220897302860695,0.008161603584420741,0.009854199513839786,0.7489855935270278,lcb_codegen_v6
66,DeepSeek-V3,Claude-3.5-Sonnet-20241022,1055.0,0.4955450236966824,0.48739336492891,232.26000000000002,8.599999999999994,0.014445572265359308,0.6459173194409796,0.00691488521700075,0.012680533709699269,0.014443392009050884,0.6225489140914031,lcb_codegen_v6
67,DeepSeek-V3,Claude-Sonnet-4,1055.0,0.4955450236966824,0.5943127962085308,235.59999999999997,-104.19999999999999,0.014549068325573379,5.1617905995486295e-12,0.005163919799763502,0.013257556594600086,0.014227750157962913,0.5999820188194436,lcb_codegen_v6
68,DeepSeek-V3,Gemini-Flash-2.0-Exp,1055.0,0.4955450236966824,0.41800947867298577,235.0,81.80000000000001,0.014530530537209376,1.369194615747669e-07,0.005163919799763502,0.013370560892500036,0.01433310734901685,0.5951402669373247,lcb_codegen_v6
69,DeepSeek-V3,Gemini-Flash-2.0-Thinking-01-21,1055.0,0.4955450236966824,0.557345971563981,257.4,-65.20000000000002,0.015207289429900593,6.0208087972867486e-05,0.005163919799763502,0.014176577173471204,0.015087790032134403,0.5482594706896546,lcb_codegen_v6
70,DeepSeek-V3,Gemini-Flash-2.0-Thinking-12-19,1055.0,0.4955450236966824,0.5649289099526066,265.8,-73.2,0.015453434961094033,8.608738176004217e-06,0.005163919799763502,0.014407617221400541,0.015305080911148003,0.532388549407089,lcb_codegen_v6
71,EXAONE-4.0-32B,DeepSeek-R1-0528,1055.0,0.8087677725118484,0.8436018957345972,103.5,-36.75000000000001,0.009643123198756305,0.0003409978012869771,0.007830812442110665,0.0055243138979915495,0.009583301495155922,0.859287032091373,lcb_codegen_v6
72,EXAONE-4.0-32B,Gemini-2.5-Flash-04-17,1055.0,0.8087677725118484,0.7507109004739336,140.25,61.25,0.011225326333959253,4.143396431880526e-07,0.0055523101961421715,0.009590876962126828,0.011082105820503582,0.70190744733751,lcb_codegen_v6
73,EXAONE-4.0-32B,Gemini-2.5-Flash-05-20,1055.0,0.8087677725118484,0.762085308056872,125.75,49.25,0.010629223455926921,1.3863036120401227e-05,0.0055523101961421715,0.008949111720920175,0.010531607147425084,0.7356868753122173,lcb_codegen_v6
74,EXAONE-4.0-32B,Gemini-2.5-Pro-03-25,1055.0,0.8087677725118484,0.8151658767772512,110.75,-6.75,0.009975149374336108,0.6337556480191593,0.0055523101961421715,0.008284724188442207,0.0099732042690774,0.7386209290676872,lcb_codegen_v6
75,EXAONE-4.0-32B,Gemini-2.5-Pro-05-06,1055.0,0.8087677725118484,0.8274881516587678,101.75,-19.75,0.009561251659636026,0.07275700687752398,0.0055523101961421715,0.007762551270672718,0.00954386456022962,0.7623203155363392,lcb_codegen_v6
76,EXAONE-4.0-32B,Gemini-2.5-Pro-06-05,1055.0,0.8087677725118484,0.842654028436019,105.25,-35.75,0.009724305463830896,0.00039070001552236726,0.0055523101961421715,0.007914894361330804,0.009668179832068208,0.7411654748558228,lcb_codegen_v6
77,EXAONE-4.0-32B,Grok-3-Mini (High),1055.0,0.8087677725118484,0.781042654028436,171.25,29.25,0.012404030642940664,0.031954028592738,0.0055523101961421715,0.011059078576502809,0.01237462595295097,0.5678033148250792,lcb_codegen_v6
78,EXAONE-4.0-32B,O3 (High),1055.0,0.8087677725118484,0.8473933649289099,128.25,-40.75,0.010734361756309124,0.0002585265972682698,0.0055523101961421715,0.009109567283131307,0.010668287800771057,0.6521009964703043,lcb_codegen_v6
79,EXAONE-4.0-32B,O3-Mini-2025-01-31 (High),1055.0,0.8087677725118484,0.7772511848341233,141.75,33.25,0.011285195165678349,0.006829552385452794,0.0055523101961421715,0.009776807724490466,0.011243403301306978,0.6685166021602265,lcb_codegen_v6
80,EXAONE-4.0-32B,O3-Mini-2025-01-31 (Med),1055.0,0.8087677725118484,0.7535545023696683,142.25,58.25,0.011305080987560723,1.2430089403538233e-06,0.0055523101961421715,0.009699852021175008,0.011176550350930164,0.6924885775908441,lcb_codegen_v6
81,EXAONE-4.0-32B,O4-Mini (High),1055.0,0.8087677725118484,0.8729857819905213,126.75,-67.75,0.010671403079808248,9.244792163007083e-10,0.0055523101961421715,0.008896164074088277,0.010486652647402943,0.6424358110972264,lcb_codegen_v6
82,EXAONE-4.0-32B,O4-Mini (Low),1055.0,0.8087677725118484,0.7744075829383886,123.75,36.25,0.01054435803852464,0.0010844284704958557,0.0055523101961421715,0.008901475402978053,0.010491158795100167,0.7299195918194519,lcb_codegen_v6
83,EXAONE-4.0-32B,O4-Mini (Medium),1055.0,0.8087677725118484,0.8445497630331753,108.75,-37.75,0.009884669959532801,0.00032583856112748064,0.0055523101961421715,0.008103391203526454,0.009823090018501011,0.7271118726416607,lcb_codegen_v6
84,EXAONE-4.0-32B,OpenReasoning-Nemotron-32B,1055.0,0.8087677725118484,0.8095734597156398,100.4,-0.8500000000000014,0.009497611412227753,0.9204107626128211,0.008314395648275902,0.004590733302070293,0.009497579020298094,0.9063189407445869,lcb_codegen_v6
85,EXAONE-4.0-32B,QwQ-32B_temp,1055.0,0.8087677725118484,0.7345971563981043,134.75,78.25,0.011003020631510804,7.055225473235021e-12,0.0055523101961421715,0.0092208367739385,0.010763455733443644,0.7368203948947357,lcb_codegen_v6
86,EXAONE-4.0-32B,Qwen3-235B-A22B,1055.0,0.8087677725118484,0.8037914691943128,108.25,5.25,0.009861920401272423,0.7729885295985336,0.0055523101961421715,0.008148978640616861,0.009860730267044837,0.7557882688214719,lcb_codegen_v6
87,EXAONE-4.0-32B,XBai-o4-medium,1055.0,0.8087677725118484,0.8009478672985783,102.25,8.25,0.009584714889173784,0.48843446453263273,0.0055523101961421715,0.007809010695187118,0.009581690693804046,0.7783709585252369,lcb_codegen_v6
88,GPT-4-Turbo-2024-04-09,GPT-4O-2024-08-06,1055.0,0.373175355450237,0.3830331753554503,162.04000000000002,-10.399999999999991,0.012065870438649907,0.38751908484905306,0.007827800122109034,0.009177072744436392,0.01206205284801752,0.780939202847772,lcb_codegen_v6
89,GPT-4-Turbo-2024-04-09,GPT-4O-mini-2024-07-18,1055.0,0.373175355450237,0.3551658767772512,148.38,19.0,0.011546097585055884,0.16207156803057057,0.007158751692321974,0.009041969426985487,0.011532776634915937,0.7890961890505628,lcb_codegen_v6
90,GPT-4-Turbo-2024-04-09,Gemini-Flash-2.0-Exp,1055.0,0.373175355450237,0.41800947867298577,175.5,-47.3,0.012557005971082247,0.0004720926578414746,0.005491907464216483,0.011207677932004322,0.01248090911043957,0.7054725379569757,lcb_codegen_v6
91,GPT-4O-2024-08-06,GPT-4-Turbo-2024-04-09,1055.0,0.3830331753554503,0.373175355450237,162.04000000000002,10.399999999999991,0.012065870438649907,0.4796151688082535,0.007827800122109034,0.009177072744436392,0.01206205284801752,0.7809392028477719,lcb_codegen_v6
92,GPT-4O-2024-08-06,GPT-4O-mini-2024-07-18,1055.0,0.3830331753554503,0.3551658767772512,160.76,29.39999999999999,0.012018120083863857,0.021573829619037973,0.007224962654088911,0.009565512229380003,0.011987456342502272,0.7647372409667603,lcb_codegen_v6
93,GPT-4O-2024-08-06,Gemini-Flash-2.0-Exp,1055.0,0.3830331753554503,0.41800947867298577,169.1,-36.900000000000006,0.012325919985835786,0.005461315704369491,0.005577939328835829,0.010938707906318882,0.012278792196952302,0.7203091239718347,lcb_codegen_v6
94,GPT-4O-mini-2024-07-18,GPT-4-Turbo-2024-04-09,1055.0,0.3551658767772512,0.373175355450237,148.38,-19.0,0.011546097585055884,0.11803924678172628,0.007158751692321974,0.009041969426985487,0.011532776634915937,0.7890961890505629,lcb_codegen_v6
