,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Claude-3-Haiku,DeepSeek-V3,454.0,0.2022026431718062,0.2720264317180617,105.96000000000001,-31.699999999999996,0.022673320233405764,0.0032209898687985275,0.008735917187247552,0.02066457160705016,0.0224352572707636,0.4041977750546607,lcb_codegen_v6_080124
1,Claude-3-Haiku,GPT-4-Turbo-2024-04-09,454.0,0.2022026431718062,0.28700440528634363,62.599999999999994,-38.5,0.01742734840956166,1.2143807700186297e-06,0.00930600448206062,0.014186994034572449,0.01696680639239827,0.7228492355603596,lcb_codegen_v6_080124
2,Claude-3-Haiku,GPT-4O-2024-08-06,454.0,0.2022026431718062,0.2953744493392071,69.7,-42.3,0.018389102612107314,1.6837633430122172e-07,0.009222212077294416,0.015296691992783834,0.017861634346293512,0.6820766280769051,lcb_codegen_v6_080124
3,Claude-3-Haiku,GPT-4O-mini-2024-07-18,454.0,0.2022026431718062,0.2746696035242291,55.1,-32.9,0.016350082431626112,8.699371704778969e-06,0.007790634001686077,0.01396653586637858,0.015992438908905247,0.7379162147374199,lcb_codegen_v6_080124
4,Claude-3.5-Sonnet-20241022,DeepSeek-V3,454.0,0.36387665198237884,0.2720264317180617,102.89999999999999,41.7,0.022343532428045394,3.885014426598705e-05,0.009608675819906274,0.0197059451133989,0.021923752503263248,0.547648296530036,lcb_codegen_v6_080124
5,Claude-3.5-Sonnet-20241022,GPT-4-Turbo-2024-04-09,454.0,0.36387665198237884,0.28700440528634363,69.12,34.900000000000006,0.01831243144566214,2.9304321745456655e-05,0.010129764130014906,0.014822848971393292,0.017953522577992095,0.7469639124845667,lcb_codegen_v6_080124
6,Claude-3.5-Sonnet-20241022,GPT-4O-2024-08-06,454.0,0.36387665198237884,0.2953744493392071,61.52,31.1,0.017276362600112404,8.837556327558756e-05,0.010052840270699583,0.013677612733021373,0.016974589467280428,0.7867195581269221,lcb_codegen_v6_080124
7,Claude-3.5-Sonnet-20241022,GPT-4O-mini-2024-07-18,454.0,0.36387665198237884,0.2746696035242291,65.44,40.5,0.017818280542869325,1.1688116132369708e-06,0.00875810367932645,0.014941831643681363,0.01731943165712862,0.7459407736135167,lcb_codegen_v6_080124
8,Claude-3.5-Sonnet-20241022,Gemini-Flash-2.0-Exp,454.0,0.36387665198237884,0.31277533039647576,57.2,23.200000000000003,0.016658740441576246,0.0032015437674503813,0.00648939200998072,0.015154192920038001,0.016485198564680125,0.756013739242242,lcb_codegen_v6_080124
9,Claude-3.7-Sonnet,Claude-Opus-4,454.0,0.5044052863436124,0.46916299559471364,64.0,16.0,0.01762114537444934,0.05994118956699923,0.0,0.017543347443171067,0.017543347443171067,0.7200035877003248,lcb_codegen_v6_080124
10,Claude-3.7-Sonnet,Claude-Opus-4 (Thinking),454.0,0.5044052863436124,0.566079295154185,50.0,-28.0,0.015575039233183867,9.021490107130603e-05,0.0,0.015303714906143089,0.015303714906143085,0.7854913816445204,lcb_codegen_v6_080124
11,Claude-3.7-Sonnet,Claude-Sonnet-4,454.0,0.5044052863436124,0.4713656387665198,51.0,15.0,0.01573001856507236,0.04887389231827033,0.0,0.015653403413837357,0.015653403413837357,0.7771405240988449,lcb_codegen_v6_080124
12,Claude-3.7-Sonnet,Claude-Sonnet-4 (Thinking),454.0,0.5044052863436124,0.5594713656387665,55.0,-25.0,0.01633523895836049,0.0010158471941252854,0.0,0.016129507624609393,0.016129507624609393,0.7621007320919736,lcb_codegen_v6_080124
13,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-01-21,454.0,0.5044052863436124,0.4889867841409692,73.0,7.0,0.01881939150950998,0.48278855684402133,0.0,0.0188054742552281,0.0188054742552281,0.6787991871487503,lcb_codegen_v6_080124
14,Claude-3.7-Sonnet,Gemini-Flash-2.0-Thinking-12-19,454.0,0.5044052863436124,0.486784140969163,84.0,8.0,0.020187558127558767,0.4452046690465761,0.0,0.020170611590991705,0.0201706115909917,0.6304335468875172,lcb_codegen_v6_080124
15,Claude-3.7-Sonnet,O3-Mini-2025-01-31 (Low),454.0,0.5044052863436124,0.5704845814977973,80.0,-30.0,0.019701039449337356,0.0010527348573533446,0.0,0.019455415001988583,0.019455415001988583,0.6528798274160624,lcb_codegen_v6_080124
16,Claude-3.7-Sonnet,QwQ-32B_temp,454.0,0.5044052863436124,0.5572687224669604,78.0,-24.0,0.019453217767241956,0.008771714457060136,0.0,0.01929435929771968,0.019294359297719676,0.6597457956568874,lcb_codegen_v6_080124
17,Claude-Opus-4,Claude-3.7-Sonnet,454.0,0.46916299559471364,0.5044052863436124,64.0,-16.0,0.01762114537444934,0.05994118956699923,0.0,0.017543347443171067,0.017543347443171067,0.7200035877003248,lcb_codegen_v6_080124
