,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,14042.0,0.7866400797607178,0.7763851303233158,2156.0,144.0,0.0033067046763264204,0.0020649061814721073,0.0,0.0033055720489425285,0.0033055720489425285,0.5507163421753386,mmlu
1,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,14042.0,0.7866400797607178,0.703318615581826,2870.0,1170.0,0.003815153179313167,1.2565509585951113e-108,0.0,0.0037497982007958005,0.0037497982007958005,0.47839860548937957,mmlu
2,Meta-Llama-3-70B,Qwen1.5-110B,14042.0,0.7866400797607178,0.8109243697478992,2175.0,-341.0,0.003321243075448232,2.7713954384880917e-13,0.0,0.0033149145116681475,0.0033149145116681475,0.5200819937703018,mmlu
3,Meta-Llama-3-70B,Qwen1.5-32B,14042.0,0.7866400797607178,0.7360062669135451,2467.0,711.0,0.0035371673374697743,5.491180184779733e-47,0.0,0.003511263754651573,0.003511263754651573,0.5233405731043973,mmlu
4,Meta-Llama-3-70B,Qwen1.5-72B,14042.0,0.7866400797607178,0.7718273750178037,2236.0,208.0,0.003367494777819937,1.1837682226808031e-05,0.0,0.0033651738987017423,0.003365173898701743,0.5378256247693043,mmlu
5,Meta-Llama-3-70B,dbrx-base,14042.0,0.7866400797607178,0.7427004700185159,2553.0,617.0,0.0035982922935934424,1.6499018496781276e-34,0.0,0.0035791358639966652,0.0035791358639966665,0.49989711549683324,mmlu
6,Meta-Llama-3-70B,deepseek-llm-67b-base,14042.0,0.7866400797607178,0.7137159948725252,2616.0,1024.0,0.0036424189866242477,2.335940915193762e-91,0.0,0.0035900557987032177,0.0035900557987032186,0.5161936805037222,mmlu
7,Meta-Llama-3-8B,Mistral-7B-v0.1,14042.0,0.6531120922945449,0.6250534111949865,3012.0,394.0,0.0039083955943632655,7.451677475595041e-13,0.0,0.0039012163938940705,0.00390121639389407,0.5364111060887126,mmlu
8,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,14042.0,0.6531120922945449,0.703318615581826,2845.0,-705.0,0.0037985003142272,3.5876607970481615e-40,0.0,0.003774797150713852,0.0037747971507138523,0.5407206278616032,mmlu
9,Meta-Llama-3-8B,Qwen1.5-14B,14042.0,0.6531120922945449,0.6781797464748611,3298.0,-352.0,0.00408974619437722,9.49856562147387e-10,0.0,0.004084271462566626,0.004084271462566626,0.47347758872352547,mmlu
10,Meta-Llama-3-8B,Qwen1.5-32B,14042.0,0.6531120922945449,0.7360062669135451,3370.0,-1164.0,0.004134147635294115,4.2441794600550893e-91,0.0,0.004074533995041461,0.004074533995041461,0.44739275225335967,mmlu
11,Meta-Llama-3-8B,Qwen1.5-7B,14042.0,0.6531120922945449,0.6051844466600199,3567.0,673.0,0.004253266406961718,1.5540491353485467e-29,0.0,0.004233992232516395,0.004233992232516395,0.4593882341957327,mmlu
12,Meta-Llama-3-8B,dbrx-base,14042.0,0.6531120922945449,0.7427004700185159,3124.0,-1258.0,0.003980398408341296,3.523348817790206e-115,0.0,0.0039079399911149644,0.003907939991114964,0.48830039351608595,mmlu
13,Meta-Llama-3-8B,deepseek-llm-67b-base,14042.0,0.6531120922945449,0.7137159948725252,2939.0,-851.0,0.0038607423923742485,3.5721421488789976e-56,0.0,0.0038267180830368155,0.0038267180830368155,0.5234719818210914,mmlu
14,Meta-Llama-3-8B,falcon-40b,14042.0,0.6531120922945449,0.5544794188861986,4067.0,1385.0,0.004541592013531555,1.6678049233542128e-106,0.0,0.004464666888058687,0.0044646668880586856,0.40935786668295826,mmlu
15,Meta-Llama-3-8B,gemma-7b,14042.0,0.6531120922945449,0.6264064948013104,3169.0,375.0,0.004008963949590534,2.9055118158234604e-11,0.0,0.004002624420458152,0.004002624420458151,0.5116225237842379,mmlu
16,Meta-Llama-3-8B,llama2_70B,14042.0,0.6531120922945449,0.6315339695200114,3265.0,303.0,0.0040692336211826385,1.230593135299027e-07,0.0,0.004065157253840729,0.004065157253840729,0.4947675166931784,mmlu
17,Meta-Llama-3-8B,llama_33B,14042.0,0.6531120922945449,0.570360347528842,3660.0,1162.0,0.004308355921451124,1.7680261439261695e-83,0.0,0.004251383483125871,0.004251383483125871,0.4621970921153569,mmlu
18,Meta-Llama-3-8B,llama_65B,14042.0,0.6531120922945449,0.6223472439823386,3298.0,432.0,0.00408974619437722,5.665990053025535e-14,0.0,0.00408149736288323,0.0040814973628832294,0.49330993339270013,mmlu
19,Mistral-7B-v0.1,Meta-Llama-3-8B,14042.0,0.6250534111949865,0.6531120922945449,3012.0,-394.0,0.0039083955943632655,7.451677475595041e-13,0.0,0.0039012163938940705,0.00390121639389407,0.5364111060887126,mmlu
20,Mistral-7B-v0.1,Mixtral-8x7B-v0.1,14042.0,0.6250534111949865,0.703318615581826,3077.0,-1099.0,0.003950342756974409,4.160345075535301e-89,0.0,0.003894738114348036,0.003894738114348036,0.5200818439068718,mmlu
21,Mistral-7B-v0.1,Qwen1.5-14B,14042.0,0.6250534111949865,0.6781797464748611,3352.0,-746.0,0.004123092102586563,3.408507508221139e-38,0.0,0.004098645013087551,0.004098645013087551,0.4791305240845053,mmlu
22,Mistral-7B-v0.1,Qwen1.5-4B,14042.0,0.6250534111949865,0.551559606893605,3844.0,1032.0,0.004415325452214784,7.789149450367705e-63,0.0,0.004371549252725992,0.004371549252725992,0.4430775813136133,mmlu
23,Mistral-7B-v0.1,Qwen1.5-7B,14042.0,0.6250534111949865,0.6051844466600199,3445.0,279.0,0.004179897618809055,2.1490139600644706e-06,0.0,0.004176533272646852,0.004176533272646853,0.48250353211192043,mmlu
24,Mistral-7B-v0.1,deepseek-llm-67b-base,14042.0,0.6250534111949865,0.7137159948725252,3169.0,-1245.0,0.004008963949590534,4.067409271995533e-111,0.0,0.003938523528345343,0.003938523528345343,0.5046594539638323,mmlu
25,Mistral-7B-v0.1,falcon-40b,14042.0,0.6250534111949865,0.5544794188861986,3681.0,991.0,0.0043206982800505665,1.419877717878709e-60,0.0,0.004279454903238247,0.004279454903238246,0.4659593980456713,mmlu
26,Mistral-7B-v0.1,gemma-7b,14042.0,0.6250534111949865,0.6264064948013104,3219.0,-19.0,0.004040466586669786,0.7510537639897286,0.0,0.004040450452016119,0.004040450452016119,0.5105737522771694,mmlu
27,Mistral-7B-v0.1,llama2_13B,14042.0,0.6250534111949865,0.5366756872240421,3677.0,1241.0,0.004318350074290139,9.59217673329918e-95,0.0,0.004253459119892543,0.004253459119892543,0.47424916805790435,mmlu
28,Mistral-7B-v0.1,llama2_70B,14042.0,0.6250534111949865,0.6315339695200114,3289.0,-91.0,0.004084162073476618,0.11656063741412676,0.0,0.004083795903793815,0.004083795903793814,0.4986036269623726,mmlu
