,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,3610.0,0.43185595567867036,0.4218836565096953,472.0,36.0,0.006018160936953029,0.10707959213902728,0.0,0.006015871797727396,0.006015871797727396,0.7329672894601015,nq
1,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,3610.0,0.43185595567867036,0.36925207756232686,540.0,226.0,0.006437091434139751,8.31533589900247e-23,0.0,0.006352202967693621,0.0063522029676936174,0.6956633428802937,nq
2,Meta-Llama-3-70B,Qwen1.5-110B,3610.0,0.43185595567867036,0.41634349030470913,478.0,56.0,0.006056291165948877,0.011802703492007368,0.0,0.006050785432800639,0.0060507854328006394,0.7293682074881854,nq
3,Meta-Llama-3-70B,Qwen1.5-72B,3610.0,0.43185595567867036,0.3590027700831025,601.0,263.0,0.006790942200626739,1.6428839419090863e-27,0.0,0.006681814900342637,0.006681814900342636,0.6613649251427534,nq
4,Meta-Llama-3-70B,dbrx-base,3610.0,0.43185595567867036,0.4883656509695291,734.0,-204.0,0.00750482946489976,4.65945424193156e-14,0.0,0.007445661959247967,0.007445661959247964,0.5959005917399943,nq
5,Meta-Llama-3-70B,deepseek-llm-67b-base,3610.0,0.43185595567867036,0.3767313019390582,505.0,199.0,0.006224987549652142,4.298682190121181e-19,0.0,0.006157005541423187,0.006157005541423186,0.7151632795664786,nq
6,Meta-Llama-3-70B,falcon-40b,3610.0,0.43185595567867036,0.33268698060941826,654.0,358.0,0.007084050887836245,1.0886174057427832e-46,0.0,0.006889088672583262,0.006889088672583262,0.6342053584063535,nq
7,Meta-Llama-3-70B,llama2_70B,3610.0,0.43185595567867036,0.3329639889196676,669.0,357.0,0.007164829449516655,2.6457255097957086e-45,0.0,0.006973216239855919,0.006973216239855918,0.6252541344496227,nq
8,Meta-Llama-3-70B,llama_33B,3610.0,0.43185595567867036,0.34847645429362883,599.0,301.0,0.006779633379789705,4.589315966585085e-36,0.0,0.006636085281530394,0.0066360852815303935,0.6639690953536503,nq
9,Meta-Llama-3-70B,llama_65B,3610.0,0.43185595567867036,0.3817174515235457,575.0,181.0,0.006642425932566093,3.761923774482164e-14,0.0,0.006589799655516425,0.006589799655516427,0.6744580711594458,nq
10,Meta-Llama-3-8B,Mistral-7B-v0.1,3610.0,0.29889196675900276,0.2922437673130194,508.0,24.0,0.006243450232456867,0.3075072770183945,0.0,0.006242469658547626,0.006242469658547626,0.6621696820868425,nq
11,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,3610.0,0.29889196675900276,0.36925207756232686,602.0,-254.0,0.0067965895547840985,1.157075224780438e-25,0.0,0.006694944915208835,0.006694944915208835,0.6351836225854871,nq
12,Meta-Llama-3-8B,Qwen1.5-14B,3610.0,0.29889196675900276,0.23573407202216065,606.0,228.0,0.006819132202266577,1.0233233797370523e-20,0.0,0.006737625701621431,0.00673762570162143,0.5811519480164247,nq
13,Meta-Llama-3-8B,Qwen1.5-32B,3610.0,0.29889196675900276,0.30664819944598337,584.0,-28.0,0.006694208295620262,0.26386299082519243,0.0,0.006692963478304033,0.006692963478304032,0.6169656564202428,nq
14,Meta-Llama-3-8B,Qwen1.5-72B,3610.0,0.29889196675900276,0.3590027700831025,627.0,-217.0,0.006936279238531255,2.9280539381265396e-18,0.0,0.006863749204629887,0.0068637492046298865,0.6138616077475108,nq
15,Meta-Llama-3-8B,deepseek-llm-67b-base,3610.0,0.29889196675900276,0.3767313019390582,617.0,-281.0,0.006880743683309818,1.6583258795322287e-30,0.0,0.006757680873041412,0.006757680873041411,0.6300236113497686,nq
16,Meta-Llama-3-8B,deepseek-llm-7b-base,3610.0,0.29889196675900276,0.22077562326869807,598.0,282.0,0.006773971889549853,1.0112774720053624e-31,0.0,0.006648033187762601,0.006648033187762601,0.5847170840254525,nq
17,Meta-Llama-3-8B,deepseek-moe-16b-base,3610.0,0.29889196675900276,0.267590027700831,533.0,113.0,0.006395233451864374,1.1237479122438497e-06,0.0,0.0063739779578117625,0.006373977957811762,0.6387035824624522,nq
