,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,codegen-16b,codegen-2b,18340.0,0.30763358778625954,0.28255179934569247,2518.0,460.0,0.0027360783621143683,4.6234568093290995e-20,0.0,0.002729802729811479,0.0027298027298114794,0.6714521691066367,safim
1,codegen-16b,codegen-350m,18340.0,0.30763358778625954,0.21248636859323883,3331.0,1745.0,0.003146936538824008,8.23358796341705e-211,0.0,0.0030675054102596243,0.0030675054102596235,0.550238317679408,safim
2,codegen-16b,codegen-6b,18340.0,0.30763358778625954,0.29034896401308613,2451.0,317.0,0.00269943158004069,1.642253190551851e-10,0.0,0.0026964125938172593,0.0026964125938172584,0.6818829840025586,safim
3,codegen-16b,gpt-3.5-turbo-0301,18340.0,0.30763358778625954,0.34830970556161395,5502.0,-746.0,0.004044463884548025,8.380596793785528e-24,0.0,0.00403329554147762,0.00403329554147762,0.32208234163585897,safim
4,codegen-16b,incoder-1b,18340.0,0.30763358778625954,0.22639040348964012,4688.0,1490.0,0.0037333135809430075,1.1658281518507896e-106,0.0,0.003684798006172058,0.003684798006172058,0.3601440477300636,safim
5,codegen-16b,incoder-6b,18340.0,0.30763358778625954,0.27300981461286805,4567.0,635.0,0.0036848191229821056,5.639154601545129e-21,0.0,0.003675938837671348,0.003675938837671349,0.3979697761212175,safim
6,codegen-16b,phi-1.5,18340.0,0.30763358778625954,0.2435659760087241,2955.0,1175.0,0.002964008271521676,2.729313284714103e-106,0.0,0.0029260102416897834,0.0029260102416897834,0.6063134159187765,safim
7,codegen-16b,phi-2,18340.0,0.30763358778625954,0.28882224645583426,2741.0,345.0,0.002854665237231935,4.734444218889116e-11,0.0,0.002851283714477012,0.002851283714477011,0.6437455657455027,safim
8,codegen-16b,wizardcoder-1b,18340.0,0.30763358778625954,0.347164667393675,3543.0,-725.0,0.003245534610563387,2.88639058940254e-34,0.0,0.0032323810681799577,0.003232381068179958,0.5644082862700259,safim
9,codegen-16b,wizardcoder-3b,18340.0,0.30763358778625954,0.4098691384950927,4035.0,-1875.0,0.0034635577891291703,9.500522466221303e-199,0.0,0.00338028472548341,0.0033802847254834102,0.5403915621930603,safim
