,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Meta-Llama-3-8B,1954.0,0.5230296827021494,0.4882292732855681,198.0,68.0,0.007201252445992983,1.53348504089696e-06,0.0,0.007158089646466114,0.007158089646466113,0.799492930125698,siqa
1,Meta-Llama-3-70B,Mistral-7B-v0.1,1954.0,0.5230296827021494,0.4938587512794268,219.0,57.0,0.007573515141734259,0.00014250709525327778,0.0,0.007544709653904195,0.007544709653904196,0.7772936553306328,siqa
2,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,1954.0,0.5230296827021494,0.5143295803480041,195.0,17.0,0.007146489275214402,0.25182239587374905,0.0,0.007143778560607811,0.007143778560607809,0.8002670812011602,siqa
3,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,1954.0,0.5230296827021494,0.503582395087001,206.0,38.0,0.007345291757629132,0.009769982885939301,0.0,0.007332104803766927,0.0073321048037669305,0.7896787851598723,siqa
4,Meta-Llama-3-70B,Qwen1.5-0.5B,1954.0,0.5230296827021494,0.45905834186284544,423.0,125.0,0.010525570010851143,1.2598436920144228e-09,0.0,0.010425607325334122,0.010425607325334122,0.573345241814572,siqa
5,Meta-Llama-3-70B,Qwen1.5-1.8B,1954.0,0.5230296827021494,0.47236438075742065,423.0,99.0,0.010525570010851143,1.7038933490961467e-06,0.0,0.010462978663229344,0.010462978663229346,0.5710658111066027,siqa
6,Meta-Llama-3-70B,Qwen1.5-110B,1954.0,0.5230296827021494,0.5880245649948823,403.0,-127.0,0.010273725639654417,2.4805535040326687e-10,0.0,0.01016796674203747,0.010167966742037468,0.5892224969689173,siqa
7,Meta-Llama-3-70B,Qwen1.5-14B,1954.0,0.5230296827021494,0.5690890481064483,496.0,-90.0,0.011397675256560946,6.165448190431126e-05,0.0,0.01134994702617083,0.011349947026170832,0.4911871003129033,siqa
8,Meta-Llama-3-70B,Qwen1.5-32B,1954.0,0.5230296827021494,0.5690890481064483,404.0,-90.0,0.010286464300021381,8.780396626859554e-06,0.0,0.010233554809472455,0.010233554809472455,0.5863659710212715,siqa
9,Meta-Llama-3-70B,Qwen1.5-4B,1954.0,0.5230296827021494,0.4897645854657114,413.0,65.0,0.010400410149898452,0.0016052571554274,0.0,0.01037314912863436,0.010373149128634358,0.5789558876394443,siqa
10,Meta-Llama-3-70B,Qwen1.5-72B,1954.0,0.5230296827021494,0.5721596724667349,388.0,-96.0,0.01008071422906459,1.2567903970573155e-06,0.0,0.010019256946497797,0.0100192569464978,0.6031665462129707,siqa
11,Meta-Llama-3-70B,Qwen1.5-7B,1954.0,0.5230296827021494,0.5348004094165814,389.0,-23.0,0.010093696480714443,0.2646353959378977,0.0,0.010090183487272222,0.01009018348727222,0.6007294259501722,siqa
12,Meta-Llama-3-70B,deepseek-llm-67b-base,1954.0,0.5230296827021494,0.5076765609007164,200.0,30.0,0.007237531025450845,0.040037191613399414,0.0,0.007229192319586641,0.007229192319586643,0.795522504555266,siqa
13,Meta-Llama-3-70B,deepseek-llm-7b-base,1954.0,0.5230296827021494,0.49027635619242577,220.0,64.0,0.007590786578398836,1.9051766794813942e-05,0.0,0.007554536602280157,0.007554536602280156,0.7766876337191078,siqa
14,Meta-Llama-3-70B,deepseek-moe-16b-base,1954.0,0.5230296827021494,0.4662231320368475,271.0,111.0,0.008424809433548786,1.222381619648269e-11,0.0,0.008326219907212135,0.008326219907212135,0.7281661783523891,siqa
15,Meta-Llama-3-70B,falcon-40b,1954.0,0.5230296827021494,0.5127942681678608,212.0,20.0,0.007451494257196027,0.19179617486993653,0.0,0.007447895787715675,0.0074478957877156735,0.782917613891341,siqa
16,Meta-Llama-3-70B,falcon-7b,1954.0,0.5230296827021494,0.4866939611054248,225.0,71.0,0.0076765609007164795,2.552378247420806e-06,0.0,0.007632424530938185,0.007632424530938186,0.7720213834472522,siqa
17,Meta-Llama-3-70B,gemma-2b,1954.0,0.5230296827021494,0.4764585465711361,255.0,91.0,0.008172323143639361,1.2307853767903e-08,0.0,0.008104128640345395,0.0081041286403454,0.7427767202531615,siqa
18,Meta-Llama-3-70B,gemma-7b,1954.0,0.5230296827021494,0.5158648925281474,230.0,14.0,0.007761387353174565,0.3913839030786506,0.0,0.007759694729552534,0.007759694729552533,0.7643196201301617,siqa
19,Meta-Llama-3-70B,llama2_07B,1954.0,0.5230296827021494,0.5,325.0,45.0,0.009226077982251763,0.014533392021433054,0.0,0.009211356523080973,0.009211356523080973,0.668058034785386,siqa
20,Meta-Llama-3-70B,llama2_13B,1954.0,0.5230296827021494,0.5353121801432958,278.0,-24.0,0.008532923234663802,0.16764182176366024,0.0,0.008528398051695158,0.00852839805169516,0.7147439516049667,siqa
21,Meta-Llama-3-70B,llama2_70B,1954.0,0.5230296827021494,0.5250767656090072,260.0,-4.0,0.008252055013611617,0.8524493050180938,0.0,0.008251925069198005,0.008251925069198005,0.7332692232485624,siqa
22,Meta-Llama-3-70B,llama_07B,1954.0,0.5230296827021494,0.48771750255885365,231.0,69.0,0.007778241634375979,6.613226227903767e-06,0.0,0.007737111242643771,0.00773711124264377,0.7657368729832708,siqa
23,Meta-Llama-3-70B,llama_13B,1954.0,0.5230296827021494,0.5061412487205732,203.0,33.0,0.007291610465084445,0.02446682535921564,0.0,0.0072815943539907115,0.007281594353990713,0.7925562186783471,siqa
24,Meta-Llama-3-70B,llama_33B,1954.0,0.5230296827021494,0.5015353121801432,206.0,42.0,0.007345291757629132,0.00417013208393155,0.0,0.007329179275549211,0.007329179275549209,0.7898510148098865,siqa
25,Meta-Llama-3-70B,llama_65B,1954.0,0.5230296827021494,0.5209825997952917,196.0,4.0,0.007164790174002047,0.8303925586538715,0.0,0.007164640509995054,0.0071646405099950565,0.7990040815618025,siqa
26,Meta-Llama-3-70B,mpt-30b,1954.0,0.5230296827021494,0.4851586489252815,222.0,74.0,0.007625212090967932,7.673326261533734e-07,0.0,0.0075769301222472826,0.007576930122247284,0.7753050506393474,siqa
27,Meta-Llama-3-70B,pythia-1.4b-deduped-v0,1954.0,0.5230296827021494,0.43858751279426816,341.0,165.0,0.009450453077082595,1.233205088871097e-19,0.0,0.00925537100286368,0.00925537100286368,0.6623422484377453,siqa
28,Meta-Llama-3-70B,pythia-12b-deduped-v0,1954.0,0.5230296827021494,0.46673490276356194,260.0,110.0,0.008252055013611617,6.719840002433466e-12,0.0,0.008153193128278662,0.008153193128278662,0.7393646339135,siqa
29,Meta-Llama-3-70B,pythia-1b-deduped,1954.0,0.5230296827021494,0.44268167860798363,337.0,157.0,0.009394861694312088,4.6965184784955645e-18,0.0,0.00921734972191207,0.00921734972191207,0.6654350765940544,siqa
30,Meta-Llama-3-70B,pythia-2.8b-deduped,1954.0,0.5230296827021494,0.4534288638689867,292.0,136.0,0.008745142011583962,8.228765363413757e-16,0.0,0.008602229431169143,0.00860222943116914,0.709248658920381,siqa
31,Meta-Llama-3-70B,pythia-6.9b-deduped-v0,1954.0,0.5230296827021494,0.45496417604913,283.0,133.0,0.008609316193070994,1.2552358384276734e-15,0.0,0.008470497975868201,0.008470497975868203,0.7181646308904007,siqa
