,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,20231010_rag_claude2,20231010_rag_gpt35,500.0,0.044,0.004,22.0,20.0,0.00938083151964686,1.0967254638671875e-05,0.0,0.009208691546577072,0.00920869154657707,0.14089964040600306,swebench-verified
1,20231010_rag_claude2,20231010_rag_swellama13b,500.0,0.044,0.012,26.0,16.0,0.010198039027185569,0.002493917942047119,0.0,0.010097128304622062,0.010097128304622062,0.06591487461715005,swebench-verified
2,20231010_rag_claude2,20231010_rag_swellama7b,500.0,0.044,0.014,25.0,15.0,0.01,0.004077315330505371,0.0,0.009909591313469997,0.009909591313469997,0.14043410625210384,swebench-verified
3,20231010_rag_claude2,20240402_rag_claude3opus,500.0,0.044,0.07,35.0,-13.0,0.011832159566199233,0.040959591511636986,0.0,0.011774888534504264,0.011774888534504268,0.36155581716354235,swebench-verified
4,20231010_rag_claude2,20240402_rag_gpt4,500.0,0.044,0.028,30.0,8.0,0.010954451150103323,0.20048842206597334,0.0,0.010931056673533442,0.010931056673533442,0.1409187603958559,swebench-verified
5,20231010_rag_claude2,20240918_lingma-agent_lingma-swe-gpt-7b,500.0,0.044,0.102,59.0,-29.0,0.015362291495737215,0.00020372185740785698,0.0,0.01514173041630315,0.01514173041630315,0.1532421734554542,swebench-verified
6,20231010_rag_gpt35,20231010_rag_claude2,500.0,0.004,0.044,22.0,-20.0,0.00938083151964686,1.0967254638671875e-05,0.0,0.009208691546577072,0.00920869154657707,0.14089964040600306,swebench-verified
7,20231010_rag_gpt35,20231010_rag_swellama13b,500.0,0.004,0.012,8.0,-4.0,0.00565685424949238,0.2890625,0.0,0.005645529204600751,0.005645529204600752,-0.006984132615075187,swebench-verified
8,20231010_rag_gpt35,20231010_rag_swellama7b,500.0,0.004,0.014,9.0,-5.0,0.006,0.1796875,0.0,0.005983310120660636,0.005983310120660636,-0.007551372374927677,swebench-verified
9,20231010_rag_gpt35,20240402_rag_claude3opus,500.0,0.004,0.07,35.0,-33.0,0.011832159566199233,2.0954757928848267e-09,0.0,0.011458097573332146,0.011458097573332146,0.1068017300472368,swebench-verified
10,20231010_rag_gpt35,20240402_rag_gpt4,500.0,0.004,0.028,16.0,-12.0,0.008,0.004180908203125,0.0,0.007927673050775998,0.007927673050775998,-0.01075588647317618,swebench-verified
