,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Meta-Llama-3-70B,Mixtral-8x22B-v0.1,11313.0,0.7763634756474852,0.7702642977105985,887.0,69.0,0.002632594822210807,0.022364361883308172,0.0,0.002631970221715461,0.0026319702217154593,0.776496758711777,tqa
1,Meta-Llama-3-70B,Mixtral-8x7B-v0.1,11313.0,0.7763634756474852,0.7314593830106957,1164.0,508.0,0.0030157733773944983,1.3498678287098942e-51,0.0,0.002986076627207134,0.002986076627207133,0.7287890033008017,tqa
2,Meta-Llama-3-70B,Qwen1.5-110B,11313.0,0.7763634756474852,0.7459559798461947,1052.0,344.0,0.0028670157765803687,1.3801288829277437e-26,0.0,0.002852726604864731,0.0028527266048647315,0.747180380820716,tqa
3,Meta-Llama-3-70B,Qwen1.5-72B,11313.0,0.7763634756474852,0.706885883496862,1400.0,786.0,0.0033073962580871044,1.6931915078352787e-103,0.0,0.0032422493317464034,0.003242249331746404,0.6904048865542342,tqa
4,Meta-Llama-3-70B,dbrx-base,11313.0,0.7763634756474852,0.781843896402369,968.0,-62.0,0.002750172224185282,0.04986796478846275,0.0,0.0027496895009019064,0.002749689500901906,0.7515159928024931,tqa
5,Meta-Llama-3-70B,deepseek-llm-67b-base,11313.0,0.7763634756474852,0.7294263236984001,1157.0,531.0,0.0030066916559170773,9.320069580048455e-57,0.0,0.002974130878555964,0.002974130878555963,0.7317634727749092,tqa
6,Meta-Llama-3-70B,llama2_70B,11313.0,0.7763634756474852,0.686820472023336,1701.0,1013.0,0.0036456449442767223,4.99287107268508e-142,0.0,0.00354711000234732,0.0035471100023473194,0.6374637956661486,tqa
7,Meta-Llama-3-70B,llama_33B,11313.0,0.7763634756474852,0.7071510651462919,1371.0,783.0,0.0032729618282637,4.30413437358794e-105,0.0,0.003207622297678833,0.003207622297678833,0.6969607931431168,tqa
8,Meta-Llama-3-70B,llama_65B,11313.0,0.7763634756474852,0.733404048439848,1164.0,486.0,0.0030157733773944983,3.149244501905341e-47,0.0,0.0029886045334926994,0.002988604533492699,0.7275549371586426,tqa
9,Meta-Llama-3-8B,Mistral-7B-v0.1,11313.0,0.6535843719614602,0.6422699549191196,1386.0,128.0,0.0032908177263301134,0.0006413285539468385,0.0,0.003289097972646348,0.0032890979726463475,0.7317302241548527,tqa
10,Meta-Llama-3-8B,Mixtral-8x7B-v0.1,11313.0,0.6535843719614602,0.7314593830106957,1571.0,-881.0,0.0035035660183163463,1.1685623313642509e-115,0.0,0.0034262090722992225,0.0034262090722992225,0.6876578844777308,tqa
11,Meta-Llama-3-8B,Qwen1.5-110B,11313.0,0.6535843719614602,0.7459559798461947,1667.0,-1045.0,0.0036090260165462036,2.3452854496976785e-155,0.0,0.003502976840873016,0.003502976840873016,0.6688701437100455,tqa
12,Meta-Llama-3-8B,Qwen1.5-32B,11313.0,0.6535843719614602,0.6549102802086095,1577.0,-15.0,0.0035102500931078902,0.7244432649623933,0.0,0.0035102279579578136,0.0035102279579578145,0.6918860407132147,tqa
13,Meta-Llama-3-8B,Qwen1.5-72B,11313.0,0.6535843719614602,0.706885883496862,1631.0,-603.0,0.003569843632336015,2.0756339408713386e-51,0.0,0.003534494591531801,0.0035344945915317997,0.6747261668010982,tqa
