,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,mbpp+,378,59,1590,1590,36,22,"{'count': 59.0, 'mean': 0.024984209, 'std': 0.0007773278, 'min': 0.0225400229, '25%': 0.0246042206, '50%': 0.0252463893, '75%': 0.0255936362, 'max': 0.025717225}","{'count': 59.0, 'mean': 0.024984209, 'std': 0.0007773278, 'min': 0.0225400229, '25%': 0.0246042206, '50%': 0.0252463893, '75%': 0.0255936362, 'max': 0.025717225}","{'count': 59.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1590.0, 'mean': 0.0238013961, 'std': 0.0022535779, 'min': 0.0166762066, '25%': 0.0221284251, '50%': 0.0237218789, '75%': 0.0253407265, 'max': 0.0297629545}","{'count': 1590.0, 'mean': 0.0238013961, 'std': 0.0022535779, 'min': 0.0166762066, '25%': 0.0221284251, '50%': 0.0237218789, '75%': 0.0253407265, 'max': 0.0297629545}","{'count': 1590.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1590.0, 'mean': 0.023978896, 'std': 0.0022731267, 'min': 0.0167316278, '25%': 0.0222914015, '50%': 0.0239560453, '75%': 0.0255123036, 'max': 0.030163371}","{'count': 1590.0, 'mean': 0.5474568687, 'std': 0.0756088514, 'min': 0.2815602715, '25%': 0.5016011424, '50%': 0.5549805414, '75%': 0.6009528402, 'max': 0.7874742398}","{'count': 1590.0, 'mean': 82.8943396226, 'std': 15.6049049319, 'min': 40.0, '25%': 71.0, '50%': 82.0, '75%': 93.0, 'max': 130.0}",
1,tqa,11313,36,394,62,1338,323,"{'count': 36.0, 'mean': 0.004322902, 'std': 0.0004202466, 'min': 0.0031289151, '25%': 0.0041515075, '50%': 0.0044716149, '75%': 0.0046292799, 'max': 0.0047007137}","{'count': 36.0, 'mean': 0.004322902, 'std': 0.0004202466, 'min': 0.0031289151, '25%': 0.0041515075, '50%': 0.0044716149, '75%': 0.0046292799, 'max': 0.0047007137}","{'count': 36.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 62.0, 'mean': 0.0035095381, 'std': 0.00045745, 'min': 0.0026319702, '25%': 0.0030815838, '50%': 0.0035714409, '75%': 0.0039463768, 'max': 0.0041222991}","{'count': 62.0, 'mean': 0.0035095381, 'std': 0.00045745, 'min': 0.0026319702, '25%': 0.0030815838, '50%': 0.0035714409, '75%': 0.0039463768, 'max': 0.0041222991}","{'count': 62.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 62.0, 'mean': 0.0035108782, 'std': 0.0004576328, 'min': 0.0026325948, '25%': 0.0030823699, '50%': 0.0035731252, '75%': 0.0039496072, 'max': 0.0041243112}","{'count': 62.0, 'mean': 0.6736037588, 'std': 0.063972904, 'min': 0.4951073613, '25%': 0.6384190401, '50%': 0.6692987373, '75%': 0.7315951692, 'max': 0.7764967587}","{'count': 62.0, 'mean': 1603.935483871, 'std': 402.8218444826, 'min': 887.0, '25%': 1216.25, '50%': 1634.0, '75%': 1996.5, 'max': 2177.0}",
2,CRUXEval-input-T0.8,800,31,474,449,17,81,"{'count': 31.0, 'mean': 0.0163341239, 'std': 0.0013511644, 'min': 0.0117326468, '25%': 0.0156886724, '50%': 0.0165971754, '75%': 0.0173103231, 'max': 0.0176110267}","{'count': 31.0, 'mean': 0.0123608277, 'std': 0.0014696773, 'min': 0.0086468744, '25%': 0.0115389853, '50%': 0.0122391502, '75%': 0.0133972707, 'max': 0.0148860253}","{'count': 31.0, 'mean': 0.0105648842, 'std': 0.0014636769, 'min': 0.0063418254, '25%': 0.0098553914, '50%': 0.0107194333, '75%': 0.011328879, 'max': 0.0130048068}","{'count': 449.0, 'mean': 0.0184661028, 'std': 0.0010235109, 'min': 0.0136386285, '25%': 0.0179458991, '50%': 0.018477554, '75%': 0.019221667, 'max': 0.0207674771}","{'count': 449.0, 'mean': 0.0099063817, 'std': 0.001208605, 'min': 0.0069183632, '25%': 0.0090907061, '50%': 0.0099345269, '75%': 0.0108124268, 'max': 0.0129948036}","{'count': 449.0, 'mean': 0.0155328488, 'std': 0.0010869972, 'min': 0.0115704365, '25%': 0.0148266019, '50%': 0.0154934462, '75%': 0.016187862, 'max': 0.0183298766}","{'count': 449.0, 'mean': 0.018562467, 'std': 0.0010422666, 'min': 0.0136930639, '25%': 0.0181021408, '50%': 0.0185463945, '75%': 0.0192775776, 'max': 0.0209321822}","{'count': 449.0, 'mean': 0.6882466554, 'std': 0.0627070937, 'min': 0.4836520959, '25%': 0.6537107584, '50%': 0.688253371, '75%': 0.7294735907, 'max': 0.8662101355}","{'count': 449.0, 'mean': 221.2154120267, 'std': 24.4018093477, 'min': 120.0, '25%': 209.72, '50%': 220.14, '75%': 237.84, 'max': 280.42}",2.1104525915
3,arc_challenge,1165,38,686,464,165,130,"{'count': 38.0, 'mean': 0.0143310724, 'std': 0.0004187778, 'min': 0.0130388314, '25%': 0.0142519907, '50%': 0.0145078516, '75%': 0.0145964779, 'max': 0.0146489198}","{'count': 38.0, 'mean': 0.0143310724, 'std': 0.0004187778, 'min': 0.0130388314, '25%': 0.0142519907, '50%': 0.0145078516, '75%': 0.0145964779, 'max': 0.0146489198}","{'count': 38.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 464.0, 'mean': 0.0126329306, 'std': 0.0009937213, 'min': 0.0104406937, '25%': 0.0118590707, '50%': 0.012528317, '75%': 0.0135077928, 'max': 0.0149907507}","{'count': 464.0, 'mean': 0.0126329306, 'std': 0.0009937213, 'min': 0.0104406937, '25%': 0.0118590707, '50%': 0.012528317, '75%': 0.0135077928, 'max': 0.0149907507}","{'count': 464.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 464.0, 'mean': 0.012680962, 'std': 0.00099772, 'min': 0.0104777301, '25%': 0.011862897, '50%': 0.0126007797, '75%': 0.0135448359, 'max': 0.0149907718}","{'count': 464.0, 'mean': 0.6163211675, 'std': 0.0586734739, 'min': 0.4763897649, '25%': 0.5629367468, '50%': 0.6234708429, '75%': 0.6667039174, 'max': 0.7267460057}","{'count': 464.0, 'mean': 219.599137931, 'std': 34.4154342684, 'min': 149.0, '25%': 191.0, '50%': 215.5, '75%': 249.0, 'max': 305.0}",
4,humaneval+,164,49,922,922,7,3,"{'count': 49.0, 'mean': 0.0371062923, 'std': 0.0017098202, 'min': 0.032639008, '25%': 0.0357421924, '50%': 0.0374761426, '75%': 0.0386905476, 'max': 0.0390434405}","{'count': 49.0, 'mean': 0.0371062923, 'std': 0.0017098202, 'min': 0.032639008, '25%': 0.0357421924, '50%': 0.0374761426, '75%': 0.0386905476, 'max': 0.0390434405}","{'count': 49.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 922.0, 'mean': 0.0384263318, 'std': 0.0039854273, 'min': 0.0285802721, '25%': 0.0356914132, '50%': 0.0380762792, '75%': 0.0404326285, 'max': 0.0497013031}","{'count': 922.0, 'mean': 0.0384263318, 'std': 0.0039854273, 'min': 0.0285802721, '25%': 0.0356914132, '50%': 0.0380762792, '75%': 0.0404326285, 'max': 0.0497013031}","{'count': 922.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 922.0, 'mean': 0.0386775265, 'std': 0.0039944385, 'min': 0.0292428751, '25%': 0.0360736572, '50%': 0.0385643617, '75%': 0.0409036825, 'max': 0.0502817759}","{'count': 922.0, 'mean': 0.4602284276, 'std': 0.0909821817, 'min': 0.1560994914, '25%': 0.4156683665, '50%': 0.4721921646, '75%': 0.5183577728, 'max': 0.7251297684}","{'count': 922.0, 'mean': 40.6637744035, 'std': 8.5066091738, 'min': 23.0, '25%': 35.0, '50%': 40.0, '75%': 45.0, 'max': 68.0}",0.5029900629
5,lcb_codegen_v6,1055,33,410,257,36,13,"{'count': 33.0, 'mean': 0.0133355575, 'std': 0.0015429237, 'min': 0.0102518803, '25%': 0.0121078277, '50%': 0.0132675749, '75%': 0.0148902942, 'max': 0.0153931158}","{'count': 33.0, 'mean': 0.0130483221, 'std': 0.0016162466, 'min': 0.0097245047, '25%': 0.0119505486, '50%': 0.0132675749, '75%': 0.0142974801, 'max': 0.0152921452}","{'count': 33.0, 'mean': 0.0014023027, 'std': 0.002357046, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0035881504, 'max': 0.0061887823}","{'count': 257.0, 'mean': 0.0110241702, 'std': 0.001354157, 'min': 0.0086978301, '25%': 0.0098646078, '50%': 0.0108213672, '75%': 0.011800528, 'max': 0.0153050809}","{'count': 257.0, 'mean': 0.010355663, 'std': 0.0018878309, 'min': 0.0045907333, '25%': 0.0090416539, '50%': 0.0106079604, '75%': 0.0115871482, 'max': 0.0144076172}","{'count': 257.0, 'mean': 0.0020450927, 'std': 0.0029016368, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0055220897, 'max': 0.0083143956}","{'count': 257.0, 'mean': 0.0110716127, 'std': 0.0013649435, 'min': 0.0087389047, '25%': 0.0099277505, '50%': 0.010931339, '75%': 0.0118767432, 'max': 0.015453435}","{'count': 257.0, 'mean': 0.6539440725, 'std': 0.0877884888, 'min': 0.4619645011, '25%': 0.5910296556, '50%': 0.6477187562, '75%': 0.720309124, 'max': 0.9063189407}","{'count': 257.0, 'mean': 138.5008560311, 'std': 35.2788244855, 'min': 85.0, '25%': 109.7, '50%': 133.0, '75%': 157.0, 'max': 265.8}",
6,agi_english,2546,35,440,246,25,522,"{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 246.0, 'mean': 0.0111277334, 'std': 0.0008132117, 'min': 0.0086764466, '25%': 0.0105799692, '50%': 0.0111269798, '75%': 0.0117274417, 'max': 0.0129718309}","{'count': 246.0, 'mean': 0.0111277334, 'std': 0.0008132117, 'min': 0.0086764466, '25%': 0.0105799692, '50%': 0.0111269798, '75%': 0.0117274417, 'max': 0.0129718309}","{'count': 246.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 246.0, 'mean': 0.0111442513, 'std': 0.0008160715, 'min': 0.0086855241, '25%': 0.010586669, '50%': 0.0111301079, '75%': 0.0117520506, 'max': 0.013014958}","{'count': 246.0, 'mean': 0.2541784589, 'std': 0.1715307143, 'min': -0.1576258479, '25%': 0.1348880899, '50%': 0.2541719595, '75%': 0.4156431979, 'max': 0.5827067037}","{'count': 246.0, 'mean': 809.3414634146, 'std': 116.7395027326, 'min': 489.0, '25%': 726.5, '50%': 803.0, '75%': 895.25, 'max': 1098.0}",
7,lcb_codegen_v5,880,24,158,111,56,10,"{'count': 24.0, 'mean': 0.0152927985, 'std': 0.0015586791, 'min': 0.0116889765, '25%': 0.0139855424, '50%': 0.0161253924, '75%': 0.016659328, 'max': 0.0168505554}","{'count': 24.0, 'mean': 0.0145555641, 'std': 0.0016408141, 'min': 0.0113548772, '25%': 0.0137932988, '50%': 0.0150564779, '75%': 0.0158809358, 'max': 0.0167501538}","{'count': 24.0, 'mean': 0.0033025624, 'std': 0.0033642337, 'min': 0.0, '25%': 0.0, '50%': 0.0035187227, '75%': 0.0060505766, 'max': 0.0091334233}","{'count': 111.0, 'mean': 0.0134968307, 'std': 0.0018485579, 'min': 0.0099254565, '25%': 0.0119815326, '50%': 0.0137657345, '75%': 0.0150281313, 'max': 0.017253717}","{'count': 111.0, 'mean': 0.0119492773, 'std': 0.0021075617, 'min': 0.0049689101, '25%': 0.0103500072, '50%': 0.012206932, '75%': 0.0135770059, 'max': 0.0154519911}","{'count': 111.0, 'mean': 0.0049849755, 'std': 0.0036927851, 'min': 0.0, '25%': 0.0, '50%': 0.0065209849, '75%': 0.0075820817, 'max': 0.0116691875}","{'count': 111.0, 'mean': 0.0135647465, 'std': 0.0018626179, 'min': 0.0099715504, '25%': 0.0120180789, '50%': 0.0138244603, '75%': 0.0150969511, 'max': 0.0173741044}","{'count': 111.0, 'mean': 0.6628767534, 'std': 0.0886404625, 'min': 0.490424554, '25%': 0.5925216011, '50%': 0.6710802675, '75%': 0.7234482175, 'max': 0.9164554044}","{'count': 111.0, 'mean': 145.1538738739, 'std': 39.0191308596, 'min': 77.0, '25%': 111.85, '50%': 148.0, '75%': 176.5, 'max': 233.76}",
8,humaneval,164,78,1630,1630,6,2,"{'count': 78.0, 'mean': 0.0354899624, 'std': 0.0035029214, 'min': 0.0249916557, '25%': 0.0335332052, '50%': 0.0365202425, '75%': 0.0386231041, 'max': 0.0390405371}","{'count': 78.0, 'mean': 0.0354899624, 'std': 0.0035029214, 'min': 0.0249916557, '25%': 0.0335332052, '50%': 0.0365202425, '75%': 0.0386231041, 'max': 0.0390405371}","{'count': 78.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1630.0, 'mean': 0.0371909939, 'std': 0.0055838425, 'min': 0.0182368273, '25%': 0.0342919634, '50%': 0.0375396078, '75%': 0.0406709258, 'max': 0.0498902431}","{'count': 1630.0, 'mean': 0.0371909939, 'std': 0.0055838425, 'min': 0.0182368273, '25%': 0.0342919634, '50%': 0.0375396078, '75%': 0.0406709258, 'max': 0.0498902431}","{'count': 1630.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1630.0, 'mean': 0.0374483372, 'std': 0.0055654189, 'min': 0.0182926829, '25%': 0.0344930137, '50%': 0.0380792561, '75%': 0.0409036825, 'max': 0.0499106876}","{'count': 1630.0, 'mean': 0.4664423757, 'std': 0.1082621501, 'min': 0.1586678363, '25%': 0.4042225918, '50%': 0.461111602, '75%': 0.5296723097, 'max': 0.8053425302}","{'count': 1630.0, 'mean': 38.5509202454, 'std': 10.8312371855, 'min': 9.0, '25%': 32.0, '50%': 39.0, '75%': 45.0, 'max': 67.0}",
9,CRUXEval-output-T0.2,800,37,564,472,24,30,"{'count': 37.0, 'mean': 0.0166617657, 'std': 0.0010909661, 'min': 0.013570794, '25%': 0.0163497892, '50%': 0.0169602108, '75%': 0.0174134461, 'max': 0.0176776342}","{'count': 37.0, 'mean': 0.0155773788, 'std': 0.0014890679, 'min': 0.0118496074, '25%': 0.0149618258, '50%': 0.0160810836, '75%': 0.0166791125, 'max': 0.0172174688}","{'count': 37.0, 'mean': 0.005369456, 'std': 0.0022960344, 'min': 0.0, '25%': 0.0045910919, '50%': 0.0051690183, '75%': 0.0056747797, 'max': 0.0107011974}","{'count': 472.0, 'mean': 0.0158701853, 'std': 0.0015165102, 'min': 0.0110151848, '25%': 0.0150650646, '50%': 0.0156717401, '75%': 0.016705818, 'max': 0.0192044917}","{'count': 472.0, 'mean': 0.0134449073, 'std': 0.0012645296, 'min': 0.0082469502, '25%': 0.0129313086, '50%': 0.0135777384, '75%': 0.0142312619, 'max': 0.0163564821}","{'count': 472.0, 'mean': 0.0082180193, 'std': 0.0020663342, 'min': 0.0028867513, '25%': 0.007058904, '50%': 0.0075322153, '75%': 0.0081470854, 'max': 0.0149572307}","{'count': 472.0, 'mean': 0.0159563766, 'std': 0.0015398641, 'min': 0.0110283725, '25%': 0.0151265495, '50%': 0.0157539678, '75%': 0.0169050658, 'max': 0.0194382034}","{'count': 472.0, 'mean': 0.6371293981, 'std': 0.0808405499, 'min': 0.3559945591, '25%': 0.5977097144, '50%': 0.6400892699, '75%': 0.678105622, 'max': 0.8780501958}","{'count': 472.0, 'mean': 164.4621516007, 'std': 31.1174606698, 'min': 77.84, '25%': 146.44, '50%': 158.84, '75%': 182.9, 'max': 241.82}",2.7295344255
