,benchmark_id,size,models,total_pairs,close_pairs,std(A),std(E(A)),E(std(A)),std(A-B),E(std(A-B)),std(E(A-B)),std_signtest,"corr(A,B)",A!=B,p5_min,p5_max,no_solve,tau-,sig_noise
0,swebench-test,2294,22,462,38,"{'count': 22.0, 'mean': 0.0067137372, 'std': 0.0030376037, 'min': 0.0008710791, '25%': 0.0045059782, '50%': 0.0077088436, '75%': 0.0089349303, 'max': 0.0103041471}","{'count': 22.0, 'mean': 0.0067137372, 'std': 0.0030376037, 'min': 0.0008710791, '25%': 0.0045059782, '50%': 0.0077088436, '75%': 0.0089349303, 'max': 0.0103041471}","{'count': 22.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 38.0, 'mean': 0.0059698057, 'std': 0.0024517445, 'min': 0.0018462234, '25%': 0.0030029617, '50%': 0.0074564087, '75%': 0.0076138506, 'max': 0.0081306743}","{'count': 38.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 38.0, 'mean': 0.0059698057, 'std': 0.0024517445, 'min': 0.0018462234, '25%': 0.0030029617, '50%': 0.0074564087, '75%': 0.0076138506, 'max': 0.0081306743}","{'count': 38.0, 'mean': 0.0059739051, 'std': 0.0024528524, 'min': 0.001849451, '25%': 0.0030057644, '50%': 0.0074617449, '75%': 0.0076254514, 'max': 0.0081319783}","{'count': 38.0, 'mean': 0.4041306237, 'std': 0.206821045, 'min': -0.0035026391, '25%': 0.2464543581, '50%': 0.4967482052, '75%': 0.5498874637, 'max': 0.6930941881}","{'count': 38.0, 'mean': 218.6315789474, 'std': 129.6157358341, 'min': 18.0, '25%': 47.75, '50%': 293.0, '75%': 306.0, 'max': 348.0}",12.0,37.0,1075,26,
1,CRUXEval-output-T0.8,800,31,930,252,"{'count': 31.0, 'mean': 0.0166564483, 'std': 0.0009546914, 'min': 0.0139565278, '25%': 0.016189133, '50%': 0.0169998799, '75%': 0.0173832649, 'max': 0.0176686162}","{'count': 31.0, 'mean': 0.0139328459, 'std': 0.0013441807, 'min': 0.0112490963, '25%': 0.0132029203, '50%': 0.0141580028, '75%': 0.015049102, 'max': 0.0158414976}","{'count': 31.0, 'mean': 0.0089873129, 'std': 0.0013155248, 'min': 0.005, '25%': 0.0082917116, '50%': 0.0090407066, '75%': 0.0093013575, 'max': 0.0119706673}","{'count': 252.0, 'mean': 0.0162764861, 'std': 0.0010713496, 'min': 0.0132603468, '25%': 0.0156384386, '50%': 0.0161423332, '75%': 0.0169911106, 'max': 0.0191108357}","{'count': 252.0, 'mean': 0.0130650784, 'std': 0.0011074468, 'min': 0.0112319299, '25%': 0.0122039952, '50%': 0.0128065519, '75%': 0.013997625, 'max': 0.0152755933}","{'count': 252.0, 'mean': 0.0096340019, 'std': 0.0011578933, 'min': 0.0065674148, '25%': 0.008913989, '50%': 0.0096153523, '75%': 0.0104798843, 'max': 0.012695557}","{'count': 252.0, 'mean': 0.0163074127, 'std': 0.0010783367, 'min': 0.013273564, '25%': 0.0156843871, '50%': 0.0161583956, '75%': 0.0170038837, 'max': 0.0191833261}","{'count': 252.0, 'mean': 0.7641076959, 'std': 0.053051335, 'min': 0.6247161185, '25%': 0.7358780186, '50%': 0.7583557022, '75%': 0.7936789613, 'max': 0.908630504}","{'count': 252.0, 'mean': 170.9375396825, 'std': 22.7025843409, 'min': 112.76, '25%': 157.44, '50%': 167.1, '75%': 185.045, 'max': 235.52}",23.6,27.5,35,86,2.5719947935
2,CRUXEval-output-T0.2,800,37,1332,280,"{'count': 37.0, 'mean': 0.0166617657, 'std': 0.0010909661, 'min': 0.013570794, '25%': 0.0163497892, '50%': 0.0169602108, '75%': 0.0174134461, 'max': 0.0176776342}","{'count': 37.0, 'mean': 0.0155773788, 'std': 0.0014890679, 'min': 0.0118496074, '25%': 0.0149618258, '50%': 0.0160810836, '75%': 0.0166791125, 'max': 0.0172174688}","{'count': 37.0, 'mean': 0.005369456, 'std': 0.0022960344, 'min': 0.0, '25%': 0.0045910919, '50%': 0.0051690183, '75%': 0.0056747797, 'max': 0.0107011974}","{'count': 280.0, 'mean': 0.0156477343, 'std': 0.001634995, 'min': 0.0110151848, '25%': 0.0148485398, '50%': 0.0154303914, '75%': 0.0170421241, 'max': 0.0187207772}","{'count': 280.0, 'mean': 0.0082516709, 'std': 0.002203644, 'min': 0.0028867513, '25%': 0.0070458839, '50%': 0.0075436231, '75%': 0.0110000118, 'max': 0.0121937484}","{'count': 280.0, 'mean': 0.0131557345, 'std': 0.0012322928, 'min': 0.0082469502, '25%': 0.0128001228, '50%': 0.0134029028, '75%': 0.0138935259, 'max': 0.0153597256}","{'count': 280.0, 'mean': 0.0156771517, 'std': 0.001641785, 'min': 0.0110283725, '25%': 0.0148531866, '50%': 0.0154641713, '75%': 0.0170472687, 'max': 0.0187399973}","{'count': 280.0, 'mean': 0.6558661061, 'std': 0.0729701253, 'min': 0.4402970289, '25%': 0.6182466668, '50%': 0.6576190553, '75%': 0.6863868127, 'max': 0.8780501958}","{'count': 280.0, 'mean': 159.0137063492, 'std': 32.4411335629, 'min': 77.84, '25%': 141.195, '50%': 153.05, '75%': 185.99, 'max': 224.76}",21.5,29.1,24,36,2.7295344255
3,humaneval+,164,49,2352,1088,"{'count': 49.0, 'mean': 0.0371062923, 'std': 0.0017098202, 'min': 0.032639008, '25%': 0.0357421924, '50%': 0.0374761426, '75%': 0.0386905476, 'max': 0.0390434405}","{'count': 49.0, 'mean': 0.0371062923, 'std': 0.0017098202, 'min': 0.032639008, '25%': 0.0357421924, '50%': 0.0374761426, '75%': 0.0386905476, 'max': 0.0390434405}","{'count': 49.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1088.0, 'mean': 0.0387215016, 'std': 0.0039312395, 'min': 0.0285802721, '25%': 0.0360453654, '50%': 0.0385334827, '75%': 0.040884278, 'max': 0.0497013031}","{'count': 1088.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1088.0, 'mean': 0.0387215016, 'std': 0.0039312395, 'min': 0.0285802721, '25%': 0.0360453654, '50%': 0.0385334827, '75%': 0.040884278, 'max': 0.0497013031}","{'count': 1088.0, 'mean': 0.0390810714, 'std': 0.0039922755, 'min': 0.0292428751, '25%': 0.0365853659, '50%': 0.0390434405, '75%': 0.0413556706, 'max': 0.0502817759}","{'count': 1088.0, 'mean': 0.4541223398, 'std': 0.0907958, 'min': 0.1560994914, '25%': 0.4083584416, '50%': 0.4649804908, '75%': 0.5141312878, 'max': 0.7251297684}","{'count': 1088.0, 'mean': 41.5073529412, 'std': 8.5375915962, 'min': 23.0, '25%': 36.0, '50%': 41.0, '75%': 46.0, 'max': 68.0}",11.0,16.0,7,3,0.5029900629
4,lcb_codegen_v5,880,24,552,68,"{'count': 24.0, 'mean': 0.0152927985, 'std': 0.0015586791, 'min': 0.0116889765, '25%': 0.0139855424, '50%': 0.0161253924, '75%': 0.016659328, 'max': 0.0168505554}","{'count': 24.0, 'mean': 0.0145555641, 'std': 0.0016408141, 'min': 0.0113548772, '25%': 0.0137932988, '50%': 0.0150564779, '75%': 0.0158809358, 'max': 0.0167501538}","{'count': 24.0, 'mean': 0.0033025624, 'std': 0.0033642337, 'min': 0.0, '25%': 0.0, '50%': 0.0035187227, '75%': 0.0060505766, 'max': 0.0091334233}","{'count': 68.0, 'mean': 0.0132561776, 'std': 0.0019971279, 'min': 0.0099254565, '25%': 0.0111794894, '50%': 0.0131726123, '75%': 0.0150587672, 'max': 0.0171890901}","{'count': 68.0, 'mean': 0.0049279741, 'std': 0.0038763735, 'min': 0.0, '25%': 0.0, '50%': 0.0065209849, '75%': 0.0077664448, 'max': 0.0116691875}","{'count': 68.0, 'mean': 0.0116284052, 'std': 0.0023293499, 'min': 0.0049689101, '25%': 0.0100744756, '50%': 0.0118116333, '75%': 0.0134326855, 'max': 0.0150587672}","{'count': 68.0, 'mean': 0.0132835526, 'std': 0.002000959, 'min': 0.0099715504, '25%': 0.0111803399, '50%': 0.0132027382, '75%': 0.0151183349, 'max': 0.0171963022}","{'count': 68.0, 'mean': 0.6740125924, 'std': 0.0929804106, 'min': 0.4979275086, '25%': 0.5979778111, '50%': 0.676775768, '75%': 0.7508656032, 'max': 0.9164554044}","{'count': 68.0, 'mean': 139.7, 'std': 41.6440005534, 'min': 77.0, '25%': 96.8, '50%': 135.01, '75%': 177.0, 'max': 229.0}",19.9,27.4,56,38,
5,piqa,1838,36,1260,392,"{'count': 36.0, 'mean': 0.0093192183, 'std': 0.0006542535, 'min': 0.0082318787, '25%': 0.0088230165, '50%': 0.0093244046, '75%': 0.0096673266, 'max': 0.0107413438}","{'count': 36.0, 'mean': 0.0093192183, 'std': 0.0006542535, 'min': 0.0082318787, '25%': 0.0088230165, '50%': 0.0093244046, '75%': 0.0096673266, 'max': 0.0107413438}","{'count': 36.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 392.0, 'mean': 0.0068541626, 'std': 0.0007408947, 'min': 0.005372542, '25%': 0.0063183693, '50%': 0.0066695549, '75%': 0.0072536005, 'max': 0.0095172979}","{'count': 392.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 392.0, 'mean': 0.0068541626, 'std': 0.0007408947, 'min': 0.005372542, '25%': 0.0063183693, '50%': 0.0066695549, '75%': 0.0072536005, 'max': 0.0095172979}","{'count': 392.0, 'mean': 0.0068595135, 'std': 0.0007409319, 'min': 0.0053860147, '25%': 0.006321518, '50%': 0.0066745524, '75%': 0.0072587944, 'max': 0.0095173317}","{'count': 392.0, 'mean': 0.7199455953, 'std': 0.0466791448, 'min': 0.6003100694, '25%': 0.6959346651, '50%': 0.7293502344, '75%': 0.7526364047, 'max': 0.8078748452}","{'count': 392.0, 'mean': 160.806122449, 'std': 35.9366188759, 'min': 98.0, '25%': 135.0, '50%': 150.5, '75%': 178.0, 'max': 306.0}",24.0,28.0,98,154,1.7583937928
6,CRUXEval-input-T0.2,800,37,1332,303,"{'count': 37.0, 'mean': 0.0167116653, 'std': 0.0011713228, 'min': 0.011928904, '25%': 0.0162306225, '50%': 0.0170979165, '75%': 0.0175439843, 'max': 0.0176776248}","{'count': 37.0, 'mean': 0.0152706031, 'std': 0.001281857, 'min': 0.0111922965, '25%': 0.0147862102, '50%': 0.0156269374, '75%': 0.0161495447, 'max': 0.0169445327}","{'count': 37.0, 'mean': 0.006438353, 'std': 0.0021198271, 'min': 0.0, '25%': 0.0059608095, '50%': 0.0068897569, '75%': 0.0070863964, 'max': 0.0109921847}","{'count': 303.0, 'mean': 0.0175182301, 'std': 0.0014693092, 'min': 0.0133402306, '25%': 0.0165154791, '50%': 0.0176313591, '75%': 0.0184733232, 'max': 0.0203595781}","{'count': 303.0, 'mean': 0.0098619221, 'std': 0.0015817075, 'min': 0.0042081271, '25%': 0.0091957871, '50%': 0.0097315531, '75%': 0.0106444635, 'max': 0.0143929236}","{'count': 303.0, 'mean': 0.0143899035, 'std': 0.00149235, 'min': 0.0102827212, '25%': 0.0136513786, '50%': 0.0147001276, '75%': 0.0154359254, 'max': 0.0169828935}","{'count': 303.0, 'mean': 0.0175539286, 'std': 0.0014706882, 'min': 0.0133482989, '25%': 0.0165165628, '50%': 0.0176564436, '75%': 0.0185118205, 'max': 0.0203876494}","{'count': 303.0, 'mean': 0.5742212921, 'std': 0.0780776909, 'min': 0.3847645302, '25%': 0.5264790364, '50%': 0.5647551925, '75%': 0.6214018545, 'max': 0.8003248369}","{'count': 303.0, 'mean': 198.589563623, 'std': 32.6684547634, 'min': 114.033333333, '25%': 174.59, '50%': 199.52, '75%': 219.32, 'max': 266.02}",26.1,31.4,19,74,1.6843827993
7,agi_english,2546,35,1190,158,"{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0093273253, 'std': 0.0005644642, 'min': 0.0082091093, '25%': 0.0090395384, '50%': 0.0094402459, '75%': 0.0098392789, 'max': 0.0099090028}","{'count': 35.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 158.0, 'mean': 0.0110159901, 'std': 0.0008085766, 'min': 0.0086764466, '25%': 0.0105124381, '50%': 0.0110251243, '75%': 0.0116201664, 'max': 0.01259101}","{'count': 158.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 158.0, 'mean': 0.0110159901, 'std': 0.0008085766, 'min': 0.0086764466, '25%': 0.0105124381, '50%': 0.0110251243, '75%': 0.0116201664, 'max': 0.01259101}","{'count': 158.0, 'mean': 0.0110217175, 'std': 0.0008084097, 'min': 0.0086855241, '25%': 0.0105153873, '50%': 0.0110256629, '75%': 0.011621699, 'max': 0.0125993833}","{'count': 158.0, 'mean': 0.2625230475, 'std': 0.1750792739, 'min': -0.0996093458, '25%': 0.1348880899, '50%': 0.2790869073, '75%': 0.4266081237, 'max': 0.5827067037}","{'count': 158.0, 'mean': 791.6455696203, 'std': 113.8505040535, 'min': 489.0, '25%': 716.75, '50%': 788.0, '75%': 875.5, 'max': 1029.0}",51.0,59.0,25,522,5.1713270025
8,lcb_codegen_v6_080124,454,30,870,160,"{'count': 30.0, 'mean': 0.0219636412, 'std': 0.0013527594, 'min': 0.0187106195, '25%': 0.0209903225, '50%': 0.0221831941, '75%': 0.0232532058, 'max': 0.0234652519}","{'count': 30.0, 'mean': 0.0216443281, 'std': 0.0017076683, 'min': 0.0178813969, '25%': 0.0202135292, '50%': 0.0220555715, '75%': 0.0232532058, 'max': 0.0234652519}","{'count': 30.0, 'mean': 0.0016896115, 'std': 0.0032195267, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0106663436}","{'count': 160.0, 'mean': 0.0191461068, 'std': 0.002470464, 'min': 0.0144403674, '25%': 0.0176070471, '50%': 0.0188081731, '75%': 0.020183797, 'max': 0.0247083948}","{'count': 160.0, 'mean': 0.0022355603, 'std': 0.0040932863, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0109291949}","{'count': 160.0, 'mean': 0.0184994258, 'std': 0.0029693098, 'min': 0.0109714904, '25%': 0.0171453964, '50%': 0.0185351672, '75%': 0.0198802756, 'max': 0.0247083948}","{'count': 160.0, 'mean': 0.0192125546, 'std': 0.0024858739, 'min': 0.0144436972, '25%': 0.0176211454, '50%': 0.0189286296, '75%': 0.0201995603, 'max': 0.0248225279}","{'count': 160.0, 'mean': 0.6346408066, 'std': 0.1128459904, 'min': 0.3473231612, '25%': 0.5893707298, '50%': 0.6476325983, '75%': 0.6984114174, 'max': 0.8486165238}","{'count': 160.0, 'mean': 77.34775, 'std': 20.4312500795, 'min': 43.0, '25%': 64.0, '50%': 73.85, '75%': 84.1, 'max': 127.0}",15.0,23.0,25,12,
9,mbpp,378,59,3422,1108,"{'count': 59.0, 'mean': 0.0236173489, 'std': 0.0022307465, 'min': 0.0158216089, '25%': 0.0223878241, '50%': 0.024386913, '75%': 0.0255086687, 'max': 0.025716865}","{'count': 59.0, 'mean': 0.0236173489, 'std': 0.0022307465, 'min': 0.0158216089, '25%': 0.0223878241, '50%': 0.024386913, '75%': 0.0255086687, 'max': 0.025716865}","{'count': 59.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1108.0, 'mean': 0.0242294606, 'std': 0.0027610463, 'min': 0.0162875247, '25%': 0.0220265305, '50%': 0.0241118504, '75%': 0.0262939161, 'max': 0.0301191432}","{'count': 1108.0, 'mean': 0.0, 'std': 0.0, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 0.0}","{'count': 1108.0, 'mean': 0.0242294606, 'std': 0.0027610463, 'min': 0.0162875247, '25%': 0.0220265305, '50%': 0.0241118504, '75%': 0.0262939161, 'max': 0.0301191432}","{'count': 1108.0, 'mean': 0.0243344209, 'std': 0.0027786917, 'min': 0.0163079736, '25%': 0.0221338631, '50%': 0.0242464322, '75%': 0.026322419, 'max': 0.0302791618}","{'count': 1108.0, 'mean': 0.4799042362, 'std': 0.0749671735, 'min': 0.2840253952, '25%': 0.4296496871, '50%': 0.4846915507, '75%': 0.5256120512, 'max': 0.7633972656}","{'count': 1108.0, 'mean': 85.7129963899, 'std': 19.3791330435, 'min': 38.0, '25%': 70.0, '50%': 84.0, '75%': 99.0, 'max': 131.0}",14.0,22.0,9,15,1.9792739259
